required_root	source	in_commit	already_tracked_files
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1493.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_budget_receipt_1496.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_key_v9_correction.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_key_v9_gold.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/tmpfiles/a7_source_locator_audit_1486.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g1_event_run4	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g2_candidate	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/a4_final_lock_1683/views/a7_g3_candidate	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/out/history_1634/attempt2/A/run	derived	yes	0
a4_recovery/regen_1570/targeted_1589/post_1500_exact_1626/pins_1636.json	derived	yes	0
a4_recovery/regen_1570/targeted_1589/targeted_run_1491/out/attempt6/A/LAUNCHERS.tsv	derived	yes	1
/home/faisal/EventMarketDB/venv/bin/python3	external interpreter prerequisite	no (environment)	
