Symbol,SymbolID,SymbolValue,Exchange,ShortName,PrimarySymbol,CompanyId,StandardName,LastPrice,LastVolume,MarketCap,StockType,StyleBox,StyleScore,SizeScore,FinancialHealthGrade,GrowthGrade,GrowthScore,EconomySphereCode,ProfitabilityGrade,ValueScore,IsShortable,ListingDate,SectorName,IndustryGroupName,IndustryName,SectorETF,IndustryGroupETF,IndustryETF,DollarVolume,QCSymbol,QCSymbolID,NewsSourceSymbol
FFIC R735QTJ8XC9X,FFIC R735QTJ8XC9X,FFIC,NAS,Flushing Financial,FFIC,0C000007PP,Flushing Financial Corp,16.61,160356,4.80E+08,6,7,15.85957,-72.7175,C,C,30.31994,1,C,60.50127,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,2.66E+06,FFIC,FFIC R735QTJ8XC9X,FFIC.BenzingaNews R735QTJ8XC9W
FFC R735QTJ8XC9X,FFC R735QTJ8XC9X,WTM,NYS,White Mountains Insurance,WTM,0C000009O8,White Mountains Insurance Group Ltd,1464.72,10991,3.68E+09,7,9,258.71514,57.356,B,B,70.32306,1,B,46.87395,Yes,1998-01-02,FinancialServices,Insurance,InsurancePropertyAndCasualty,XLF,KIE,KIE,1.61E+07,FFC,FFC R735QTJ8XC9X,FFC.BenzingaNews R735QTJ8XC9W
FFBC R735QTJ8XC9X,FFBC R735QTJ8XC9X,FFBC,NAS,First Financial Bancor,FFBC,0C000007NE,First Financial Bancorp,24.01,425661,2.25E+09,3,7,96.67318,17.17456,C,C,52.80145,1,D,65.1365,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,1.02E+07,FFBC,FFBC R735QTJ8XC9X,FFBC.BenzingaNews R735QTJ8XC9W
SNHY R735QTJ8XC9X,SNHY R735QTJ8XC9X,HLIO,NYS,Helios Technologies,HLIO,0C00000CFQ,Helios Technologies Inc,44.86,297099,1.51E+09,3,8,134.91619,-8.36538,C,B,46.06154,3,C,49.95128,Yes,1998-01-02,Industrials,IndustrialProducts,SpecialtyIndustrialMachinery,XLI,XLI,XLI,1.33E+07,SNHY,SNHY R735QTJ8XC9X,SNHY.BenzingaNews R735QTJ8XC9W
FES R735QTJ8XC9X,FES R735QTJ8XC9X,MTB,NYS,M&T Bank,MTB,0C00000869,M&T Bank Corp,145.06,2280170,2.37E+10,3,4,55.58712,155.39973,C,C,53.10506,1,D,76.47114,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,3.31E+08,FES,FES R735QTJ8XC9X,FES.BenzingaNews R735QTJ8XC9W
FNC R735QTJ8XC9X,FNC R735QTJ8XC9X,SSB,NAS,SouthState,SSB,0C000008XG,SouthState Corp,86.96,671967,6.60E+09,3,7,97.62471,78.51371,C,C,44.83091,1,C,56.95583,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,5.84E+07,FNC,FNC R735QTJ8XC9X,FNC.BenzingaNews R735QTJ8XC9W
SMBC R735QTJ8XC9X,SMBC R735QTJ8XC9X,SMBC,NAS,Southern Missouri Bancorp,SMBC,0C00000950,Southern Missouri Bancorp Inc,51.75,48395,5.88E+08,3,8,104.16474,-61.58854,D,B,47.62404,1,C,58.30471,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,2.50E+06,SMBC,SMBC R735QTJ8XC9X,SMBC.BenzingaNews R735QTJ8XC9W
SIMU R735QTJ8XC9X,SIMU R735QTJ8XC9X,SLP,NAS,Simulations Plus,SLP,0C00000920,Simulations Plus Inc,42.18,92994,8.38E+08,7,9,244.7911,-35.91489,A,C,52.16512,2,D,31.79089,Yes,1998-01-02,Healthcare,HealthcareProvidersAndServices,HealthInformationServices,XLV,IHF,IHF,3.92E+06,SIMU,SIMU R735QTJ8XC9X,SIMU.BenzingaNews R735QTJ8XC9W
FTIC R735QTJ8XC9X,FTIC R735QTJ8XC9X,FCN,NYS,FTI Consulting,FCN,0C000007S5,FTI Consulting Inc,206.5,741788,7.09E+09,2,9,205.41517,96.95573,B,C,49.36853,3,C,37.6898,Yes,1998-01-02,Industrials,BusinessServices,ConsultingServices,XLI,IYC,IYC,1.53E+08,FTIC,FTIC R735QTJ8XC9X,FTIC.BenzingaNews R735QTJ8XC9W
FTEN R735QTJ8XC9X,FTEN R735QTJ8XC9X,FHN,NYS,First Horizon,FHN,0C000007NL,First Horizon Corp,14.07,15175009,7.70E+09,3,7,46.86875,91.7251,D,D,41.48658,1,C,64.82007,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,2.14E+08,FTEN,FTEN R735QTJ8XC9X,FTEN.BenzingaNews R735QTJ8XC9W
SJMA R735QTJ8XC9X,SJMA R735QTJ8XC9X,SJM,NYS,JM Smucker,SJM,0C00000BMS,JM Smucker Co,125.36,2222202,1.31E+10,2,4,58.57716,119.37764,C,C,41.66691,2,D,64.29119,Yes,1998-01-02,ConsumerDefensive,ConsumerPackagedGoods,PackagedFoods,XLP,KXI,PBJ,2.79E+08,SJMA,SJMA R735QTJ8XC9X,SJMA.BenzingaNews R735QTJ8XC9W
SJP R735QTJ8XC9X,SJP R735QTJ8XC9X,JOE,NYS,St. Joe,JOE,0C00000CCH,The St. Joe Co,57.75,322916,3.33E+09,5,9,282.01761,42.70517,B,B,65.49709,1,C,36.90203,Yes,1998-01-02,RealEstate,RealEstate,RealEstateDiversified,XLRE,IYR,IYR,1.86E+07,SJP,SJP R735QTJ8XC9X,SJP.BenzingaNews R735QTJ8XC9W
FSS R735QTJ8XC9X,FSS R735QTJ8XC9X,FSS,NYS,Federal Signal,FSS,0C000007L6,Federal Signal Corp,76.67,312500,4.63E+09,2,9,229.18808,60.99314,A,C,56.37619,3,D,39.44762,Yes,1998-01-02,Industrials,IndustrialProducts,PollutionAndTreatmentControls,XLI,XLI,PHO,2.40E+07,FSS,FSS R735QTJ8XC9X,FSS.BenzingaNews R735QTJ8XC9W
FSRVF R735QTJ8XC9X,FSRVF R735QTJ8XC9X,CIGI,TSE,Colliers Intl Gr,CIGI,0C000007OU,Colliers International Group Inc,119.44,124406,5.76E+09,1,5,189.02861,144.80578,B,C,48.87941,1,D,41.56201,Yes,1998-01-02,RealEstate,RealEstate,RealEstateServices,XLRE,IYR,IYR,1.49E+07,FSRVF,FSRVF R735QTJ8XC9X,FSRVF.BenzingaNews R735QTJ8XC9W
SJT R735QTJ8XC9X,SJT R735QTJ8XC9X,SJT,NYS,San Juan Basin Royalty,SJT,0C000008WA,San Juan Basin Royalty Trust,5.65,560241,2.63E+08,5,8,129.37286,-87.76589,A,A,71.81843,3,A,76.93232,Yes,1998-01-02,Energy,OilAndGas,OilAndGasEAndP,XLE,XLE,XOP,3.17E+06,SJT,SJT R735QTJ8XC9X,SJT.BenzingaNews R735QTJ8XC9W
SJW R735QTJ8XC9X,SJW R735QTJ8XC9X,SJW,NYS,SJW Gr,SJW,0C0000092H,SJW Group,68.17,171987,2.14E+09,1,8,176.11935,20.16229,B,C,50.27508,2,C,45.06581,Yes,1998-01-02,Utilities,UtilitiesRegulated,UtilitiesRegulatedWater,XLU,XLU,PHO,1.17E+07,SJW,SJW R735QTJ8XC9X,SJW.BenzingaNews R735QTJ8XC9W
SKT R735QTJ8XC9X,SKT R735QTJ8XC9X,SKT,NYS,Tanger,SKT,0C00000CIQ,Tanger Inc,27.7,1935129,2.95E+09,5,8,153.55034,34.07092,B,D,41.84713,1,C,41.62184,Yes,1998-01-02,RealEstate,REITs,REITRetail,XLRE,VNQ,IYR,5.36E+07,SKT,SKT R735QTJ8XC9X,SKT.BenzingaNews R735QTJ8XC9W
SNPS R735QTJ8XC9X,SNPS R735QTJ8XC9X,SNPS,NAS,Synopsys,SNPS,0C00000CHW,Synopsys Inc,551.45,1600947,8.45E+10,1,3,272.59257,235.23079,A,C,57.74546,3,C,33.31124,Yes,1998-01-02,Technology,Software,SoftwareInfrastructure,XLK,IGV,IGV,8.83E+08,SNPS,SNPS R735QTJ8XC9X,SNPS.BenzingaNews R735QTJ8XC9W
FRT R735QTJ8XC9X,FRT R735QTJ8XC9X,FRT,NYS,Federal Realty Investment,FRT,0C000007L4,Federal Realty Investment Trust,107.05,959568,8.58E+09,5,8,163.51049,96.67704,B,C,43.04948,1,C,40.62466,Yes,1998-01-02,RealEstate,REITs,REITRetail,XLRE,VNQ,IYR,1.03E+08,FRT,FRT R735QTJ8XC9X,FRT.BenzingaNews R735QTJ8XC9W
FRPP R735QTJ8XC9X,FRPP R735QTJ8XC9X,FRPH,NAS,FRP Holdings,FRPH,0C00000C4W,FRP Holdings Inc,63.08,35012,5.94E+08,3,9,286.83722,-56.60291,B,B,66.81792,1,D,37.15853,Yes,1998-01-02,RealEstate,RealEstate,RealEstateServices,XLRE,IYR,IYR,2.21E+06,FRPP,FRPP R735QTJ8XC9X,FRPP.BenzingaNews R735QTJ8XC9W
SKYW R735QTJ8XC9X,SKYW R735QTJ8XC9X,SKYW,NAS,SkyWest,SKYW,0C0000092R,SkyWest Inc,49.01,382954,2.02E+09,3,8,170.76116,15.11023,C,D,74.9305,3,D,70.9045,Yes,1998-01-02,Industrials,Transportation,Airlines,XLI,IYT,JETS,1.88E+07,SKYW,SKYW R735QTJ8XC9X,SKYW.BenzingaNews R735QTJ8XC9W
FRME R735QTJ8XC9X,FRME R735QTJ8XC9X,FRME,NAS,First Merchants,FRME,0C000007NX,First Merchants Corp,37.45,333567,2.19E+09,3,7,67.09177,14.45387,C,C,46.74446,1,C,65.61206,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,1.25E+07,FRME,FRME R735QTJ8XC9X,FRME.BenzingaNews R735QTJ8XC9W
SLB R735QTJ8XC9X,SLB R735QTJ8XC9X,SLB,NYS,Schlumberger,SLB,0C000008XO,Schlumberger Ltd,52.42,19161227,7.46E+10,5,3,221.21602,227.95362,B,D,75.59663,3,F,65.0162,Yes,1998-01-02,Energy,OilAndGas,OilAndGasEquipmentAndServices,XLE,XLE,XES,1.00E+09,SLB,SLB R735QTJ8XC9X,SLB.BenzingaNews R735QTJ8XC9W
FR R735QTJ8XC9X,FR R735QTJ8XC9X,FR,NYS,First Industrial Realty,FR,0C000007NP,First Industrial Realty Trust Inc,53.97,1964855,7.06E+09,5,8,187.3535,83.3127,A,C,46.40128,1,C,38.71115,Yes,1998-01-02,RealEstate,REITs,REITIndustrial,XLRE,VNQ,IYR,1.06E+08,FR,FR R735QTJ8XC9X,FR.BenzingaNews R735QTJ8XC9W
FPL R735QTJ8XC9X,FPL R735QTJ8XC9X,NEE,NYS,NextEra Energy,NEE,0C000007R2,NextEra Energy Inc,62.78,16683487,1.26E+11,2,2,134.15608,255.78066,B,C,49.715,2,D,62.61048,Yes,1998-01-02,Utilities,UtilitiesRegulated,UtilitiesRegulatedElectric,XLU,XLU,XLU,1.05E+09,FPL,FPL R735QTJ8XC9X,FPL.BenzingaNews R735QTJ8XC9W
SLG R735QTJ8XC9X,SLG R735QTJ8XC9X,SLG,NYS,SL Green Realty,SLG,0C0000092T,SL Green Realty Corp,48,3771643,3.02E+09,5,7,19.45062,28.94823,C,D,40.79643,1,D,70.18474,Yes,1998-01-02,RealEstate,REITs,REITOffice,XLRE,VNQ,IYR,1.81E+08,SLG,SLG R735QTJ8XC9X,SLG.BenzingaNews R735QTJ8XC9W
SLGN R735QTJ8XC9X,SLGN R735QTJ8XC9X,SLGN,NYS,Silgan Hldgs,SLGN,0C0000091E,Silgan Holdings Inc,44.46,475175,4.71E+09,3,8,104.06424,64.51475,B,C,46.12184,1,C,56.82471,Yes,1998-01-02,ConsumerCyclical,PackagingAndContainers,PackagingAndContainers,XLY,PKG,PKB,2.11E+07,SLGN,SLGN R735QTJ8XC9X,SLGN.BenzingaNews R735QTJ8XC9W
FORR R735QTJ8XC9X,FORR R735QTJ8XC9X,FORR,NAS,Forrester Res,FORR,0C000007QL,Forrester Research Inc,25.85,63745,5.13E+08,2,8,141.68592,-65.26408,C,C,46.37854,3,C,48.7733,Yes,1998-01-02,Industrials,BusinessServices,ConsultingServices,XLI,IYC,IYC,1.65E+06,FORR,FORR R735QTJ8XC9X,FORR.BenzingaNews R735QTJ8XC9W
SLM R735QTJ8XC9X,SLM R735QTJ8XC9X,SLM,NAS,SLM,SLM,0C0000092W,SLM Corp,18.38,3198669,4.13E+09,3,7,-7.08313,46.94646,C,B,40.88209,1,A,76.12992,Yes,1998-01-02,FinancialServices,CreditServices,CreditServices,XLF,XLF,XLF,5.88E+07,SLM,SLM R735QTJ8XC9X,SLM.BenzingaNews R735QTJ8XC9W
SKY R735QTJ8XC9X,SKY R735QTJ8XC9X,SKY,NYS,Skyline Champion,SKY,0C0000092P,Skyline Champion Corp,73.04,461926,4.19E+09,3,9,232.48257,51.0362,B,B,61.12814,1,B,43.47203,Yes,1998-01-02,ConsumerCyclical,HomebuildingAndConstruction,ResidentialConstruction,XLY,ITB,ITB,3.37E+07,SKY,SKY R735QTJ8XC9X,SKY.BenzingaNews R735QTJ8XC9W
FELE R735QTJ8XC9X,FELE R735QTJ8XC9X,FELE,NAS,Franklin Electric,FELE,0C000007R8,Franklin Electric Co Inc,96.93,201648,4.42E+09,3,9,207.25255,59.79916,A,B,54.90332,3,C,42.81883,Yes,1998-01-02,Industrials,IndustrialProducts,SpecialtyIndustrialMachinery,XLI,XLI,XLI,1.95E+07,FELE,FELE R735QTJ8XC9X,FELE.BenzingaNews R735QTJ8XC9W
SPG R735QTJ8XC9X,SPG R735QTJ8XC9X,SPG,NYS,Simon Property Group,SPG,0C0000091V,Simon Property Group Inc,146.58,2711409,4.71E+10,5,5,107.02251,192.28587,B,D,37.32222,1,B,47.92752,Yes,1998-01-02,RealEstate,REITs,REITRetail,XLRE,VNQ,IYR,3.97E+08,SPG,SPG R735QTJ8XC9X,SPG.BenzingaNews R735QTJ8XC9W
SPH R735QTJ8XC9X,SPH R735QTJ8XC9X,SPH,NYS,Suburban Propane Partners,SPH,0C00000CF9,Suburban Propane Partners LP,16.64,517317,1.11E+09,2,7,17.72139,-16.4475,B,C,43.48401,2,C,73.25419,Yes,1998-01-02,Utilities,UtilitiesRegulated,UtilitiesRegulatedGas,XLU,XLU,XLU,8.61E+06,SPH,SPH R735QTJ8XC9X,SPH.BenzingaNews R735QTJ8XC9W
SPNSF R735QTJ8XC9X,SPNSF R735QTJ8XC9X,SPNS,NAS,Sapiens Intl Corp,SPNS,0C000008WU,Sapiens International Corp NV,27.53,176046,1.56E+09,4,8,192.55864,69.6497,A,C,48.92062,3,C,40.04136,Yes,1998-01-02,Technology,Software,SoftwareApplication,XLK,IGV,IGV,4.85E+06,SPNSF,SPNSF R735QTJ8XC9X,SPNSF.BenzingaNews R735QTJ8XC9W
ETR R735QTJ8XC9X,ETR R735QTJ8XC9X,ETR,NYS,Entergy,ETR,0C000007GU,Entergy Corp,103.27,2199809,2.13E+10,2,4,76.12587,155.60166,B,C,44.53805,2,D,62.80861,Yes,1998-01-02,Utilities,UtilitiesRegulated,UtilitiesRegulatedElectric,XLU,XLU,XLU,2.27E+08,ETR,ETR R735QTJ8XC9X,ETR.BenzingaNews R735QTJ8XC9W
ETN R735QTJ8XC9X,ETN R735QTJ8XC9X,ETN,NYS,Eaton Corp,ETN,0C00000B30,Eaton Corp PLC,237.7,2201953,9.48E+10,3,2,186.39916,239.33281,A,C,49.32214,3,C,48.13016,Yes,1998-01-02,Industrials,IndustrialProducts,SpecialtyIndustrialMachinery,XLI,XLI,XLI,5.23E+08,ETN,ETN R735QTJ8XC9X,ETN.BenzingaNews R735QTJ8XC9W
ETH R735QTJ8XC9X,ETH R735QTJ8XC9X,ETD,NYS,Ethan Allen Interiors,ETD,0C000007IS,Ethan Allen Interiors Inc,31.82,364907,7.97E+08,3,7,71.70326,-42.94904,B,C,50.24371,1,B,68.09294,Yes,1998-01-02,ConsumerCyclical,Furnishings,Furnishings,XLY,XHB,XHB,1.16E+07,ETH,ETH R735QTJ8XC9X,ETH.BenzingaNews R735QTJ8XC9W
ESS R735QTJ8XC9X,ESS R735QTJ8XC9X,ESS,NYS,Essex Property Trust,ESS,0C000007IP,Essex Property Trust Inc,248.5,707930,1.57E+10,5,5,152.75352,129.76034,B,C,42.24892,1,C,41.50865,Yes,1998-01-02,RealEstate,REITs,REITResidential,XLRE,VNQ,IYR,1.76E+08,ESS,ESS R735QTJ8XC9X,ESS.BenzingaNews R735QTJ8XC9W
SPW R735QTJ8XC9X,SPW R735QTJ8XC9X,SPXC,NYS,SPX Techs,SPXC,0C00000CCA,SPX Technologies Inc,96.01,587125,4.36E+09,7,9,204.72089,56.31376,B,C,52.68895,3,D,41.16353,Yes,1998-01-02,Industrials,Construction,BuildingProductsAndEquipment,XLI,PKB,XHB,5.64E+07,SPW,SPW R735QTJ8XC9X,SPW.BenzingaNews R735QTJ8XC9W
ESLTF R735QTJ8XC9X,ESLTF R735QTJ8XC9X,ESLT,TAE,Elbit Systems,ESLT,0C00000B4B,Elbit Systems Ltd,207.93,28590,9.23E+09,2,5,159.02995,176.66323,B,C,36.42526,3,C,34.44732,Yes,1998-01-02,Industrials,AerospaceAndDefense,AerospaceAndDefense,XLI,ITA,ITA,5.94E+06,ESLTF,ESLTF R735QTJ8XC9X,ESLTF.BenzingaNews R735QTJ8XC9W
ESE R735QTJ8XC9X,ESE R735QTJ8XC9X,ESE,NYS,ESCO Technologies,ESE,0C000007II,ESCO Technologies Inc,113.43,102957,2.93E+09,7,9,209.19376,35.09681,A,C,52.46026,3,D,39.94708,Yes,1998-01-02,Technology,Hardware,ScientificAndTechnicalInstruments,XLK,VGT,XSD,1.17E+07,ESE,ESE R735QTJ8XC9X,ESE.BenzingaNews R735QTJ8XC9W
ERTS R735QTJ8XC9X,ERTS R735QTJ8XC9X,EA,NAS,Electronic Arts,EA,0C000007DR,Electronic Arts Inc,140.85,2267051,3.73E+10,7,5,185.48522,187.58628,A,B,50.89535,3,D,42.03456,Yes,1998-01-02,CommunicationServices,InteractiveMedia,ElectronicGamingAndMultimedia,XLC,XLC,GAMR,3.19E+08,ERTS,ERTS R735QTJ8XC9X,ERTS.BenzingaNews R735QTJ8XC9W
SRCE R735QTJ8XC9X,SRCE R735QTJ8XC9X,SRCE,NAS,1st Source,SRCE,0C0000095I,1st Source Corp,54.25,182766,1.32E+09,3,8,119.22387,-11.69381,C,C,46.96638,1,C,54.3215,Yes,1998-01-02,FinancialServices,Banks,BanksRegional,XLF,KBE,KRE,9.92E+06,SRCE,SRCE R735QTJ8XC9X,SRCE.BenzingaNews R735QTJ8XC9W
SRCL R735QTJ8XC9X,SRCL R735QTJ8XC9X,SRCL,NAS,Stericycle,SRCL,0C00000CDY,Stericycle Inc,50.11,728752,4.62E+09,7,8,156.66746,61.8202,B,D,44.30122,3,F,43.38757,Yes,1998-01-02,Industrials,WasteManagement,WasteManagement,XLI,EVX,EVX,3.65E+07,SRCL,SRCL R735QTJ8XC9X,SRCL.BenzingaNews R735QTJ8XC9W
EQT R735QTJ8XC9X,EQT R735QTJ8XC9X,EQT,NYS,EQT,EQT,0C000007HX,EQT Corp,38.82,9025576,1.58E+10,5,5,111.63831,140.34558,C,B,57.12613,3,F,66.58627,Yes,1998-01-02,Energy,OilAndGas,OilAndGasEAndP,XLE,XLE,XOP,3.50E+08,EQT,EQT R735QTJ8XC9X,EQT.BenzingaNews R735QTJ8XC9W
EQR R735QTJ8XC9X,EQR R735QTJ8XC9X,EQR,NYS,Equity Residential,EQR,0C000007I3,Equity Residential,62.31,4794521,2.33E+10,5,5,134.93879,156.17866,A,C,38.99877,1,C,42.67822,Yes,1998-01-02,RealEstate,REITs,REITResidential,XLRE,VNQ,IYR,2.99E+08,EQR,EQR R735QTJ8XC9X,EQR.BenzingaNews R735QTJ8XC9W
EPTO R735QTJ8XC9X,EPTO R735QTJ8XC9X,OSUR,NAS,OraSure Technologies,OSUR,0C00000C0Y,OraSure Technologies Inc,7.35,834343,5.61E+08,8,8,140.61507,-58.00447,B,B,79.72406,2,F,82.3553,Yes,1998-01-02,Healthcare,MedicalDevicesAndInstruments,MedicalInstrumentsAndSupplies,XLV,IHI,IHI,6.13E+06,EPTO,EPTO R735QTJ8XC9X,EPTO.BenzingaNews R735QTJ8XC9W
EPR R735QTJ8XC9X,EPR R735QTJ8XC9X,EPR,NYS,EPR Props,EPR,0C000007H0,EPR Properties,48.21,509544,3.57E+09,5,8,130.39815,48.36792,B,D,50.35268,1,D,55.24015,Yes,1998-01-02,RealEstate,REITs,REITSpecialty,XLRE,VNQ,IYR,2.46E+07,EPR,EPR R735QTJ8XC9X,EPR.BenzingaNews R735QTJ8XC9W
