field	recorded_by_owner	world_file_sha256
raw 0000940944-25-000038 attempt 1 0000940944-25-000038.attempt1.raw.json	232999046c3a8db73833d5a08791acf2cb833e2cb5b59a8be039af81b97a3379	232999046c3a8db73833d5a08791acf2cb833e2cb5b59a8be039af81b97a3379
raw 0000940944-26-000005 attempt 1 0000940944-26-000005.attempt1.raw.json	fa655892e7e73fe5c39b845ec8259573aec63e9d0d1454d23764e385d9475c88	fa655892e7e73fe5c39b845ec8259573aec63e9d0d1454d23764e385d9475c88
raw 0000940944-26-000009 attempt 1 0000940944-26-000009.attempt1.raw.json	c035b5293de706d2054d869278fe398994f4976b2bc3d58f17d7cc3779e3fa05	c035b5293de706d2054d869278fe398994f4976b2bc3d58f17d7cc3779e3fa05
raw 0001041061-25-000109 attempt 1 0001041061-25-000109.attempt1.raw.json	47b56791f79649c776a7fd43bd15f839f21a2fe9dd0120f2062d60c8615d7599	47b56791f79649c776a7fd43bd15f839f21a2fe9dd0120f2062d60c8615d7599
raw 0001041061-26-000003 attempt 1 0001041061-26-000003.attempt1.raw.json	8ecbba9d71111e2165da94274dd75ff09142471fe039d3c7fa6db1933aecbdf5	8ecbba9d71111e2165da94274dd75ff09142471fe039d3c7fa6db1933aecbdf5
raw 0001041061-26-000084 attempt 1 0001041061-26-000084.attempt1.raw.json	67a822b559b850de6a70e9882890a1f9ab46fd0c2ade5319d0a7118849218644	67a822b559b850de6a70e9882890a1f9ab46fd0c2ade5319d0a7118849218644
raw 0001058090-26-000007 attempt 1 0001058090-26-000007.attempt1.raw.json	4ae0d136c9d4f585fd7d89f723e16bd372103c1ae064ee43f7e4658adbae7766	4ae0d136c9d4f585fd7d89f723e16bd372103c1ae064ee43f7e4658adbae7766
raw 0001104659-25-102611 attempt 1 0001104659-25-102611.attempt1.raw.json	504ecd076cfcbbf0a7cdb65ec51824038bb97ec64664d4546300da14b0d12065	504ecd076cfcbbf0a7cdb65ec51824038bb97ec64664d4546300da14b0d12065
raw 0001104659-25-105631 attempt 1 0001104659-25-105631.attempt1.raw.json	d8a7fa3a22c405f515e00edcb5149c250ca2ca0d2fca1832e5077d7e7d7a6277	d8a7fa3a22c405f515e00edcb5149c250ca2ca0d2fca1832e5077d7e7d7a6277
raw 0001104659-25-118458 attempt 1 0001104659-25-118458.attempt1.raw.json	1e00706192998e9076697d4f1b77a8c48ee650a7fe693399e09856622127bee0	1e00706192998e9076697d4f1b77a8c48ee650a7fe693399e09856622127bee0
raw 0001104659-26-017090 attempt 1 0001104659-26-017090.attempt1.raw.json	3559219473282fada70002a2ddc799c254cad0312f808d65f55bf8ff715a4ae5	3559219473282fada70002a2ddc799c254cad0312f808d65f55bf8ff715a4ae5
raw 0001104659-26-027061 attempt 1 0001104659-26-027061.attempt1.raw.json	1dcb5c2389a38da89dde04a4d17275c82d180aae193f41af538bfdc670a4ef03	1dcb5c2389a38da89dde04a4d17275c82d180aae193f41af538bfdc670a4ef03
raw 0001104659-26-032757 attempt 1 0001104659-26-032757.attempt1.raw.json	7ba451b0641bafcc23b6fee345dd57259d2d17cbc32330d06fbc9b66031c9fce	7ba451b0641bafcc23b6fee345dd57259d2d17cbc32330d06fbc9b66031c9fce
raw 0001171843-26-001288 attempt 2 0001171843-26-001288.attempt2.raw.json	4d0fada2fa6b53085492c344ce1255b3e2de0b4c4c77232e54e82977549bdda3	4d0fada2fa6b53085492c344ce1255b3e2de0b4c4c77232e54e82977549bdda3
raw AAL_2026-04-23T08.30 attempt 1 AAL_2026-04-23T08.30.attempt1.raw.json	4a3def87f11021de2a9eb8658897bef87d4ac73841cde819e94592e5869f6f2c	4a3def87f11021de2a9eb8658897bef87d4ac73841cde819e94592e5869f6f2c
raw BBY_2026-03-03T08.00 attempt 1 BBY_2026-03-03T08.00.attempt1.raw.json	e7999d61e611f7d4790b3e7d548685b03bb3c92ecb6f3092845664b1d08a26b7	e7999d61e611f7d4790b3e7d548685b03bb3c92ecb6f3092845664b1d08a26b7
raw CMG_2026-02-03T16.30 attempt 1 CMG_2026-02-03T16.30.attempt1.raw.json	28bf9d9b1b4ebd28cdae0aa599106a3ff2165bbc755a988e25ca49ae6f2d57cf	28bf9d9b1b4ebd28cdae0aa599106a3ff2165bbc755a988e25ca49ae6f2d57cf
raw DAL_2026-04-08T10.00 attempt 1 DAL_2026-04-08T10.00.attempt1.raw.json	302f1fa2260280e99d3acae119811526950c887771054731915c769417cff2c7	302f1fa2260280e99d3acae119811526950c887771054731915c769417cff2c7
raw DRI_2026-03-19T08.30 attempt 2 DRI_2026-03-19T08.30.attempt2.raw.json	c630cfcd514d9dac04f8cefa118197049f8eead648bb56b2fddfd0d91336e3a5	c630cfcd514d9dac04f8cefa118197049f8eead648bb56b2fddfd0d91336e3a5
raw MCD_2026-02-11T16.30 attempt 1 MCD_2026-02-11T16.30.attempt1.raw.json	79298b2591cf08bcdc33841a5f1ed4f8155580d69cc973eabfcb0fd9fefebd51	79298b2591cf08bcdc33841a5f1ed4f8155580d69cc973eabfcb0fd9fefebd51
raw ULTA_2026-03-12T16.30 attempt 1 ULTA_2026-03-12T16.30.attempt1.raw.json	c6ba13431e9ae220d400a21a86672fe330cbe64c1f2d071e777a34354efdbd77	c6ba13431e9ae220d400a21a86672fe330cbe64c1f2d071e777a34354efdbd77
raw YUM_2026-02-04T08.15 attempt 1 YUM_2026-02-04T08.15.attempt1.raw.json	a6d97d47a9e1551c389f0b8127ea5e545bd935dca75315790bc70a567b9cdedc	a6d97d47a9e1551c389f0b8127ea5e545bd935dca75315790bc70a567b9cdedc
raw bzNews_42014391 attempt 1 bzNews_42014391.attempt1.raw.json	b057550b984c239ccd88c4f23f11739bbc19e808a29b46c3f74f979312dc06b6	b057550b984c239ccd88c4f23f11739bbc19e808a29b46c3f74f979312dc06b6
raw bzNews_49256211 attempt 1 bzNews_49256211.attempt1.raw.json	9b0eac8efc2ea40a69bde0789debbe52270cafe41a09d4441ba540924603c504	9b0eac8efc2ea40a69bde0789debbe52270cafe41a09d4441ba540924603c504
raw bzNews_50877032 attempt 1 bzNews_50877032.attempt1.raw.json	9206a816cb364a8c809a694a8798d2eb0c332200da4411f3d957bd350c70cada	9206a816cb364a8c809a694a8798d2eb0c332200da4411f3d957bd350c70cada
raw bzNews_51962983 attempt 1 bzNews_51962983.attempt1.raw.json	f85d6f55708f882d4431cc64e26248944f88ba8015d82958a963a83c23e93898	f85d6f55708f882d4431cc64e26248944f88ba8015d82958a963a83c23e93898
source 0000006201-26-000031	2f61b73458ec0621afbdd990bec23930df5c26e73f374077d7d583583b1b5f2b	2f61b73458ec0621afbdd990bec23930df5c26e73f374077d7d583583b1b5f2b
source 0000006201-26-000032	e898135ecbf662d24048400eb049018fdd2f93af8ee2c66f3cbb0b1205b1135d	e898135ecbf662d24048400eb049018fdd2f93af8ee2c66f3cbb0b1205b1135d
source 0000027904-26-000013	1d37993369c9c9d3c0a5d8c3b8268b48098e91715169697e502686b752f97eef	1d37993369c9c9d3c0a5d8c3b8268b48098e91715169697e502686b752f97eef
source 0000027904-26-000020	89cfeb9cb57f51ed47a6e5f94c132ba2509ed3a0105acddcd5a84f3e39e6ebb3	89cfeb9cb57f51ed47a6e5f94c132ba2509ed3a0105acddcd5a84f3e39e6ebb3
source 0000027904-26-000022	35737d2f784186cd9b7b38e5215cf94d13ce7a5e6836dd261c5fbacdc84a2cc1	35737d2f784186cd9b7b38e5215cf94d13ce7a5e6836dd261c5fbacdc84a2cc1
source 0000063908-26-000032	841857dbfebedeec01638bf1ab21520f1c5c0ba8024f0e397c6f6cc9239cda69	841857dbfebedeec01638bf1ab21520f1c5c0ba8024f0e397c6f6cc9239cda69
source 0000092380-26-000044	2ae2e1edb1cdb60933b47ada4c64229b52073cce52b7a2d69616183d9f44a972	2ae2e1edb1cdb60933b47ada4c64229b52073cce52b7a2d69616183d9f44a972
source 0000764478-25-000057	3dfe732854df578b097924d40e1ff8bbf68d950bcdfe1c6400bacac7e531a34c	3dfe732854df578b097924d40e1ff8bbf68d950bcdfe1c6400bacac7e531a34c
source 0000764478-26-000005	177db2222879d84f59906c5eb556e285077cd86c35a5f549d0a79745514043c9	177db2222879d84f59906c5eb556e285077cd86c35a5f549d0a79745514043c9
source 0000898173-26-000006	3ba8cd5a2ba6c43ccd6e8eb04e1061d29afab998a5fd7a91d47ce87c082a31d0	3ba8cd5a2ba6c43ccd6e8eb04e1061d29afab998a5fd7a91d47ce87c082a31d0
source 0000940944-25-000038	76975ea735c46a8b5ba645f6f4116ea1c52d7cc93037947e3327b7ca4729b721	76975ea735c46a8b5ba645f6f4116ea1c52d7cc93037947e3327b7ca4729b721
source 0000940944-26-000005	e1d7de0f714e0d32cc51dba78ad5515b657012d9fa463146f3d5adb8d887945b	e1d7de0f714e0d32cc51dba78ad5515b657012d9fa463146f3d5adb8d887945b
source 0000940944-26-000009	bd1cdadb4f14f6fde013652d01f9fbc12ca9d0a39ce097ecdba6603c80ec0698	bd1cdadb4f14f6fde013652d01f9fbc12ca9d0a39ce097ecdba6603c80ec0698
source 0001041061-25-000109	9b5161ef4f3677ea406adc7e1b20e2c9ed3828da4361e185eaf17c858faaa778	9b5161ef4f3677ea406adc7e1b20e2c9ed3828da4361e185eaf17c858faaa778
source 0001041061-26-000003	c303f42bbcf456e3e783e39ca2d732dc8bbfcd580e74802cc0eeefb317e5fbb3	c303f42bbcf456e3e783e39ca2d732dc8bbfcd580e74802cc0eeefb317e5fbb3
source 0001041061-26-000084	9dbe7cd03d3cf76bd253dc299954303402c66a4305aa9609425ecffc8a986127	9dbe7cd03d3cf76bd253dc299954303402c66a4305aa9609425ecffc8a986127
source 0001058090-26-000007	27f6a8008dd7817cfbe378edf68fea62f7e4801a03f6ec6a9098983b94fd8838	27f6a8008dd7817cfbe378edf68fea62f7e4801a03f6ec6a9098983b94fd8838
source 0001104659-25-102611	059d6af45a704d95857bce5fb417a10f24c57fe9e0c8be7ffbe73f4e96a283e3	059d6af45a704d95857bce5fb417a10f24c57fe9e0c8be7ffbe73f4e96a283e3
source 0001104659-25-105631	7ff11b866cd7f313bc894f5b77f627f2086f40d8b3b76ec13c91c913dd9084bf	7ff11b866cd7f313bc894f5b77f627f2086f40d8b3b76ec13c91c913dd9084bf
source 0001104659-25-118458	c8f573ac5ac2e01411142a66d85a36e54fc6272044b306b59ce0f0c5262badd1	c8f573ac5ac2e01411142a66d85a36e54fc6272044b306b59ce0f0c5262badd1
source 0001104659-26-017090	e3059db4b90cf0ae330511ce1bcd43ec9d431b3ad5e22066566e45f313f03e42	e3059db4b90cf0ae330511ce1bcd43ec9d431b3ad5e22066566e45f313f03e42
source 0001104659-26-027061	9ceb0f528e4933f6cd2a7990a416fe23488476a6bcf0aa496d5ed765605f2996	9ceb0f528e4933f6cd2a7990a416fe23488476a6bcf0aa496d5ed765605f2996
source 0001104659-26-032757	97c4efd897e9869560dde258c7c9f9e7c8c43543d749e041eeabc8722ccb4cf4	97c4efd897e9869560dde258c7c9f9e7c8c43543d749e041eeabc8722ccb4cf4
source 0001171843-26-001288	6c0c3af79d7969282929d2c512479f7c2cf09d449ad6bc18555b8867ccd2137c	6c0c3af79d7969282929d2c512479f7c2cf09d449ad6bc18555b8867ccd2137c
source AAL_2026-04-23T08.30	d893513b2571571307cfa6a62ebf909561dea2f737212652969df7e60bef001b	d893513b2571571307cfa6a62ebf909561dea2f737212652969df7e60bef001b
source BBY_2026-03-03T08.00	749e79c7a7dfae378747a299364cae6a3be5a9d771f92a257c0d3fc90c7ecdf0	749e79c7a7dfae378747a299364cae6a3be5a9d771f92a257c0d3fc90c7ecdf0
source CMG_2026-02-03T16.30	7995db3e6a49025c4fa2092bcf1e456a6de9357a4af0555cfb493f776dc9a4bc	7995db3e6a49025c4fa2092bcf1e456a6de9357a4af0555cfb493f776dc9a4bc
source DAL_2026-04-08T10.00	ad575512236ce409764636702b154de579c36da081efbf07885920752c7b3c5b	ad575512236ce409764636702b154de579c36da081efbf07885920752c7b3c5b
source DRI_2026-03-19T08.30	f05b3d28cfbfd470293c733385cfc04768eaf589e4348b780f4f9ca5c398c6df	f05b3d28cfbfd470293c733385cfc04768eaf589e4348b780f4f9ca5c398c6df
source MCD_2026-02-11T16.30	5725d5b7c77b12514d40c3e0a8ad78885da19b5090a3114bed7f9f3b904fef9f	5725d5b7c77b12514d40c3e0a8ad78885da19b5090a3114bed7f9f3b904fef9f
source ULTA_2026-03-12T16.30	ac0958edd4e7f1346acb6d3b2da2bd2ed108172c6e19206a527ddad9860362d8	ac0958edd4e7f1346acb6d3b2da2bd2ed108172c6e19206a527ddad9860362d8
source YUM_2026-02-04T08.15	950a32f7b61c67b5e0f69f6d9e71f73dc065dd46c52ddb2ac65452f7c5d0b762	950a32f7b61c67b5e0f69f6d9e71f73dc065dd46c52ddb2ac65452f7c5d0b762
source bzNews_42014391	d31f3d2377ec9fcd65c6a31ee7909ebf22c5211e9dc10d1ee9f5c732e80de2a2	d31f3d2377ec9fcd65c6a31ee7909ebf22c5211e9dc10d1ee9f5c732e80de2a2
source bzNews_49256211	e2de7dba07339b07e6b67e20f5da36cc74188dff55f81b64cf2451cf928d78be	e2de7dba07339b07e6b67e20f5da36cc74188dff55f81b64cf2451cf928d78be
source bzNews_50877032	2cd1715e25b48142098c7f0d9d039a5d21fff964890bc3e48d38f627059dc75d	2cd1715e25b48142098c7f0d9d039a5d21fff964890bc3e48d38f627059dc75d
source bzNews_51962983	a5c46c2a13689f551d268ca8ede095a5b1793ad79f09496d2e848b508ce593b8	a5c46c2a13689f551d268ca8ede095a5b1793ad79f09496d2e848b508ce593b8
