accession_8k,ticker,oracle_source,oracle_fy,oracle_q,warm_start,latest_per_ticker,outcome,fy,q,source,correct
0000006201-25-000022,AAL,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0000006201-25-000037,AAL,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0000006201-25-000051,AAL,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0000006201-26-000008,AAL,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0000006201-26-000031,AAL,GT,2026,Q1,true,true,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1,true
0001158449-23-000032,AAP,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001158449-23-000237,AAP,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,rule_f_advance_xbrl,true
0001158449-24-000028,AAP,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,rule_f_advance_xbrl,true
0001158449-24-000236,AAP,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,rule_f_advance_xbrl,true
0001628280-25-047275,AAP,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,rule_f_advance_xbrl,true
0000320193-23-000005,AAPL,GT,2023,Q1,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0000320193-23-000063,AAPL,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0000320193-23-000075,AAPL,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0000320193-23-000104,AAPL,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0000320193-24-000005,AAPL,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0000320193-24-000067,AAPL,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0000320193-24-000080,AAPL,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0000320193-24-000120,AAPL,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0000320193-25-000007,AAPL,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0000320193-25-000055,AAPL,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0000320193-25-000071,AAPL,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0000320193-25-000077,AAPL,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0000320193-26-000005,AAPL,GT,2026,Q1,true,true,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-23-000004,ABBV,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001551152-23-000006,ABBV,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001551152-23-000015,ABBV,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-23-000019,ABBV,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-23-000026,ABBV,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-23-000028,ABBV,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-23-000036,ABBV,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-23-000040,ABBV,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-24-000002,ABBV,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001551152-24-000007,ABBV,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001551152-24-000013,ABBV,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-24-000016,ABBV,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-24-000024,ABBV,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-24-000026,ABBV,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-24-000033,ABBV,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-24-000036,ABBV,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-25-000002,ABBV,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001551152-25-000011,ABBV,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001551152-25-000023,ABBV,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-25-000026,ABBV,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001551152-25-000034,ABBV,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-25-000036,ABBV,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001551152-25-000043,ABBV,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-25-000047,ABBV,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001551152-26-000002,ABBV,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001551152-26-000004,ABBV,GT,2025,Q4,true,true,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-23-006583,ABM,GT,2023,Q1,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0000950170-23-026534,ABM,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0000950170-23-046875,ABM,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0000950170-23-069873,ABM,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-24-027580,ABM,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0000950170-24-069662,ABM,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0000950170-24-104226,ABM,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0000950170-24-137611,ABM,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-25-037617,ABM,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0000950170-25-082687,ABM,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0000771497-25-000020,ABM,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001193125-25-321680,ABM,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001193125-26-099334,ABM,GT,2026,Q1,true,true,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1,true
0001193125-23-039008,ABNB,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001193125-23-139392,ABNB,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001193125-23-202832,ABNB,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001193125-23-268164,ABNB,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001193125-24-033706,ABNB,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001193125-24-134183,ABNB,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001193125-24-194849,ABNB,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001193125-24-253103,ABNB,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001193125-25-026054,ABNB,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001193125-25-109934,ABNB,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001193125-25-174438,ABNB,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001193125-25-269432,ABNB,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001193125-26-048670,ABNB,GT,2025,Q4,true,true,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001628280-23-001516,ABT,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001628280-23-012020,ABT,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001628280-23-025156,ABT,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001628280-23-034544,ABT,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001628280-24-002009,ABT,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001628280-24-016497,ABT,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001628280-24-032182,ABT,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001628280-24-042893,ABT,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001628280-25-002092,ABT,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001628280-25-017924,ABT,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001628280-25-035135,ABT,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001628280-25-045049,ABT,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001628280-26-002982,ABT,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-23-004753,ACAD,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0000950170-23-018800,ACAD,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001193125-23-188839,ACAD,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0000950170-23-037216,ACAD,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0000950170-23-058254,ACAD,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0000950170-24-021169,ACAD,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-24-055647,ACAD,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0000950170-24-091826,ACAD,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0000950170-24-122322,ACAD,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0000950170-25-027759,ACAD,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0000950170-25-065672,ACAD,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0000950170-25-104092,ACAD,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001193125-25-266959,ACAD,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001193125-26-011706,ACAD,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001193125-26-071674,ACAD,GT,2025,Q4,true,true,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001157523-23-000366,ACHC,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001157523-23-000620,ACHC,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001157523-23-001176,ACHC,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001157523-23-001637,ACHC,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001437749-24-005735,ACHC,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001437749-24-014205,ACHC,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001437749-24-024148,ACHC,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001193125-25-005003,ACHC,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001437749-25-005467,ACHC,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001437749-25-024875,ACHC,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001437749-25-033347,ACHC,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001437749-26-001137,ACHC,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001437749-26-005431,ACHC,GT,2025,Q4,true,true,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001104659-23-011172,ACM,GT,2023,Q1,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001104659-23-057157,ACM,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001104659-23-088349,ACM,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001104659-23-117223,ACM,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001104659-24-010610,ACM,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001104659-24-057441,ACM,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001104659-24-085822,ACM,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001104659-24-120136,ACM,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001104659-25-008636,ACM,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001104659-25-044515,ACM,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001104659-25-073644,ACM,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001104659-25-113439,ACM,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001104659-26-012069,ACM,GT,2026,Q1,true,true,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-23-000397,ACMR,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001140361-23-003368,ACMR,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001140361-23-008431,ACMR,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001140361-23-020417,ACMR,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-23-023074,ACMR,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-23-038152,ACMR,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2,true
0001140361-23-049841,ACMR,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001140361-23-051730,ACMR,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001140361-24-001418,ACMR,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001140361-24-009927,ACMR,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001140361-24-022270,ACMR,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-24-024791,ACMR,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-24-036019,ACMR,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001140361-24-044585,ACMR,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001140361-24-045488,ACMR,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001140361-25-001011,ACMR,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001140361-25-005981,ACMR,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001140361-25-016210,ACMR,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-25-017795,ACMR,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001140361-25-028994,ACMR,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001680062-25-000031,ACMR,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001628280-25-049264,ACMR,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001680062-26-000003,ACMR,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001628280-26-011998,ACMR,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001467373-23-000123,ACN,GT,2023,Q2,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001467373-23-000220,ACN,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
0001467373-23-000303,ACN,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4,true
0001467373-23-000401,ACN,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1,true
0001467373-24-000106,ACN,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2,true
0001467373-24-000195,ACN,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3,true
0001467373-24-000266,ACN,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4,true
0001467373-24-000351,ACN,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1,true
0001467373-25-000099,ACN,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2,true
0001467373-25-000168,ACN,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3,true
0001467373-25-000213,ACN,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4,true
0001467373-25-000221,ACN,GT,2026,Q1,true,false,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1,true
0001467373-26-000013,ACN,GT,2026,Q2,true,true,AUTO_OK,2026,Q2,prior_periodic_projection_q1_to_q2,true
0000796343-23-000044,ADBE,GT,2023,Q1,true,false,FAIL_CLOSED,,,rule_g_fail_closed_no_prev_short_gap_calendar,false
0000796343-23-000133,ADBE,GT,2023,Q2,true,false,AUTO_OK,2023,Q2,prior_periodic_projection_q1_to_q2_effective_fye_from_prior_10k,true
0000796343-23-000198,ADBE,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3_effective_fye_from_prior_10k,true
0000796343-23-000252,ADBE,GT,2023,Q4,true,false,AUTO_OK,2023,Q4,prior_periodic_projection_q3_to_q4_effective_fye_from_prior_10k,true
0000796343-24-000057,ADBE,GT,2024,Q1,true,false,AUTO_OK,2024,Q1,prior_periodic_projection_q4_to_q1_effective_fye_from_prior_10k,true
0000796343-24-000140,ADBE,GT,2024,Q2,true,false,AUTO_OK,2024,Q2,prior_periodic_projection_q1_to_q2_effective_fye_from_prior_10k,true
0000796343-24-000200,ADBE,GT,2024,Q3,true,false,AUTO_OK,2024,Q3,prior_periodic_projection_q2_to_q3_effective_fye_from_prior_10k,true
0000796343-24-000250,ADBE,GT,2024,Q4,true,false,AUTO_OK,2024,Q4,prior_periodic_projection_q3_to_q4_effective_fye_from_prior_10k,true
0000796343-25-000052,ADBE,GT,2025,Q1,true,false,AUTO_OK,2025,Q1,prior_periodic_projection_q4_to_q1_effective_fye_from_prior_10k,true
0000796343-25-000064,ADBE,GT,2025,Q2,true,false,AUTO_OK,2025,Q2,prior_periodic_projection_q1_to_q2_effective_fye_from_prior_10k,true
0000796343-25-000102,ADBE,GT,2025,Q3,true,false,AUTO_OK,2025,Q3,prior_periodic_projection_q2_to_q3_effective_fye_from_prior_10k,true
0000796343-25-000135,ADBE,GT,2025,Q4,true,false,AUTO_OK,2025,Q4,prior_periodic_projection_q3_to_q4_effective_fye_from_prior_10k,true
0000796343-26-000048,ADBE,GT,2026,Q1,true,true,AUTO_OK,2026,Q1,prior_periodic_projection_q4_to_q1_effective_fye_from_prior_10k,true
0001104659-23-021529,ADC,GT,2022,Q4,false,false,FAIL_CLOSED,,,prior_periodic_projection_no_prior,false
0001104659-23-055998,ADC,GT,2023,Q1,true,false,AUTO_OK,2023,Q1,prior_periodic_projection_q4_to_q1,true
0001104659-23-111089,ADC,GT,2023,Q3,true,false,AUTO_OK,2023,Q3,prior_periodic_projection_q2_to_q3,true
