ticker,cik,accession,formType,filingDate,in_neo4j
A,0001090872,0000950170-24-064091,8-K,2024-05-24,YES
A,0001090872,0000950123-24-003692,8-K,2024-05-01,YES
A,0001090872,0000950170-24-032163,8-K,2024-03-15,YES
A,0001090872,0001090872-24-000011,10-Q,2024-03-05,YES
A,0001090872,0001090872-24-000006,8-K,2024-02-27,YES
A,0001090872,0000950170-24-017940,8-K,2024-02-21,YES
A,0001090872,0001090872-24-000003,8-K,2024-01-05,YES
A,0001090872,0000950170-23-071756,8-K,2023-12-20,YES
A,0001090872,0001090872-23-000020,10-K,2023-12-20,YES
A,0001090872,0001090872-23-000018,8-K,2023-11-20,YES
A,0001090872,0000950170-23-057148,8-K,2023-11-01,YES
A,0001090872,0000950170-23-046178,8-K,2023-09-05,YES
A,0001090872,0001090872-23-000015,10-Q,2023-08-31,YES
A,0001090872,0001090872-23-000013,8-K,2023-08-15,YES
A,0001090872,0001193125-23-165893,8-K,2023-06-13,YES
A,0001090872,0001090872-23-000010,10-Q,2023-05-26,YES
A,0001090872,0001090872-23-000008,8-K,2023-05-23,YES
A,0001090872,0000950170-23-023437,8-K,2023-05-22,YES
A,0001090872,0000950170-23-008638,8-K,2023-03-17,YES
A,0001090872,0001090872-23-000005,10-Q,2023-03-03,YES
A,0001090872,0001090872-23-000002,8-K,2023-02-28,YES
A,0001090872,0000950170-23-000508,8-K,2023-01-09,YES
AA,0001675149,0001193125-26-077167,10-K,2026-02-26,YES
AA,0001675149,0001193125-26-019438,8-K,2026-01-22,YES
AA,0001675149,0001193125-25-297348,8-K,2025-11-25,YES
AA,0001675149,0001193125-25-253570,10-Q,2025-10-28,YES
AA,0001675149,0001193125-25-246788,8-K,2025-10-22,YES
AA,0001675149,0001193125-25-223652,8-K,2025-09-30,YES
AA,0001675149,0000950170-25-100979,10-Q,2025-07-31,YES
AA,0001675149,0000950170-25-096260,8-K,2025-07-16,YES
AA,0001675149,0000950170-25-092214,8-K,2025-07-01,YES
AA,0001675149,0000950170-25-070438,8-K,2025-05-13,YES
AA,0001675149,0000950170-25-061867,10-Q,2025-05-01,YES
AA,0001675149,0000950170-25-060610,8-K,2025-04-30,YES
AA,0001675149,0000950170-25-054726,8-K,2025-04-16,YES
AA,0001675149,0001193125-25-069604,8-K,2025-04-01,YES
AA,0001675149,0001193125-25-055682,8-K,2025-03-17,YES
AA,0001675149,0001193125-25-055211,8-K,2025-03-17,YES
AA,0001675149,0001193125-25-054700,8-K,2025-03-14,YES
AA,0001675149,0001193125-25-044205,8-K,2025-03-03,YES
AA,0001675149,0001193125-25-043419,8-K,2025-03-03,YES
AA,0001675149,0001193125-25-031203,8-K,2025-02-21,YES
AA,0001675149,0000950170-25-024242,10-K,2025-02-20,YES
AA,0001675149,0000950170-25-007765,8-K,2025-01-22,YES
AA,0001675149,0001193125-24-268405,8-K,2024-12-02,YES
AA,0001675149,0000950170-24-119557,10-Q,2024-10-31,YES
AA,0001675149,0000950170-24-115018,8-K,2024-10-16,YES
AA,0001675149,0001193125-24-219242,8-K,2024-09-16,YES
AA,0001675149,0000950170-24-090092,10-Q,2024-08-02,YES
AA,0001675149,0000950103-24-011378,8-K,2024-08-01,YES
AA,0001675149,0000950170-24-084275,8-K,2024-07-17,YES
AA,0001675149,0000950103-24-010089,8-K,2024-07-17,YES
AA,0001675149,0000950170-24-082696,8-K,2024-07-10,YES
AA,0001675149,0000950103-24-009727,8-K,2024-07-08,YES
AA,0001675149,0000950103-24-008148,8-K,2024-06-11,YES
AA,0001675149,0001193125-24-142916,8-K,2024-05-20,YES
AA,0001675149,0001193125-24-140571,8-K,2024-05-16,YES
AA,0001675149,0000950170-24-052174,10-Q,2024-05-02,YES
AA,0001675149,0000950170-24-045115,8-K,2024-04-17,YES
AA,0001675149,0001193125-24-073889,8-K,2024-03-21,YES
AA,0001675149,0000950103-24-003684,8-K,2024-03-12,YES
AA,0001675149,0001193125-24-062204,8-K,2024-03-07,YES
AA,0001675149,0001193125-24-058605,8-K,2024-03-05,YES
AA,0001675149,0000950103-24-002771,8-K,2024-02-26,YES
AA,0001675149,0000950170-24-018069,10-K,2024-02-21,YES
AA,0001675149,0001193125-24-010382,8-K,2024-01-19,YES
AA,0001675149,0001157523-24-000066,8-K,2024-01-17,YES
AA,0001675149,0001157523-24-000034,8-K,2024-01-09,YES
AA,0001675149,0001157523-23-001854,8-K,2023-12-21,YES
AA,0001675149,0001157523-23-001837,8-K,2023-12-18,YES
AA,0001675149,0001157523-23-001824,8-K,2023-12-14,YES
AA,0001675149,0000950170-23-055630,10-Q,2023-10-26,YES
AA,0001675149,0001157523-23-001501,8-K,2023-10-18,YES
AA,0001675149,0001193125-23-249939,8-K,2023-10-03,YES
AA,0001675149,0001193125-23-240903,8-K,2023-09-25,YES
AA,0001675149,0000950170-23-035168,10-Q,2023-07-27,YES
AA,0001675149,0001193125-23-192266,8-K,2023-07-24,YES
AA,0001675149,0001157523-23-001109,8-K,2023-07-19,YES
AA,0001675149,0001193125-23-140841,8-K,2023-05-10,YES
AA,0001675149,0000950170-23-017900,10-Q,2023-05-04,YES
AA,0001675149,0001157523-23-000580,8-K,2023-04-19,YES
AA,0001675149,0001157523-23-000552,8-K,2023-04-14,YES
AA,0001675149,0001193125-23-092334,8-K,2023-04-05,YES
AA,0001675149,0001157523-23-000452,8-K,2023-03-16,YES
AA,0001675149,0001564590-23-002319,10-K,2023-02-23,YES
AA,0001675149,0001157523-23-000166,8-K,2023-02-03,YES
AA,0001675149,0001157523-23-000063,8-K,2023-01-18,YES
AA,0001675149,0001193125-23-005174,8-K,2023-01-10,YES
AAL,0000006201,0000006201-26-000023,8-K,2026-03-24,YES
AAL,0000006201,0000006201-26-000020,8-K,2026-03-17,YES
AAL,0000006201,0001193125-26-098647,8-K,2026-03-09,YES
AAL,0000006201,0000006201-26-000014,10-K,2026-02-18,YES
AAL,0000006201,0000006201-26-000008,8-K,2026-01-27,YES
AAL,0000006201,0000006201-25-000052,10-Q,2025-10-23,YES
AAL,0000006201,0000006201-25-000051,8-K,2025-10-23,YES
AAL,0000006201,0000006201-25-000042,8-K,2025-08-07,YES
AAL,0000006201,0000006201-25-000038,10-Q,2025-07-24,YES
AAL,0000006201,0000006201-25-000037,8-K,2025-07-24,YES
AAL,0000006201,0000006201-25-000029,8-K,2025-06-11,YES
AAL,0000006201,0001193125-25-130155,8-K,2025-05-29,YES
AAL,0000006201,0000006201-25-000023,10-Q,2025-04-24,YES
AAL,0000006201,0000006201-25-000022,8-K,2025-04-24,YES
AAL,0000006201,0001193125-25-067150,8-K,2025-03-28,YES
AAL,0000006201,0000006201-25-000013,8-K,2025-03-11,YES
AAL,0000006201,0000006201-25-000010,10-K,2025-02-19,YES
AAL,0000006201,0000006201-25-000006,8-K,2025-01-23,YES
AAL,0000006201,0000006201-25-000003,8-K,2025-01-10,YES
AAL,0000006201,0001193125-24-284304,8-K,2024-12-23,YES
AAL,0000006201,0000006201-24-000066,8-K,2024-12-05,YES
AAL,0000006201,0001193125-24-249922,8-K,2024-11-01,YES
AAL,0000006201,0000006201-24-000060,10-Q,2024-10-24,YES
AAL,0000006201,0000006201-24-000059,8-K,2024-10-24,YES
AAL,0000006201,0000006201-24-000051,8-K,2024-07-31,YES
AAL,0000006201,0000006201-24-000048,10-Q,2024-07-25,YES
AAL,0000006201,0000006201-24-000047,8-K,2024-07-25,YES
AAL,0000006201,0001193125-24-178619,8-K,2024-07-12,YES
AAL,0000006201,0000006201-24-000040,8-K,2024-06-05,YES
AAL,0000006201,0000006201-24-000036,8-K,2024-06-04,YES
AAL,0000006201,0001193125-24-148138,8-K,2024-05-28,YES
AAL,0000006201,0000006201-24-000032,10-Q,2024-04-25,YES
AAL,0000006201,0000006201-24-000031,8-K,2024-04-25,YES
AAL,0000006201,0000006201-24-000024,8-K,2024-03-12,YES
AAL,0000006201,0000006201-24-000020,8-K,2024-03-05,YES
AAL,0000006201,0000006201-24-000015,8-K,2024-03-04,YES
AAL,0000006201,0001193125-24-046293,8-K,2024-02-26,YES
AAL,0000006201,0000006201-24-000010,10-K,2024-02-21,YES
AAL,0000006201,0000006201-24-000005,8-K,2024-01-25,YES
AAL,0000006201,0001193125-23-288364,8-K,2023-12-04,YES
AAL,0000006201,0001193125-23-279913,8-K,2023-11-17,YES
AAL,0000006201,0001193125-23-278464,8-K,2023-11-16,YES
AAL,0000006201,0000006201-23-000092,10-Q,2023-10-19,YES
AAL,0000006201,0000006201-23-000091,8-K,2023-10-19,YES
AAL,0000006201,0000006201-23-000082,8-K,2023-09-21,YES
AAL,0000006201,0000006201-23-000078,8-K,2023-09-13,YES
AAL,0000006201,0000006201-23-000073,8-K,2023-08-22,YES
AAL,0000006201,0000006201-23-000070,10-Q,2023-07-20,YES
AAL,0000006201,0000006201-23-000069,8-K,2023-07-20,YES
AAL,0000006201,0000006201-23-000059,8-K,2023-05-31,YES
AAL,0000006201,0000006201-23-000055,8-K,2023-05-26,YES
AAL,0000006201,0000006201-23-000051,8-K,2023-05-11,YES
AAL,0000006201,0000006201-23-000045,8-K/A,2023-05-05,YES
AAL,0000006201,0000006201-23-000042,10-Q,2023-04-27,YES
AAL,0000006201,0000006201-23-000041,8-K,2023-04-27,YES
AAL,0000006201,0000006201-23-000033,8-K,2023-04-12,YES
AAL,0000006201,0000006201-23-000029,8-K,2023-03-13,YES
AAL,0000006201,0001193125-23-050851,8-K,2023-02-27,YES
AAL,0000006201,0000006201-23-000025,8-K,2023-02-23,YES
AAL,0000006201,0000006201-23-000018,10-K,2023-02-22,YES
AAL,0000006201,0001193125-23-040349,8-K,2023-02-15,YES
AAL,0000006201,0001193125-23-028742,8-K,2023-02-09,YES
AAL,0000006201,0001193125-23-027716,8-K,2023-02-08,YES
AAL,0000006201,0000006201-23-000013,8-K,2023-02-03,YES
AAL,0000006201,0000006201-23-000008,8-K,2023-01-26,YES
AAL,0000006201,0000006201-23-000004,8-K,2023-01-12,YES
AAP,0001158449,0001193125-26-100177,8-K,2026-03-10,YES
AAP,0001158449,0001193125-26-051305,10-K,2026-02-13,NO
AAP,0001158449,0001193125-26-049776,8-K,2026-02-13,YES
AAP,0001158449,0001628280-26-001962,8-K,2026-01-13,YES
AAP,0001158449,0001628280-25-047523,10-Q,2025-10-30,YES
AAP,0001158449,0001628280-25-047277,8-K,2025-10-30,YES
AAP,0001158449,0001628280-25-047275,8-K,2025-10-30,YES
AAP,0001158449,0001158449-25-000272,10-Q,2025-08-14,YES
AAP,0001158449,0001158449-25-000268,8-K,2025-08-14,YES
AAP,0001158449,0001158449-25-000259,8-K,2025-08-05,YES
AAP,0001158449,0001193125-25-163855,8-K,2025-07-24,YES
AAP,0001158449,0001193125-25-163851,8-K,2025-07-24,YES
AAP,0001158449,0001158449-25-000189,10-Q,2025-05-22,YES
AAP,0001158449,0001158449-25-000182,8-K,2025-05-22,YES
AAP,0001158449,0001158449-25-000176,8-K,2025-05-19,YES
AAP,0001158449,0001158449-25-000131,8-K,2025-03-20,YES
AAP,0001158449,0001158449-25-000064,10-K,2025-02-26,YES
AAP,0001158449,0001158449-25-000060,8-K,2025-02-26,YES
AAP,0001158449,0001158449-25-000058,8-K,2025-02-26,YES
AAP,0001158449,0001158449-25-000048,8-K,2025-02-19,YES
AAP,0001158449,0001193125-25-021789,8-K,2025-02-06,YES
AAP,0001158449,0001158449-24-000260,8-K,2024-12-20,YES
AAP,0001158449,0001158449-24-000238,10-Q,2024-11-14,NO
AAP,0001158449,0001158449-24-000236,8-K,2024-11-14,NO
AAP,0001158449,0001193125-24-257954,8-K,2024-11-14,NO
AAP,0001158449,0001158449-24-000229,8-K,2024-11-07,YES
AAP,0001158449,0001158449-24-000205,8-K,2024-10-04,YES
AAP,0001158449,0001158449-24-000199,8-K,2024-09-17,YES
AAP,0001158449,0001193125-24-205390,8-K,2024-08-22,YES
AAP,0001158449,0001158449-24-000195,10-Q,2024-08-22,YES
AAP,0001158449,0001158449-24-000192,8-K,2024-08-22,YES
AAP,0001158449,0001158449-24-000162,8-K,2024-06-14,YES
AAP,0001158449,0001158449-24-000132,10-Q,2024-05-30,YES
AAP,0001158449,0001158449-24-000128,10-K/A,2024-05-30,YES
AAP,0001158449,0001158449-24-000126,8-K,2024-05-29,YES
AAP,0001158449,0001158449-24-000124,8-K/A,2024-05-29,YES
AAP,0001158449,0001158449-24-000120,8-K,2024-05-29,YES
AAP,0001158449,0001158449-24-000048,10-K,2024-03-12,YES
AAP,0001158449,0001193125-24-065470,8-K,2024-03-12,YES
AAP,0001158449,0001158449-24-000028,8-K,2024-02-28,YES
AAP,0001158449,0001158449-24-000002,8-K,2024-01-05,YES
AAP,0001158449,0001158449-23-000243,10-Q,2023-11-21,YES
AAP,0001158449,0001158449-23-000238,8-K,2023-11-15,YES
AAP,0001158449,0001158449-23-000237,8-K,2023-11-15,YES
AAP,0001158449,0001193125-23-244749,8-K,2023-09-28,YES
AAP,0001158449,0001158449-23-000204,10-Q,2023-08-23,YES
AAP,0001158449,0001193125-23-218433,8-K,2023-08-23,YES
AAP,0001158449,0001158449-23-000201,8-K,2023-08-23,YES
AAP,0001158449,0001193125-23-211026,8-K,2023-08-14,YES
AAP,0001158449,0001158449-23-000142,10-Q,2023-06-06,YES
AAP,0001158449,0001158449-23-000136,8-K,2023-05-31,YES
AAP,0001158449,0001158449-23-000133,8-K,2023-05-31,YES
AAP,0001158449,0001158449-23-000112,8-K,2023-04-13,YES
AAP,0001158449,0001193125-23-065940,8-K,2023-03-09,YES
AAP,0001158449,0001193125-23-062230,8-K,2023-03-07,YES
AAP,0001158449,0001158449-23-000035,10-K,2023-02-28,YES
AAP,0001158449,0001158449-23-000032,8-K,2023-02-28,YES
AAP,0001158449,0001157523-23-000371,8-K,2023-02-28,YES
AAPL,0000320193,0001140361-26-006577,8-K,2026-02-24,YES
AAPL,0000320193,0000320193-26-000006,10-Q,2026-01-30,YES
AAPL,0000320193,0000320193-26-000005,8-K,2026-01-29,YES
AAPL,0000320193,0001140361-26-000199,8-K,2026-01-02,NO
AAPL,0000320193,0001140361-25-044561,8-K,2025-12-05,YES
AAPL,0000320193,0000320193-25-000079,10-K,2025-10-31,YES
AAPL,0000320193,0000320193-25-000077,8-K,2025-10-30,YES
AAPL,0000320193,0000320193-25-000073,10-Q,2025-08-01,YES
AAPL,0000320193,0000320193-25-000071,8-K,2025-07-31,YES
AAPL,0000320193,0001140361-25-027340,8-K,2025-07-25,YES
AAPL,0000320193,0001140361-25-025275,8-K,2025-07-09,YES
AAPL,0000320193,0001140361-25-018400,8-K,2025-05-12,YES
AAPL,0000320193,0000320193-25-000057,10-Q,2025-05-02,YES
AAPL,0000320193,0000320193-25-000055,8-K,2025-05-01,YES
AAPL,0000320193,0001140361-25-005876,8-K,2025-02-25,YES
AAPL,0000320193,0000320193-25-000008,10-Q,2025-01-31,YES
AAPL,0000320193,0000320193-25-000007,8-K,2025-01-30,YES
AAPL,0000320193,0001140361-25-000228,8-K,2025-01-03,YES
AAPL,0000320193,0000320193-24-000123,10-K,2024-11-01,YES
AAPL,0000320193,0000320193-24-000120,8-K,2024-10-31,YES
AAPL,0000320193,0001140361-24-040659,8-K,2024-09-10,YES
AAPL,0000320193,0001140361-24-038601,8-K,2024-08-26,YES
AAPL,0000320193,0001140361-24-038403,8-K,2024-08-23,YES
AAPL,0000320193,0000320193-24-000081,10-Q,2024-08-02,YES
AAPL,0000320193,0000320193-24-000080,8-K,2024-08-01,YES
AAPL,0000320193,0001140361-24-024352,8-K,2024-05-03,YES
AAPL,0000320193,0000320193-24-000069,10-Q,2024-05-03,YES
AAPL,0000320193,0000320193-24-000067,8-K,2024-05-02,YES
AAPL,0000320193,0001140361-24-010155,8-K,2024-02-28,YES
AAPL,0000320193,0000320193-24-000006,10-Q,2024-02-02,YES
AAPL,0000320193,0000320193-24-000005,8-K,2024-02-01,YES
AAPL,0000320193,0000320193-23-000106,10-K,2023-11-03,YES
AAPL,0000320193,0000320193-23-000104,8-K,2023-11-02,YES
AAPL,0000320193,0000320193-23-000077,10-Q,2023-08-04,YES
AAPL,0000320193,0000320193-23-000075,8-K,2023-08-03,YES
AAPL,0000320193,0001140361-23-023909,8-K,2023-05-10,YES
AAPL,0000320193,0000320193-23-000064,10-Q,2023-05-05,YES
AAPL,0000320193,0000320193-23-000063,8-K,2023-05-04,YES
AAPL,0000320193,0001140361-23-011192,8-K,2023-03-10,YES
AAPL,0000320193,0000320193-23-000006,10-Q,2023-02-03,YES
AAPL,0000320193,0000320193-23-000005,8-K,2023-02-02,YES
ABBV,0001551152,0001104659-26-023534,8-K,2026-03-04,YES
ABBV,0001551152,0001104659-26-020643,8-K,2026-02-26,YES
ABBV,0001551152,0001551152-26-000008,10-K,2026-02-20,YES
ABBV,0001551152,0001551152-26-000004,8-K,2026-02-04,YES
ABBV,0001551152,0001551152-26-000002,8-K,2026-01-07,YES
ABBV,0001551152,0001551152-25-000049,10-Q,2025-11-04,YES
ABBV,0001551152,0001551152-25-000047,8-K,2025-10-31,YES
ABBV,0001551152,0001551152-25-000043,8-K,2025-10-03,YES
ABBV,0001551152,0001104659-25-089245,8-K,2025-09-11,YES
ABBV,0001551152,0001551152-25-000040,10-Q,2025-08-04,YES
ABBV,0001551152,0001551152-25-000036,8-K,2025-07-31,YES
ABBV,0001551152,0001551152-25-000034,8-K,2025-07-03,YES
ABBV,0001551152,0001104659-25-047402,8-K,2025-05-13,YES
ABBV,0001551152,0001551152-25-000029,10-Q,2025-05-09,YES
ABBV,0001551152,0001551152-25-000026,8-K,2025-04-25,YES
ABBV,0001551152,0001551152-25-000023,8-K,2025-04-03,YES
ABBV,0001551152,0001104659-25-017490,8-K,2025-02-26,YES
ABBV,0001551152,0001104659-25-015015,8-K,2025-02-19,YES
ABBV,0001551152,0001551152-25-000020,10-K,2025-02-14,YES
ABBV,0001551152,0001104659-25-013467,8-K,2025-02-14,YES
ABBV,0001551152,0001104659-25-009673,8-K,2025-02-05,YES
ABBV,0001551152,0001551152-25-000011,8-K,2025-01-31,YES
ABBV,0001551152,0001551152-25-000006,8-K,2025-01-10,YES
ABBV,0001551152,0001551152-25-000002,8-K,2025-01-06,YES
ABBV,0001551152,0001104659-24-128413,8-K,2024-12-13,YES
ABBV,0001551152,0001551152-24-000040,10-Q,2024-11-04,YES
ABBV,0001551152,0001551152-24-000036,8-K,2024-10-30,YES
ABBV,0001551152,0001551152-24-000033,8-K,2024-10-03,YES
ABBV,0001551152,0001104659-24-098564,8-K,2024-09-10,YES
ABBV,0001551152,0001551152-24-000031,10-Q,2024-08-07,NO
ABBV,0001551152,0001551152-24-000026,8-K,2024-07-25,YES
ABBV,0001551152,0001551152-24-000024,8-K,2024-07-03,YES
ABBV,0001551152,0001104659-24-058808,8-K/A,2024-05-08,YES
ABBV,0001551152,0001551152-24-000020,10-Q,2024-05-03,YES
ABBV,0001551152,0001551152-24-000016,8-K,2024-04-26,YES
ABBV,0001551152,0001551152-24-000013,8-K,2024-04-03,YES
ABBV,0001551152,0001104659-24-027585,8-K,2024-02-26,YES
ABBV,0001551152,0001551152-24-000011,10-K,2024-02-20,YES
ABBV,0001551152,0001104659-24-025262,8-K,2024-02-20,YES
ABBV,0001551152,0001104659-24-013692,8-K,2024-02-12,YES
ABBV,0001551152,0001551152-24-000007,8-K,2024-02-02,YES
ABBV,0001551152,0001551152-24-000002,8-K,2024-01-05,YES
ABBV,0001551152,0001104659-23-124047,8-K,2023-12-06,YES
ABBV,0001551152,0001104659-23-122241,8-K,2023-11-30,YES
ABBV,0001551152,0001551152-23-000045,10-Q,2023-11-06,YES
ABBV,0001551152,0001551152-23-000040,8-K,2023-10-27,YES
ABBV,0001551152,0001104659-23-108864,8-K,2023-10-12,YES
ABBV,0001551152,0001551152-23-000036,8-K,2023-10-04,YES
ABBV,0001551152,0001551152-23-000033,10-Q,2023-08-07,YES
ABBV,0001551152,0001551152-23-000028,8-K,2023-07-27,YES
ABBV,0001551152,0001551152-23-000026,8-K,2023-07-06,YES
ABBV,0001551152,0001104659-23-076373,8-K,2023-06-29,YES
ABBV,0001551152,0001104659-23-058520,8-K,2023-05-10,YES
ABBV,0001551152,0001551152-23-000023,10-Q,2023-05-05,YES
ABBV,0001551152,0001551152-23-000019,8-K,2023-04-27,YES
ABBV,0001551152,0001551152-23-000015,8-K,2023-04-05,YES
ABBV,0001551152,0001104659-23-037749,8-K,2023-03-28,YES
ABBV,0001551152,0001551152-23-000011,10-K,2023-02-17,YES
ABBV,0001551152,0001551152-23-000006,8-K,2023-02-09,YES
ABBV,0001551152,0001104659-23-002452,8-K,2023-01-10,YES
ABBV,0001551152,0001551152-23-000004,8-K,2023-01-06,YES
ABM,0000771497,0001193125-26-123385,8-K,2026-03-25,YES
ABM,0000771497,0000771497-26-000001,10-Q,2026-03-10,NO
ABM,0000771497,0001193125-26-099334,8-K,2026-03-10,YES
ABM,0000771497,0001193125-26-039443,8-K,2026-02-05,YES
ABM,0000771497,0000771497-25-000031,10-K,2025-12-19,YES
ABM,0000771497,0001193125-25-321680,8-K,2025-12-17,YES
ABM,0000771497,0001193125-25-312442,8-K/A,2025-12-09,YES
ABM,0000771497,0001193125-25-257546,8-K,2025-10-30,YES
ABM,0000771497,0000771497-25-000024,8-K/A,2025-09-05,YES
ABM,0000771497,0000771497-25-000022,10-Q,2025-09-05,YES
ABM,0000771497,0000771497-25-000020,8-K,2025-09-05,YES
ABM,0000771497,0000950170-25-085140,8-K,2025-06-12,YES
ABM,0000771497,0000950170-25-084112,8-K,2025-06-10,YES
ABM,0000771497,0000771497-25-000014,10-Q,2025-06-06,YES
ABM,0000771497,0000950170-25-082687,8-K,2025-06-06,YES
ABM,0000771497,0000950170-25-046054,8-K,2025-03-27,YES
ABM,0000771497,0000771497-25-000005,10-Q,2025-03-12,YES
ABM,0000771497,0000950170-25-037617,8-K,2025-03-12,YES
ABM,0000771497,0000950170-25-030050,8-K,2025-02-28,YES
ABM,0000771497,0000771497-24-000029,10-K,2024-12-19,YES
ABM,0000771497,0000950170-24-137611,8-K,2024-12-18,YES
ABM,0000771497,0000950170-24-115327,8-K,2024-10-17,YES
ABM,0000771497,0000950170-24-106342,8-K,2024-09-13,YES
ABM,0000771497,0000771497-24-000017,10-Q,2024-09-06,YES
ABM,0000771497,0000950170-24-104226,8-K,2024-09-06,YES
ABM,0000771497,0000950170-24-084577,8-K,2024-07-18,YES
ABM,0000771497,0000771497-24-000013,10-Q,2024-06-06,YES
ABM,0000771497,0000950170-24-069662,8-K,2024-06-06,YES
ABM,0000771497,0000950170-24-037283,8-K,2024-03-27,YES
ABM,0000771497,0000771497-24-000008,10-Q,2024-03-07,YES
ABM,0000771497,0000950170-24-027580,8-K,2024-03-07,YES
ABM,0000771497,0000771497-23-000025,10-K,2023-12-18,YES
ABM,0000771497,0000950170-23-069873,8-K,2023-12-13,YES
ABM,0000771497,0000771497-23-000020,10-Q,2023-09-07,YES
ABM,0000771497,0000950170-23-046875,8-K,2023-09-07,YES
ABM,0000771497,0000950170-23-028287,8-K,2023-06-15,YES
ABM,0000771497,0000771497-23-000012,10-Q,2023-06-07,YES
ABM,0000771497,0000950170-23-026534,8-K,2023-06-06,YES
ABM,0000771497,0000950170-23-010304,8-K/A,2023-03-28,YES
ABM,0000771497,0000950170-23-009990,8-K,2023-03-27,YES
ABM,0000771497,0000771497-23-000008,10-Q,2023-03-08,YES
ABM,0000771497,0000950170-23-006583,8-K,2023-03-08,YES
ABNB,0001559720,0001193125-26-108514,8-K,2026-03-16,NO
ABNB,0001559720,0001559720-26-000004,10-K,2026-02-12,YES
ABNB,0001559720,0001193125-26-048670,8-K,2026-02-12,YES
ABNB,0001559720,0001193125-25-291024,8-K,2025-11-21,YES
ABNB,0001559720,0001559720-25-000030,10-Q,2025-11-06,YES
ABNB,0001559720,0001193125-25-269432,8-K,2025-11-06,YES
ABNB,0001559720,0001559720-25-000025,10-Q,2025-08-06,YES
ABNB,0001559720,0001193125-25-174438,8-K,2025-08-06,YES
ABNB,0001559720,0001193125-25-137216,8-K,2025-06-09,YES
ABNB,0001559720,0001559720-25-000017,10-Q,2025-05-01,YES
ABNB,0001559720,0001193125-25-109934,8-K,2025-05-01,YES
ABNB,0001559720,0001559720-25-000010,10-K,2025-02-13,YES
ABNB,0001559720,0001193125-25-026054,8-K,2025-02-13,YES
ABNB,0001559720,0001559720-24-000032,10-Q,2024-11-07,YES
ABNB,0001559720,0001193125-24-253103,8-K,2024-11-07,YES
ABNB,0001559720,0001559720-24-000024,10-Q,2024-08-06,NO
ABNB,0001559720,0001193125-24-194849,8-K,2024-08-06,NO
ABNB,0001559720,0001193125-24-157426,8-K,2024-06-07,YES
ABNB,0001559720,0001559720-24-000017,10-Q,2024-05-08,YES
ABNB,0001559720,0001193125-24-134183,8-K,2024-05-08,YES
ABNB,0001559720,0001559720-24-000006,10-K,2024-02-16,YES
ABNB,0001559720,0001193125-24-033706,8-K,2024-02-13,YES
ABNB,0001559720,0001193125-23-293738,8-K,2023-12-13,YES
ABNB,0001559720,0001193125-23-291772,8-K,2023-12-08,YES
ABNB,0001559720,0001193125-23-277210,8-K,2023-11-14,YES
ABNB,0001559720,0001193125-23-272535,8-K,2023-11-07,YES
ABNB,0001559720,0001559720-23-000020,10-Q,2023-11-01,YES
ABNB,0001559720,0001193125-23-268164,8-K,2023-11-01,YES
ABNB,0001559720,0001193125-23-232474,8-K,2023-09-11,YES
ABNB,0001559720,0001559720-23-000015,10-Q,2023-08-03,YES
ABNB,0001559720,0001193125-23-202832,8-K,2023-08-03,YES
ABNB,0001559720,0001193125-23-162506,8-K,2023-06-07,YES
ABNB,0001559720,0001559720-23-000010,10-Q,2023-05-09,YES
