ticker,accession,formType,filedAt,in_neo4j,in_edgar
EQH,0000950142-26-001142,8-K,2026-04-15,YES,NO
EQR,0001193125-26-157146,8-K,2026-04-15,YES,NO
EQT,0001104659-26-043807,8-K,2026-04-15,YES,NO
EQT,0000033213-26-000022,8-K,2026-04-14,YES,NO
F,0000037996-26-000081,8-K,2026-04-15,YES,NO
F,0000037996-26-000079,8-K,2026-04-15,YES,NO
FANG,0001539838-26-000070,8-K,2026-04-13,YES,NO
FANG,0001104659-26-042635,8-K,2026-04-13,YES,NO
FAST,0000815556-26-000019,8-K,2026-04-13,YES,NO
FAST,0000815556-26-000022,10-Q,2026-04-16,YES,NO
FDX,0001104659-26-042617,8-K,2026-04-13,YES,NO
FLS,0001193125-26-156982,8-K,2026-04-15,YES,NO
FRT,0001193125-26-156973,8-K,2026-04-15,YES,NO
GIS,0000040704-26-000004,8-K,2026-04-16,YES,NO
GS,0000886982-26-000096,8-K,2026-04-13,YES,NO
GT,0001628280-26-025265,8-K,2026-04-15,YES,NO
GTLB,0001653482-26-000051,8-K,2026-04-16,YES,NO
HAIN,0001193125-26-161777,8-K,2026-04-17,YES,NO
HRMY,0001104659-26-042886,8-K,2026-04-14,YES,NO
HSY,0001628280-26-025076,8-K,2026-04-14,YES,NO
IART,0000917520-26-000019,8-K,2026-04-15,YES,NO
JBHT,0001437749-26-012396,8-K,2026-04-15,YES,NO
JBLU,0001158463-26-000054,8-K,2026-04-17,YES,NO
KMX,0001170010-26-000017,8-K,2026-04-14,YES,NO
KMX,0001170010-26-000021,10-K,2026-04-15,YES,NO
LBRT,0001694028-26-000016,8-K,2026-04-17,YES,NO
LEN,0001628280-26-024894,8-K,2026-04-13,YES,NO
LNC,0000059558-26-000022,8-K,2026-04-16,YES,NO
MAN,0001193125-26-157932,8-K,2026-04-16,YES,NO
MKTX,0001193125-26-161620,8-K/A,2026-04-17,YES,NO
MKTX,0001193125-26-161620,8-K/A,2026-04-17,YES,NO
MPC,0001510295-26-000029,8-K,2026-04-13,YES,NO
MRVL,0001193125-26-157134,8-K,2026-04-15,YES,NO
MSM,0001003078-26-000064,8-K,2026-04-15,YES,NO
MSTR,0001193125-26-152015,8-K,2026-04-13,YES,NO
NFE,0001749723-26-000035,8-K,2026-04-14,YES,NO
NFE,0001749723-26-000032,10-K,2026-04-13,YES,NO
NFLX,0001065280-26-000137,8-K,2026-04-16,YES,NO
NFLX,0001065280-26-000138,10-Q,2026-04-17,YES,NO
NRG,0001104659-26-043327,8-K,2026-04-14,YES,NO
OC,0001370946-26-000129,8-K,2026-04-15,YES,NO
OGE,0001193125-26-155169,8-K,2026-04-14,YES,NO
PEP,0000077476-26-000019,8-K,2026-04-15,YES,NO
PEP,0000077476-26-000017,10-Q,2026-04-15,YES,NO
PG,0000080424-26-000048,8-K,2026-04-14,YES,NO
PGR,0000080661-26-000173,8-K,2026-04-15,YES,NO
PNW,0000764622-26-000018,8-K,2026-04-15,YES,NO
PRU,0001137774-26-000087,8-K,2026-04-14,YES,NO
PRU,0001193125-26-152952,8-K,2026-04-13,YES,NO
PSN,0001193125-26-157010,8-K,2026-04-15,YES,NO
PWR,0001193125-26-159117,8-K,2026-04-16,YES,NO
QDEL,0001906324-26-000013,8-K,2026-04-15,YES,NO
RIG,0001451505-26-000032,8-K,2026-04-16,YES,NO
RIG,0001451505-26-000029,8-K,2026-04-14,YES,NO
RKLB,0001753926-26-000654,8-K,2026-04-14,YES,NO
ROK,0001024478-26-000014,8-K,2026-04-17,YES,NO
ROKU,0001628280-26-024842,8-K,2026-04-13,YES,NO
SLG,0001628280-26-025419,8-K,2026-04-16,YES,NO
SNAP,0001193125-26-155861,8-K,2026-04-15,YES,NO
SON,0000091767-26-000016,8-K,2026-04-16,YES,NO
SRE,0001032208-26-000020,8-K,2026-04-17,YES,NO
STT,0000093751-26-000184,8-K,2026-04-17,YES,NO
TDG,0001193125-26-161564,8-K,2026-04-17,YES,NO
TDG,0001260221-26-000036,8-K,2026-04-15,YES,NO
TDG,0001260221-26-000033,8-K,2026-04-14,YES,NO
TEX,0000097216-26-000059,8-K,2026-04-13,YES,NO
TSE,0001104659-26-043485,8-K,2026-04-15,YES,NO
TSE,0001104659-26-042351,8-K,2026-04-13,YES,NO
TVTX,0001438533-26-000032,8-K,2026-04-13,YES,NO
TXN,0000097476-26-000094,8-K,2026-04-17,YES,NO
VCTR,0001193125-26-153004,8-K,2026-04-13,YES,NO
WERN,0000793074-26-000090,8-K/A,2026-04-14,YES,NO
WERN,0000793074-26-000090,8-K/A,2026-04-14,YES,NO
WLK,0001193125-26-153703,8-K,2026-04-14,YES,NO
XENE,0001193125-26-152834,8-K,2026-04-13,YES,NO
ZS,0001713683-26-000082,8-K,2026-04-16,YES,NO
