ticker,accession,formType,filedAt,in_neo4j,in_edgar
AEP,0000004904-25-000202,8-K,2025-12-29,YES,YES
AEP,0000004904-25-000198,8-K,2025-12-19,YES,YES
AEP,0000004904-26-000013,10-K,2026-02-12,YES,YES
AES,0000874761-26-000006,8-K,2026-01-16,YES,YES
AFL,0001628280-26-005458,8-K,2026-02-04,YES,YES
AFRM,0001628280-26-005772,8-K,2026-02-05,YES,YES
AFRM,0001628280-26-002442,8-K,2026-01-16,YES,YES
AFRM,0001628280-25-057930,8-K,2025-12-18,YES,YES
AFRM,0001628280-26-005855,10-Q,2026-02-05,YES,YES
AGIO,0001439222-26-000023,8-K,2026-02-12,YES,YES
AGIO,0001439222-26-000018,8-K,2026-01-12,YES,YES
AGIO,0001439222-26-000025,10-K,2026-02-12,YES,YES
AGNC,0001423689-26-000024,8-K,2026-01-26,YES,YES
AGNC,0001423689-26-000007,8-K,2026-01-14,YES,YES
AIG,0000005272-26-000014,8-K,2026-02-10,YES,YES
AIG,0000005272-26-000006,8-K,2026-01-06,YES,YES
AIG,0000005272-26-000023,10-K,2026-02-12,YES,YES
AIR,0001104659-26-013432,8-K,2026-02-11,YES,YES
AIR,0001104659-26-006227,8-K/A,2026-01-23,YES,YES
AIR,0001104659-26-001328,8-K,2026-01-06,YES,YES
AIR,0001104659-25-122110,8-K,2025-12-17,YES,YES
AIR,0001104659-26-001420,10-Q,2026-01-06,YES,YES
AIR,0001104659-26-006227,8-K/A,2026-01-23,YES,YES
AJG,0001193125-26-029407,8-K,2026-01-29,YES,YES
AJG,0000354190-25-000054,8-K,2025-12-16,YES,YES
ALB,0000915913-26-000016,8-K,2026-02-11,YES,YES
ALB,0000915913-26-000018,10-K,2026-02-11,YES,YES
ALGN,0001097149-26-000006,8-K,2026-02-04,YES,YES
ALGT,0001362468-26-000004,8-K,2026-02-04,YES,YES
ALGT,0001140361-26-000907,8-K,2026-01-12,YES,YES
ALK,0000766421-26-000007,8-K,2026-01-22,YES,YES
ALK,0000766421-26-000004,8-K,2026-01-07,YES,YES
ALK,0000766421-26-000010,10-K,2026-02-12,YES,YES
ALKS,0001193125-26-047682,8-K,2026-02-12,YES,YES
ALKS,0001193125-26-009813,8-K,2026-01-12,YES,YES
ALKS,0001193125-26-003453,8-K,2026-01-06,YES,YES
ALL,0000899051-26-000013,8-K,2026-02-04,YES,YES
ALL,0000899051-26-000009,8-K,2026-01-15,YES,YES
ALL,0000899051-25-000126,8-K,2025-12-18,YES,YES
ALNY,0001628280-26-007491,8-K,2026-02-12,YES,YES
ALNY,0001628280-26-001755,8-K,2026-01-12,YES,YES
ALNY,0001628280-26-007497,10-K,2026-02-12,YES,YES
ALSN,0001193125-26-000343,8-K,2026-01-02,YES,YES
ALT,0001326190-26-000008,8-K,2026-02-03,YES,YES
ALT,0001326190-26-000006,8-K,2026-01-28,YES,YES
ALT,0001104659-25-122724,8-K,2025-12-19,YES,YES
ALV,0001193125-26-030248,8-K,2026-01-30,YES,YES
ALV,0001193125-25-332977,8-K,2025-12-29,YES,YES
AMAT,0001628280-26-007661,8-K,2026-02-12,YES,YES
AMAT,0001628280-26-007444,8-K,2026-02-11,YES,YES
AMC,0001104659-26-014607,8-K,2026-02-13,YES,YES
AMC,0001104659-26-011781,8-K,2026-02-09,YES,YES
AMC,0001104659-26-007682,8-K,2026-01-29,YES,YES
AMC,0001104659-26-002937,8-K,2026-01-12,YES,YES
AMC,0001104659-25-123452,8-K,2025-12-22,YES,YES
AMCX,0001514991-26-000008,8-K,2026-02-11,YES,YES
AMCX,0001514991-26-000003,8-K,2026-01-22,YES,YES
AMCX,0001514991-26-000011,10-K,2026-02-11,YES,YES
AMD,0000002488-26-000014,8-K,2026-02-03,YES,YES
AMD,0000002488-26-000002,8-K,2026-01-20,YES,YES
AMD,0000002488-26-000021,10-K/A,2026-02-04,YES,YES
AMD,0000002488-26-000018,10-K,2026-02-03,YES,YES
AMD,0000002488-26-000021,10-K/A,2026-02-04,YES,YES
AME,0001037868-26-000009,8-K,2026-02-12,YES,YES
AME,0001037868-26-000006,8-K,2026-02-03,YES,YES
AMG,0001628280-26-007464,8-K,2026-02-12,YES,YES
AMG,0001193125-26-047590,8-K,2026-02-12,YES,YES
AMGN,0000318154-26-000003,8-K,2026-02-03,YES,YES
AMGN,0001193125-26-030518,8-K,2026-01-30,YES,YES
AMGN,0000318154-26-000010,10-K,2026-02-13,YES,YES
AMP,0001104659-26-014312,8-K,2026-02-12,YES,YES
AMP,0000820027-26-000004,8-K,2026-01-29,YES,YES
AMRX,0001628280-26-004738,8-K,2026-02-02,YES,YES
AMRX,0001628280-26-003842,8-K,2026-01-28,YES,YES
AMRX,0001723128-26-000003,8-K,2026-01-13,YES,YES
AMT,0001053507-26-000028,8-K,2026-01-29,YES,YES
AMT,0001053507-26-000026,8-K,2026-01-28,YES,YES
AMTX,0001437749-26-003382,8-K,2026-02-06,YES,YES
AMTX,0001437749-26-002317,8-K,2026-01-28,YES,YES
AMZN,0001018724-26-000002,8-K,2026-02-05,YES,YES
AMZN,0001018724-26-000004,10-K,2026-02-05,YES,YES
ANET,0001596532-26-000010,8-K,2026-02-12,YES,YES
ANET,0001596532-26-000013,10-K,2026-02-13,YES,YES
ANF,0001018840-26-000003,8-K,2026-01-12,YES,YES
APA,0001841666-26-000003,8-K,2026-01-20,YES,YES
APD,0000002969-26-000006,8-K,2026-01-30,YES,YES
APD,0001193125-26-029381,8-K,2026-01-29,YES,YES
APD,0000002969-26-000008,10-Q,2026-01-30,YES,YES
APH,0001104659-26-010676,8-K,2026-02-05,YES,YES
APH,0001104659-26-007259,8-K,2026-01-28,YES,YES
APH,0001104659-26-002737,8-K,2026-01-12,YES,YES
APH,0001104659-26-002183,8-K,2026-01-08,YES,YES
APH,0001104659-26-013549,10-K,2026-02-11,YES,YES
APLS,0001193125-26-010540,8-K,2026-01-12,YES,YES
APO,0001858681-26-000007,8-K,2026-02-09,YES,YES
APO,0001858681-26-000004,8-K,2026-01-02,YES,YES
APPN,0001441683-26-000003,8-K,2026-01-21,YES,YES
AR,0001104659-26-013420,8-K,2026-02-11,YES,YES
AR,0001104659-26-012158,8-K,2026-02-09,YES,YES
AR,0001104659-26-009754,8-K,2026-02-03,YES,YES
AR,0001104659-26-007438,8-K,2026-01-28,YES,YES
AR,0001104659-26-003798,8-K,2026-01-14,YES,YES
AR,0001104659-26-013386,10-K,2026-02-11,YES,YES
ARDX,0001437402-26-000003,8-K,2026-01-08,YES,YES
ARDX,0001437402-25-000021,8-K,2025-12-17,YES,YES
ARES,0001628280-26-005596,8-K,2026-02-04,YES,YES
ARMK,0001584509-26-000037,8-K,2026-02-10,YES,YES
ARMK,0001584509-26-000020,8-K,2026-02-04,YES,YES
ARMK,0001584509-26-000040,10-Q,2026-02-10,YES,YES
ARVN,0001628280-26-007463,8-K,2026-02-12,YES,YES
ARWR,0000879407-26-000033,8-K,2026-02-05,YES,YES
ARWR,0001193125-26-010582,8-K,2026-01-12,YES,YES
ARWR,0001193125-26-007971,8-K,2026-01-08,YES,YES
ARWR,0000879407-26-000004,8-K,2026-01-06,YES,YES
ARWR,0000879407-26-000034,10-Q,2026-02-05,YES,YES
ASH,0001193125-26-033842,8-K,2026-02-02,YES,YES
ASH,0001193125-26-024553,8-K,2026-01-27,YES,YES
ASH,0001193125-26-019509,8-K,2026-01-22,YES,YES
ASH,0001193125-26-035054,10-Q,2026-02-03,YES,YES
ATEC,0001193125-26-009910,8-K,2026-01-12,YES,YES
ATO,0001193125-26-044926,8-K,2026-02-10,YES,YES
ATO,0000731802-26-000011,8-K,2026-02-03,YES,YES
ATO,0000731802-26-000013,10-Q,2026-02-03,YES,YES
ATRC,0001193125-26-009814,8-K,2026-01-12,YES,YES
AVAV,0001104659-26-004855,8-K,2026-01-20,YES,YES
AVAV,0001104659-25-124091,8-K,2025-12-23,YES,YES
AVGO,0001193125-26-011731,8-K,2026-01-13,YES,YES
AVGO,0001730168-25-000121,10-K,2025-12-18,YES,YES
AVXL,0001731122-26-000193,8-K,2026-02-09,YES,YES
AVXL,0001731122-26-000200,10-Q,2026-02-09,YES,YES
AVY,0000008818-26-000004,8-K,2026-02-04,YES,YES
AWI,0001193125-26-033816,8-K,2026-02-02,YES,YES
AWI,0001193125-26-012306,8-K,2026-01-14,YES,YES
AWI,0001193125-25-320094,8-K,2025-12-16,YES,YES
AWK,0001410636-26-000029,8-K,2026-02-10,YES,YES
AWK,0001410636-26-000024,8-K,2026-02-10,YES,YES
AWK,0001410636-26-000007,8-K,2026-01-27,YES,YES
AWK,0001410636-26-000003,8-K,2026-01-16,YES,YES
AWK,0001410636-25-000185,8-K,2025-12-18,YES,YES
AXSM,0001193125-26-009744,8-K,2026-01-12,YES,YES
AXSM,0001193125-25-337644,8-K,2025-12-31,YES,YES
AXTA,0001616862-26-000001,8-K,2026-02-10,YES,YES
AXTA,0001628280-25-058244,8-K,2025-12-19,YES,YES
AXTA,0001628280-26-008008,10-K,2026-02-13,YES,YES
AYI,0001144215-26-000015,8-K,2026-01-23,YES,YES
AYI,0001144215-26-000012,8-K,2026-01-08,YES,YES
AYI,0001144215-26-000010,10-Q,2026-01-08,YES,YES
AZO,0001171843-25-008040,8-K,2025-12-19,YES,YES
AZO,0001104659-25-123222,10-Q,2025-12-19,YES,YES
BA,0001628280-26-003518,8-K,2026-01-27,YES,YES
BA,0001628280-26-004357,10-K,2026-01-30,YES,YES
BAH,0001443646-26-000003,8-K,2026-02-06,YES,YES
BAH,0001628280-26-003186,8-K,2026-01-23,YES,YES
BAH,0001628280-26-003187,10-Q,2026-01-23,YES,YES
BAX,0001628280-26-007474,8-K,2026-02-12,YES,YES
BAX,0000010456-25-000025,8-K,2025-12-22,YES,YES
BAX,0001628280-26-007733,10-K,2026-02-12,YES,YES
BBIO,0001140361-26-004995,8-K,2026-02-12,YES,YES
BBIO,0001140361-26-001843,8-K,2026-01-21,YES,YES
BBIO,0001140361-26-000971,8-K,2026-01-12,YES,YES
BC,0000014930-26-000004,8-K,2026-01-29,YES,YES
BC,0000014930-26-000027,10-K,2026-02-13,YES,YES
BCRX,0001171843-26-000405,8-K/A,2026-01-23,YES,YES
BCRX,0001140361-26-002200,8-K,2026-01-23,YES,YES
BCRX,0001171843-26-000213,8-K,2026-01-12,YES,YES
BCRX,0001171843-26-000154,8-K,2026-01-09,YES,YES
BCRX,0001171843-26-000405,8-K/A,2026-01-23,YES,YES
BDX,0001140361-26-004601,8-K,2026-02-10,YES,YES
BDX,0001193125-26-042827,8-K,2026-02-09,YES,YES
BDX,0001628280-26-006182,8-K,2026-02-09,YES,YES
BDX,0001193125-26-039448,8-K,2026-02-05,YES,YES
BDX,0001628280-26-005793,8-K,2026-02-05,YES,YES
BDX,0001628280-26-004393,8-K,2026-01-30,YES,YES
BDX,0001193125-26-004659,8-K,2026-01-06,YES,YES
BDX,0000010795-26-000005,10-Q,2026-02-09,YES,YES
BE,0001628280-26-005798,8-K,2026-02-05,YES,YES
BE,0001628280-25-058618,8-K,2025-12-22,YES,YES
BE,0001628280-26-006516,10-K,2026-02-09,YES,YES
BEAM,0001193125-26-048684,8-K,2026-02-12,YES,YES
BEAM,0001193125-26-039365,8-K,2026-02-05,YES,YES
BEAM,0001193125-26-009722,8-K,2026-01-12,YES,YES
BEN,0000038777-26-000051,8-K,2026-02-05,YES,YES
BEN,0000038777-26-000032,8-K,2026-01-30,YES,YES
BEN,0000038777-25-000279,8-K,2025-12-17,YES,YES
BEN,0000038777-26-000033,10-Q,2026-01-30,YES,YES
BFAM,0001437578-26-000003,8-K,2026-02-12,YES,YES
BG,0001628280-26-005261,8-K,2026-02-04,YES,YES
BG,0001628280-25-058310,8-K,2025-12-19,YES,YES
BILL,0001628280-26-005753,8-K,2026-02-05,YES,YES
BILL,0001628280-26-003403,8-K,2026-01-26,YES,YES
BILL,0001628280-25-057323,8-K,2025-12-16,YES,YES
BILL,0001628280-26-005879,10-Q,2026-02-05,YES,YES
BK,0001193125-26-019554,8-K,2026-01-22,YES,YES
BK,0001390777-26-000004,8-K,2026-01-13,YES,YES
BL,0001171843-26-000734,8-K,2026-02-10,YES,YES
BL,0001193125-26-033869,8-K,2026-02-02,YES,YES
BL,0001193125-25-328789,8-K,2025-12-22,YES,YES
BLK,0001193125-26-024549,8-K,2026-01-27,YES,YES
BLK,0001193125-26-015405,8-K,2026-01-16,YES,YES
BLK,0001193125-26-013503,8-K,2026-01-15,YES,YES
BLMN,0001546417-26-000004,8-K,2026-02-13,YES,YES
BLMN,0001546417-26-000002,8-K,2026-02-12,YES,YES
BMY,0000014272-26-000002,8-K,2026-02-05,YES,YES
BMY,0001140361-26-000929,8-K,2026-01-12,YES,YES
BMY,0000014272-26-000004,10-K,2026-02-11,YES,YES
BOOT,0001104659-26-010309,8-K,2026-02-04,YES,YES
BOOT,0001104659-26-002514,8-K,2026-01-09,YES,YES
BOOT,0001104659-26-000612,8-K,2026-01-05,YES,YES
BOOT,0001104659-26-010386,10-Q,2026-02-04,YES,YES
BR,0001383312-26-000007,8-K,2026-02-06,YES,YES
BR,0001383312-26-000005,8-K,2026-02-03,YES,YES
BR,0001383312-26-000003,8-K,2026-02-02,YES,YES
BR,0001628280-26-004859,10-Q,2026-02-03,YES,YES
BRBR,0001628280-26-004789,8-K,2026-02-03,YES,YES
BRBR,0001628280-26-004642,8-K,2026-02-02,YES,YES
BRBR,0001772016-26-000007,10-Q,2026-02-03,YES,YES
BRX,0001581068-26-000006,8-K,2026-02-09,YES,YES
BRX,0001581068-26-000007,10-K,2026-02-09,YES,YES
BRZE,0001676238-26-000006,8-K,2026-02-02,YES,YES
BSX,0000885725-26-000008,8-K,2026-02-05,YES,YES
BSX,0000885725-26-000006,8-K,2026-02-04,YES,YES
BSX,0000947871-26-000037,8-K,2026-01-15,YES,YES
BSX,0000947871-26-000034,8-K,2026-01-15,YES,YES
BWA,0000908255-26-000009,8-K,2026-02-11,YES,YES
BWA,0000908255-26-000003,8-K,2026-02-05,YES,YES
BWA,0000908255-26-000011,10-K,2026-02-11,YES,YES
BX,0001193125-26-028145,8-K,2026-01-29,YES,YES
BXP,0001037540-26-000003,8-K,2026-01-27,YES,YES
BXP,0001037540-25-000027,8-K,2025-12-22,YES,YES
CACI,0001628280-26-002895,8-K,2026-01-21,YES,YES
CACI,0001628280-25-059083,8-K,2025-12-30,YES,YES
CACI,0001628280-25-059047,8-K,2025-12-29,YES,YES
CACI,0001628280-25-058393,8-K,2025-12-22,YES,YES
CACI,0001628280-26-003026,10-Q,2026-01-22,YES,YES
CAG,0000023217-25-000094,8-K,2025-12-19,YES,YES
CAG,0001104659-25-123200,10-Q,2025-12-19,YES,YES
CAH,0000721371-26-000004,8-K,2026-02-05,YES,YES
CAH,0000721371-26-000003,8-K,2026-01-13,YES,YES
CAH,0000721371-26-000006,10-Q,2026-02-05,YES,YES
CALX,0001406666-26-000004,8-K,2026-01-28,YES,YES
CALX,0001406666-26-000003,8-K,2026-01-28,YES,YES
CAT,0000018230-26-000003,8-K,2026-01-29,YES,YES
CAT,0001104659-26-001346,8-K,2026-01-06,YES,YES
CAT,0000018230-26-000008,10-K,2026-02-13,YES,YES
CBOE,0001628280-26-005944,8-K,2026-02-06,YES,YES
CBOE,0001104659-26-006416,8-K,2026-01-26,YES,YES
CBRE,0001138118-26-000002,8-K,2026-02-12,YES,YES
CBRE,0001138118-26-000005,10-K,2026-02-12,YES,YES
CBRL,0001104659-26-002590,8-K,2026-01-12,YES,YES
CC,0001193125-26-014624,8-K,2026-01-16,YES,YES
CCK,0001628280-26-005444,8-K,2026-02-04,YES,YES
CCL,0000950142-26-000354,8-K,2026-02-12,YES,YES
CCL,0001628280-25-058106,8-K,2025-12-19,YES,YES
CCL,0000815097-26-000007,10-K,2026-01-27,YES,YES
CDLX,0001666071-26-000003,8-K,2026-01-26,YES,YES
CDLX,0001666071-25-000171,8-K,2025-12-18,YES,YES
CDNA,0001217234-26-000007,8-K,2026-01-12,YES,YES
CDNA,0001217234-25-000072,8-K,2025-12-18,YES,YES
CDW,0001402057-26-000001,8-K,2026-02-04,YES,YES
CDW,0001193125-25-329779,8-K,2025-12-23,YES,YES
CE,0001306830-26-000003,8-K,2026-01-06,YES,YES
CE,0001628280-25-057638,8-K,2025-12-17,YES,YES
CE,0001628280-25-057235,8-K,2025-12-16,YES,YES
CEG,0001868275-26-000016,8-K/A,2026-02-10,YES,YES
CEG,0001868275-26-000009,8-K,2026-01-15,YES,YES
CEG,0001868275-26-000005,8-K,2026-01-13,YES,YES
CEG,0001104659-26-001780,8-K,2026-01-07,YES,YES
CEG,0001868275-25-000119,8-K,2025-12-23,YES,YES
CEG,0001868275-25-000112,8-K,2025-12-17,YES,YES
CEG,0001868275-26-000016,8-K/A,2026-02-10,YES,YES
CF,0001104659-26-003338,8-K/A,2026-01-13,YES,YES
CF,0001104659-26-002476,8-K,2026-01-09,YES,YES
CF,0001104659-26-001551,8-K,2026-01-07,YES,YES
CF,0001104659-25-123145,8-K/A,2025-12-19,YES,YES
CF,0001104659-26-003338,8-K/A,2026-01-13,YES,YES
CF,0001104659-25-123145,8-K/A,2025-12-19,YES,YES
CFLT,0001104659-26-014429,8-K,2026-02-12,YES,YES
CFLT,0001699838-26-000004,8-K,2026-02-11,YES,YES
CFLT,0001104659-26-010378,8-K,2026-02-04,YES,YES
CFLT,0001104659-26-003336,8-K,2026-01-13,YES,YES
CFLT,0001699838-26-000006,10-K,2026-02-11,YES,YES
CG,0001527166-26-000002,8-K,2026-02-05,YES,YES
CGNX,0000851205-26-000009,8-K,2026-02-11,YES,YES
CGNX,0000851205-26-000012,10-K,2026-02-12,YES,YES
CHGG,0001364954-26-000009,8-K,2026-02-09,YES,YES
CHGG,0001364954-25-000149,8-K,2025-12-29,YES,YES
CHH,0001628280-26-000795,8-K,2026-01-06,YES,YES
CHRW,0001043277-26-000005,8-K,2026-01-28,YES,YES
CHRW,0001043277-26-000009,10-K,2026-02-13,YES,YES
CHTR,0001091667-26-000016,8-K,2026-01-30,YES,YES
CHTR,0001091667-26-000011,8-K,2026-01-28,YES,YES
CHTR,0001091667-26-000006,8-K,2026-01-22,YES,YES
CHTR,0001104659-26-003739,8-K,2026-01-14,YES,YES
CHTR,0001104659-26-001104,8-K,2026-01-06,YES,YES
CHTR,0001091667-26-000017,10-K,2026-01-30,YES,YES
CHWY,0001193125-26-015958,8-K,2026-01-20,YES,YES
CI,0001140361-26-003768,8-K,2026-02-05,YES,YES
CL,0000021665-26-000003,8-K,2026-01-30,YES,YES
CLF,0000764065-26-000022,8-K,2026-02-09,YES,YES
CLF,0000764065-26-000025,10-K,2026-02-09,YES,YES
CLSK,0001193125-26-039382,8-K,2026-02-05,YES,YES
CLSK,0001193125-26-039538,10-Q,2026-02-05,YES,YES
CLX,0000021076-26-000008,8-K,2026-02-03,YES,YES
CLX,0001206774-26-000048,8-K,2026-01-22,YES,YES
CLX,0000021076-26-000010,10-Q,2026-02-03,YES,YES
CMC,0001193125-26-014157,8-K,2026-01-15,YES,YES
CMC,0000022444-26-000009,8-K,2026-01-08,YES,YES
CMC,0000022444-26-000003,8-K,2026-01-05,YES,YES
CMC,0001193125-25-322952,8-K,2025-12-17,YES,YES
CMC,0000022444-26-000010,10-Q,2026-01-08,YES,YES
CMCSA,0001628280-26-003964,8-K,2026-01-29,YES,YES
CMCSA,0000950103-26-000079,8-K,2026-01-05,YES,YES
CMCSA,0001628280-25-058790,8-K,2025-12-23,YES,YES
CMCSA,0001628280-25-057396,8-K,2025-12-16,YES,YES
CMCSA,0001628280-26-004994,10-K,2026-02-03,YES,YES
CMG,0001058090-26-000007,8-K,2026-02-03,YES,YES
CMG,0001058090-26-000002,8-K,2026-01-12,YES,YES
CMG,0001058090-26-000009,10-K,2026-02-04,YES,YES
CNK,0001193125-26-004875,8-K,2026-01-06,YES,YES
CNS,0001284812-26-000006,8-K,2026-01-22,YES,YES
COIN,0001679788-26-000011,8-K,2026-02-12,YES,YES
COIN,0001679788-26-000015,10-K,2026-02-12,YES,YES
COO,0001193125-26-036476,8-K,2026-02-03,YES,YES
COO,0001193125-25-331117,8-K,2025-12-23,YES,YES
COST,0000909832-26-000016,8-K,2026-01-21,YES,YES
COST,0000909832-25-000169,10-Q,2025-12-17,YES,YES
COTY,0001024305-26-000013,8-K,2026-02-05,YES,YES
COTY,0001193125-25-327571,8-K,2025-12-22,YES,YES
COTY,0001193125-25-325599,8-K,2025-12-19,YES,YES
COTY,0001024305-26-000014,10-Q,2026-02-05,YES,YES
COUR,0001651562-26-000008,8-K,2026-02-10,YES,YES
COUR,0001651562-26-000006,8-K,2026-02-05,YES,YES
COUR,0001651562-26-000003,8-K,2026-01-02,YES,YES
COUR,0001140361-25-045860,8-K,2025-12-17,YES,YES
COUR,0001140361-25-045859,8-K,2025-12-17,YES,YES
COUR,0001140361-25-045770,8-K,2025-12-17,YES,YES
CP,0001193125-26-048127,8-K,2026-02-12,YES,YES
CP,0001193125-26-029569,8-K,2026-01-29,YES,YES
CP,0000016875-26-000004,8-K,2026-01-28,YES,YES
CPRT,0001193125-26-022730,8-K,2026-01-26,YES,YES
CPRX,0001193125-26-009822,8-K,2026-01-12,YES,YES
CPT,0001628280-26-005842,8-K,2026-02-05,YES,YES
CPT,0001628280-26-007697,10-K,2026-02-12,YES,YES
CRI,0001060822-26-000002,8-K,2026-01-09,YES,YES
CROX,0001334036-26-000004,8-K,2026-02-12,YES,YES
CROX,0001334036-26-000006,10-K,2026-02-12,YES,YES
CRSP,0001193125-26-048873,8-K,2026-02-12,YES,YES
CRSP,0001193125-26-009880,8-K,2026-01-12,YES,YES
CRSP,0001193125-26-048957,10-K,2026-02-12,YES,YES
CRWD,0001104659-25-124912,8-K,2025-12-29,YES,YES
CSCO,0000858877-26-000006,8-K,2026-02-11,YES,YES
CSCO,0000858877-25-000199,8-K,2025-12-17,YES,YES
CSTL,0001628280-26-001909,8-K,2026-01-13,YES,YES
CTAS,0000950103-25-016413,8-K,2025-12-22,YES,YES
CTAS,0000723254-25-000038,8-K,2025-12-18,YES,YES
CTAS,0000723254-26-000002,10-Q,2026-01-07,YES,YES
CTSH,0001058290-26-000003,8-K,2026-02-04,YES,YES
CTSH,0001058290-26-000008,10-K,2026-02-12,YES,YES
CTVA,0001755672-26-000002,8-K,2026-02-03,YES,YES
CTVA,0001755672-26-000004,10-K,2026-02-12,YES,YES
CVS,0000064803-26-000009,8-K,2026-02-10,YES,YES
CVS,0000064803-26-000010,10-K,2026-02-10,YES,YES
CWH,0001104659-26-003406,8-K,2026-01-13,YES,YES
CXM,0001569345-26-000004,8-K,2026-01-20,YES,YES
CXM,0001193125-25-323772,8-K,2025-12-18,YES,YES
CYTK,0001193125-25-326778,8-K,2025-12-19,YES,YES
D,0001193125-26-035749,8-K,2026-02-03,YES,YES
D,0001193125-26-030493,8-K,2026-01-30,YES,YES
D,0001193125-26-015866,8-K,2026-01-20,YES,YES
D,0001193125-25-329224,8-K,2025-12-22,YES,YES
DAL,0001683168-26-001033,8-K,2026-02-13,YES,YES
DAL,0001683168-26-000578,8-K,2026-01-27,YES,YES
DAL,0000027904-26-000008,8-K,2026-01-13,YES,YES
DAL,0001683168-25-009232,8-K,2025-12-17,YES,YES
DAL,0000027904-26-000013,10-K,2026-02-10,YES,YES
DAN,0000950142-26-000339,8-K,2026-02-12,YES,YES
DAN,0000950142-26-000333,8-K,2026-02-11,YES,YES
DAN,0001193125-26-041304,8-K,2026-02-06,YES,YES
DAN,0001193125-26-017249,8-K,2026-01-21,YES,YES
DAN,0000950142-26-000088,8-K,2026-01-08,YES,YES
DAN,0000950142-26-000078,8-K/A,2026-01-07,YES,YES
DAN,0000950142-26-000006,8-K,2026-01-02,YES,YES
DAN,0000950142-26-000078,8-K/A,2026-01-07,YES,YES
DAR,0000916540-26-000004,8-K,2026-02-11,YES,YES
DAR,0000916540-26-000002,8-K,2026-01-29,YES,YES
DASH,0001792789-26-000003,8-K,2026-01-20,YES,YES
DDOG,0001628280-26-006645,8-K,2026-02-10,YES,YES
DE,0001104659-26-005771,8-K,2026-01-22,YES,YES
DE,0001104659-25-122321,10-K,2025-12-18,YES,YES
DECK,0000910521-26-000002,8-K,2026-01-29,YES,YES
