ticker,accession,formType,filedAt,category
BG,0001144519-23-000078,8-K,2023-03-29,PRE_BACKFILL
DUK,0001881226-23-000005,10-K,2023-03-29,PRE_BACKFILL
BLK,0001193125-23-088446,8-K,2023-03-31,PRE_BACKFILL
H,0001398987-23-000071,8-K,2023-03-31,PRE_BACKFILL
SBGI,0001193125-23-089606,8-K,2023-04-03,PRE_BACKFILL
BLK,0001564590-23-005711,8-K,2023-04-14,PRE_BACKFILL
VNO,0000899689-23-000026,10-Q,2023-05-01,PRE_BACKFILL
VOYA,0001535929-23-000032,8-K,2023-05-02,PRE_BACKFILL
BG,0001144519-23-000094,8-K,2023-05-03,PRE_BACKFILL
BG,0001144519-23-000096,10-Q,2023-05-03,PRE_BACKFILL
H,0001398987-23-000083,8-K,2023-05-03,PRE_BACKFILL
H,0001398987-23-000085,10-Q,2023-05-03,PRE_BACKFILL
SBGI,0000912752-23-000022,8-K,2023-05-03,PRE_BACKFILL
APA,0001784031-23-000014,10-Q,2023-05-04,PRE_BACKFILL
FUN,0000811532-23-000078,8-K,2023-05-04,PRE_BACKFILL
FUN,0000811532-23-000080,10-Q,2023-05-04,PRE_BACKFILL
H,0001398987-23-000090,8-K,2023-05-04,PRE_BACKFILL
BLK,0000950170-23-018214,10-Q,2023-05-05,PRE_BACKFILL
BILL,0001786352-23-000023,NT 10-Q,2023-05-10,PRE_BACKFILL
SBGI,0000912752-23-000025,10-Q,2023-05-10,PRE_BACKFILL
H,0001398987-23-000130,8-K,2023-05-12,PRE_BACKFILL
BG,0001144519-23-000110,8-K,2023-05-15,PRE_BACKFILL
BLK,0001193125-23-148238,8-K,2023-05-18,PRE_BACKFILL
SBGI,0000912752-23-000028,8-K,2023-05-19,PRE_BACKFILL
ORLY,0000898173-23-000031,8-K,2023-05-23,PRE_BACKFILL
SBGI,0000912752-23-000030,8-K,2023-05-24,PRE_BACKFILL
BLK,0001193125-23-154340,8-K,2023-05-25,PRE_BACKFILL
BLK,0001193125-23-155456,8-K,2023-05-26,PRE_BACKFILL
FUN,0000811532-23-000083,8-K,2023-05-26,PRE_BACKFILL
AAP,0001193125-23-159173,NT 10-Q,2023-06-01,PRE_BACKFILL
BG,0001104659-23-070939,8-K,2023-06-13,PRE_BACKFILL
BG,0001104659-23-071337,8-K,2023-06-14,PRE_BACKFILL
DUK,0001104659-23-071538,8-K,2023-06-15,PRE_BACKFILL
BG,0001144519-23-000163,8-K,2023-06-26,PRE_BACKFILL
BG,0001144519-23-000166,8-K,2023-07-11,PRE_BACKFILL
BLK,0000950170-23-032924,8-K,2023-07-14,PRE_BACKFILL
BLK,0001193125-23-188199,8-K,2023-07-17,PRE_BACKFILL
H,0001398987-23-000140,8-K/A,2023-07-25,PRE_BACKFILL
H,0001398987-23-000138,8-K,2023-07-25,PRE_BACKFILL
H,0001398987-23-000133,8-K,2023-07-25,PRE_BACKFILL
H,0001398987-23-000140,8-K/A,2023-07-25,PRE_BACKFILL
LPX,0001628280-23-025991,8-K,2023-07-28,PRE_BACKFILL
ON,0001628280-23-026196,10-Q,2023-07-31,PRE_BACKFILL
DH,0001193125-23-200003,NT 10-Q,2023-08-01,PRE_BACKFILL
NBIX,0000914475-23-000057,10-Q,2023-08-01,PRE_BACKFILL
BG,0001144519-23-000168,8-K,2023-08-02,PRE_BACKFILL
O,0000726728-23-000103,8-K,2023-08-02,PRE_BACKFILL
APA,0001784031-23-000020,10-Q,2023-08-03,PRE_BACKFILL
FUN,0000811532-23-000089,8-K,2023-08-03,PRE_BACKFILL
FUN,0000811532-23-000092,10-Q,2023-08-03,PRE_BACKFILL
BLK,0000950170-23-038497,10-Q,2023-08-04,PRE_BACKFILL
H,0001398987-23-000144,10-Q,2023-08-04,PRE_BACKFILL
H,0001398987-23-000147,8-K,2023-08-08,PRE_BACKFILL
MQ,0001628280-23-028284,10-Q,2023-08-08,PRE_BACKFILL
BG,0001144519-23-000170,10-Q,2023-08-09,PRE_BACKFILL
DOCN,0001582961-23-000029,NT 10-Q,2023-08-09,PRE_BACKFILL
H,0001193125-23-221474,8-K,2023-08-25,PRE_BACKFILL
FUN,0001193125-23-226835,8-K,2023-09-01,PRE_BACKFILL
SMTC,0000088941-23-000018,NT 10-Q,2023-09-06,PRE_BACKFILL
BG,0001144519-23-000218,8-K/A,2023-09-08,PRE_BACKFILL
BG,0001144519-23-000218,8-K/A,2023-09-08,PRE_BACKFILL
REVG,0000950103-23-013514,NT 10-Q,2023-09-12,PRE_BACKFILL
BLK,0001193125-23-236276,8-K,2023-09-15,PRE_BACKFILL
FUN,0000811532-23-000095,8-K/A,2023-09-29,PRE_BACKFILL
FUN,0000811532-23-000095,8-K/A,2023-09-29,PRE_BACKFILL
BG,0001144519-23-000221,8-K,2023-10-06,PRE_BACKFILL
H,0001398987-23-000151,8-K,2023-10-06,PRE_BACKFILL
BG,0001144519-23-000223,8-K,2023-10-13,PRE_BACKFILL
BLK,0000950170-23-053207,8-K,2023-10-13,PRE_BACKFILL
H,0001398987-23-000153,8-K,2023-10-24,PRE_BACKFILL
BG,0001144519-23-000225,8-K,2023-10-26,PRE_BACKFILL
BG,0001144519-23-000227,10-Q,2023-10-26,PRE_BACKFILL
MHK,0000851968-23-000094,8-K,2023-10-26,PRE_BACKFILL
MYGN,0000899923-23-000072,8-K,2023-10-31,PRE_BACKFILL
BG,0001104659-23-113122,8-K,2023-11-01,PRE_BACKFILL
NRG,0001104659-23-113388,8-K,2023-11-01,PRE_BACKFILL
APA,0001784031-23-000026,10-Q,2023-11-02,PRE_BACKFILL
FUN,0000811532-23-000100,8-K,2023-11-02,PRE_BACKFILL
FUN,0001193125-23-268768,8-K,2023-11-02,PRE_BACKFILL
FUN,0000811532-23-000106,10-Q,2023-11-02,PRE_BACKFILL
H,0001398987-23-000156,10-Q,2023-11-02,PRE_BACKFILL
MUR,0000717423-23-000061,10-Q,2023-11-02,PRE_BACKFILL
FUN,0001193125-23-269882,8-K,2023-11-03,PRE_BACKFILL
PAGP,0001581990-23-000019,8-K,2023-11-03,PRE_BACKFILL
BLK,0000950170-23-059279,10-Q,2023-11-06,PRE_BACKFILL
BLK,0001193125-23-272549,8-K,2023-11-07,PRE_BACKFILL
PTEN,0000950170-23-061582,10-Q,2023-11-09,PRE_BACKFILL
FUN,0001193125-23-276046,8-K,2023-11-13,PRE_BACKFILL
AAP,0001193125-23-279408,NT 10-Q,2023-11-17,PRE_BACKFILL
H,0001398987-23-000167,8-K,2023-11-22,PRE_BACKFILL
FUN,0001193125-23-291817,8-K,2023-12-08,PRE_BACKFILL
APA,0001193125-23-294344,8-K,2023-12-13,PRE_BACKFILL
FUN,0001193125-23-295458,8-K,2023-12-14,PRE_BACKFILL
DUK,0001104659-24-001703,8-K,2024-01-05,PRE_BACKFILL
BLK,0001193125-24-007623,8-K,2024-01-12,PRE_BACKFILL
BLK,0000950170-24-004107,8-K,2024-01-12,PRE_BACKFILL
FUN,0001193125-24-012386,8-K,2024-01-22,PRE_BACKFILL
APA,0001193125-24-018915,8-K,2024-01-30,PRE_BACKFILL
FUN,0001193125-24-021021,8-K,2024-01-31,PRE_BACKFILL
H,0001398987-24-000002,8-K,2024-02-08,PRE_BACKFILL
WDC,0000106040-24-000011,NT 10-Q,2024-02-08,PRE_BACKFILL
FUN,0001193125-24-032075,8-K,2024-02-12,PRE_BACKFILL
FUN,0000811532-24-000032,8-K,2024-02-15,PRE_BACKFILL
FUN,0000811532-24-000035,10-K,2024-02-16,PRE_BACKFILL
BLK,0000950170-24-019271,10-K,2024-02-23,PRE_BACKFILL
FUN,0000811532-24-000037,8-K,2024-02-26,PRE_BACKFILL
SHAK,0001620533-24-000016,NT 10-K,2024-02-26,PRE_BACKFILL
BECN,0001124941-24-000017,8-K,2024-02-27,PRE_BACKFILL
RDFN,0001382821-24-000025,8-K,2024-02-27,PRE_BACKFILL
RDFN,0001382821-24-000027,10-K,2024-02-27,PRE_BACKFILL
AAP,0001193125-24-049060,NT 10-K,2024-02-28,PRE_BACKFILL
BECN,0001124941-24-000024,10-K,2024-02-28,PRE_BACKFILL
MIRM,0001193125-24-050798,NT 10-K,2024-02-28,PRE_BACKFILL
NCLH,0001558370-24-001935,10-K,2024-02-28,PRE_BACKFILL
NXST,0000950170-24-021979,10-K,2024-02-28,PRE_BACKFILL
PDCO,0001193125-24-049252,8-K,2024-02-28,PRE_BACKFILL
PDCO,0000891024-24-000005,10-Q,2024-02-28,PRE_BACKFILL
CC,0001193125-24-051942,NT 10-K,2024-02-29,PRE_BACKFILL
MAT,0001628280-24-008014,NT 10-K,2024-02-29,PRE_BACKFILL
MTZ,0001193125-24-054063,NT 10-K,2024-02-29,PRE_BACKFILL
ADM,0001193125-24-054362,NT 10-K,2024-03-01,PRE_BACKFILL
SHOO,0001493152-24-008482,NT 10-K,2024-03-01,PRE_BACKFILL
BLK,0001193125-24-060868,8-K,2024-03-06,PRE_BACKFILL
BLK,0001193125-24-068012,8-K,2024-03-14,PRE_BACKFILL
AMTX,0001437749-24-008129,NT 10-K,2024-03-15,PRE_BACKFILL
BLK,0001193125-24-069265,8-K,2024-03-15,PRE_BACKFILL
BLK,0001193125-24-080875,8-K,2024-03-28,PRE_BACKFILL
ADSK,0001213900-24-028898,NT 10-K,2024-04-01,PRE_BACKFILL
FUN,0001193125-24-093205,8-K,2024-04-11,PRE_BACKFILL
BLK,0000950170-24-043859,8-K,2024-04-12,PRE_BACKFILL
ALK,0000766421-24-000023,8-K,2024-04-17,PRE_BACKFILL
PLCE,0001104659-24-048904,NT 10-K,2024-04-18,PRE_BACKFILL
URI,0001067701-24-000018,8-K,2024-04-24,PRE_BACKFILL
UNP,0001437749-24-013206,10-Q,2024-04-25,PRE_BACKFILL
FUN,0000811532-24-000071,10-K/A,2024-04-29,PRE_BACKFILL
FUN,0000811532-24-000071,10-K/A,2024-04-29,PRE_BACKFILL
FUN,0001193125-24-129363,8-K,2024-05-02,PRE_BACKFILL
BLK,0000950170-24-054148,10-Q,2024-05-07,PRE_BACKFILL
MRCY,0001049521-24-000017,10-Q,2024-05-07,PRE_BACKFILL
AZEK,0001628280-24-021679,NT 10-Q,2024-05-08,PRE_BACKFILL
TRMB,0000864749-24-000130,NT 10-Q,2024-05-08,PRE_BACKFILL
FUN,0000811532-24-000076,8-K,2024-05-09,PRE_BACKFILL
FUN,0000811532-24-000079,10-Q,2024-05-09,PRE_BACKFILL
ADC,0001104659-24-060580,8-K,2024-05-13,PRE_BACKFILL
AEE,0001104659-24-060607,8-K,2024-05-13,PRE_BACKFILL
ALK,0000766421-24-000035,8-K,2024-05-13,PRE_BACKFILL
AMD,0000002488-24-000076,8-K,2024-05-13,PRE_BACKFILL
ANSS,0001140361-24-025692,8-K,2024-05-13,PRE_BACKFILL
AXTA,0001616862-24-000037,8-K,2024-05-13,PRE_BACKFILL
BERY,0001104659-24-060293,8-K,2024-05-13,PRE_BACKFILL
CHRW,0001043277-24-000028,8-K,2024-05-13,PRE_BACKFILL
CXM,0001569345-24-000022,8-K,2024-05-13,PRE_BACKFILL
CYTK,0000950170-24-058654,8-K,2024-05-13,PRE_BACKFILL
DUK,0001140361-24-025705,8-K,2024-05-13,PRE_BACKFILL
GIS,0001193125-24-137317,8-K,2024-05-13,PRE_BACKFILL
HUM,0000049071-24-000025,8-K,2024-05-13,PRE_BACKFILL
IART,0000917520-24-000066,8-K,2024-05-13,PRE_BACKFILL
ICE,0001193125-24-137264,8-K,2024-05-13,PRE_BACKFILL
IIPR,0001104659-24-060543,8-K,2024-05-13,PRE_BACKFILL
INCY,0001104659-24-060207,8-K,2024-05-13,PRE_BACKFILL
INSM,0001140361-24-025709,8-K,2024-05-13,PRE_BACKFILL
KO,0001552781-24-000313,8-K,2024-05-13,PRE_BACKFILL
LAZ,0001628280-24-022903,8-K,2024-05-13,PRE_BACKFILL
MKSI,0001193125-24-136673,8-K,2024-05-13,PRE_BACKFILL
MPC,0001510295-24-000052,8-K,2024-05-13,PRE_BACKFILL
OC,0001193125-24-136733,8-K,2024-05-13,PRE_BACKFILL
OMC,0001213900-24-042352,8-K,2024-05-13,PRE_BACKFILL
PTEN,0000950170-24-058160,8-K,2024-05-13,PRE_BACKFILL
RGA,0001193125-24-137318,8-K,2024-05-13,PRE_BACKFILL
SNAP,0001193125-24-137315,8-K,2024-05-13,PRE_BACKFILL
SRE,0001032208-24-000017,8-K,2024-05-13,PRE_BACKFILL
TVTX,0001438533-24-000022,8-K,2024-05-13,PRE_BACKFILL
TW,0001758730-24-000112,8-K,2024-05-13,PRE_BACKFILL
U,0001810806-24-000102,8-K,2024-05-13,PRE_BACKFILL
VMC,0001140361-24-025697,8-K,2024-05-13,PRE_BACKFILL
WEC,0000107815-24-000167,8-K,2024-05-13,PRE_BACKFILL
WERN,0000793074-24-000039,8-K,2024-05-13,PRE_BACKFILL
WHD,0001699136-24-000075,8-K,2024-05-13,PRE_BACKFILL
WLK,0001193125-24-137266,8-K,2024-05-13,PRE_BACKFILL
WMG,0001193125-24-136758,8-K,2024-05-13,PRE_BACKFILL
ALV,0000950170-24-059098,8-K,2024-05-14,PRE_BACKFILL
AMC,0001104659-24-060813,8-K,2024-05-14,PRE_BACKFILL
AMZN,0001104659-24-061143,8-K,2024-05-14,PRE_BACKFILL
APLS,0001193125-24-137743,8-K,2024-05-14,PRE_BACKFILL
ATRC,0001323885-24-000068,8-K,2024-05-14,PRE_BACKFILL
BERY,0001104659-24-060816,8-K,2024-05-14,PRE_BACKFILL
BOOT,0001558370-24-008137,8-K,2024-05-14,PRE_BACKFILL
BOOT,0001558370-24-008176,10-K,2024-05-14,PRE_BACKFILL
CHTR,0001104659-24-061218,8-K,2024-05-14,PRE_BACKFILL
F,0000037996-24-000079,8-K,2024-05-14,PRE_BACKFILL
FIVN,0001288847-24-000066,8-K,2024-05-14,PRE_BACKFILL
HAS,0001193125-24-138322,8-K,2024-05-14,PRE_BACKFILL
HQY,0001428336-24-000022,8-K,2024-05-14,PRE_BACKFILL
KO,0001552781-24-000325,8-K,2024-05-14,PRE_BACKFILL
LPLA,0001193125-24-138351,8-K,2024-05-14,PRE_BACKFILL
LPX,0001628280-24-023203,8-K,2024-05-14,PRE_BACKFILL
MAA,0001193125-24-138209,8-K,2024-05-14,PRE_BACKFILL
MAA,0001193125-24-138209,8-K,2024-05-14,PRE_BACKFILL
MKSI,0001193125-24-137689,8-K,2024-05-14,PRE_BACKFILL
NUE,0001193125-24-138331,8-K,2024-05-14,PRE_BACKFILL
OKE,0001039684-24-000039,8-K,2024-05-14,PRE_BACKFILL
OKE,0001039684-24-000037,8-K,2024-05-14,PRE_BACKFILL
PCRX,0001104659-24-061135,8-K,2024-05-14,PRE_BACKFILL
PGR,0000080661-24-000022,8-K,2024-05-14,PRE_BACKFILL
PRU,0001193125-24-138342,8-K,2024-05-14,PRE_BACKFILL
RNR,0000913144-24-000085,8-K,2024-05-14,PRE_BACKFILL
STLD,0001104659-24-060930,8-K,2024-05-14,PRE_BACKFILL
SYK,0000310764-24-000081,8-K,2024-05-14,PRE_BACKFILL
SYNA,0001193125-24-138266,8-K,2024-05-14,PRE_BACKFILL
TENX,0001654954-24-006131,8-K,2024-05-14,PRE_BACKFILL
TENX,0001654954-24-006228,10-Q,2024-05-14,PRE_BACKFILL
UBER,0001552781-24-000318,8-K,2024-05-14,PRE_BACKFILL
WDC,0001193125-24-138274,8-K,2024-05-14,PRE_BACKFILL
ALL,0000899051-24-000027,8-K,2024-05-15,PRE_BACKFILL
AMC,0001104659-24-061550,8-K,2024-05-15,PRE_BACKFILL
AR,0001104659-24-062015,8-K,2024-05-15,PRE_BACKFILL
BECN,0001124941-24-000056,8-K,2024-05-15,PRE_BACKFILL
CE,0001306830-24-000119,8-K,2024-05-15,PRE_BACKFILL
CL,0000021665-24-000017,8-K,2024-05-15,PRE_BACKFILL
CSCO,0001193125-24-139371,8-K,2024-05-15,PRE_BACKFILL
DT,0001773383-24-000063,8-K,2024-05-15,PRE_BACKFILL
HAL,0000045012-24-000032,8-K,2024-05-15,PRE_BACKFILL
IIPR,0001104659-24-061944,8-K,2024-05-15,PRE_BACKFILL
KSS,0001193125-24-139419,8-K,2024-05-15,PRE_BACKFILL
LESL,0000950170-24-060542,8-K,2024-05-15,PRE_BACKFILL
LNC,0000059558-24-000027,8-K,2024-05-15,PRE_BACKFILL
LNTH,0001193125-24-139440,8-K,2024-05-15,PRE_BACKFILL
MAR,0001193125-24-139064,8-K,2024-05-15,PRE_BACKFILL
MAS,0000062996-24-000014,8-K,2024-05-15,PRE_BACKFILL
MET,0001099219-24-000144,8-K,2024-05-15,PRE_BACKFILL
NSC,0001193125-24-139405,8-K,2024-05-15,PRE_BACKFILL
OC,0001193125-24-139454,8-K,2024-05-15,PRE_BACKFILL
OI,0001104659-24-061968,8-K,2024-05-15,PRE_BACKFILL
PGR,0000080661-24-000023,8-K,2024-05-15,PRE_BACKFILL
SNDX,0000950170-24-060462,8-K,2024-05-15,PRE_BACKFILL
TEAM,0001104659-24-062074,8-K,2024-05-15,PRE_BACKFILL
UNH,0000731766-24-000159,8-K,2024-05-15,PRE_BACKFILL
VRTX,0000875320-24-000142,8-K,2024-05-15,PRE_BACKFILL
W,0001616707-24-000039,8-K,2024-05-15,PRE_BACKFILL
WERN,0000793074-24-000042,8-K,2024-05-15,PRE_BACKFILL
ZBRA,0000877212-24-000130,8-K,2024-05-15,PRE_BACKFILL
ANSS,0001140361-24-026369,8-K,2024-05-16,PRE_BACKFILL
AZEK,0001628280-24-024091,8-K,2024-05-17,PRE_BACKFILL
BLK,0001193125-24-141821,8-K,2024-05-17,PRE_BACKFILL
VLO,0001193125-24-142857,8-K,2024-05-20,PRE_BACKFILL
BLK,0001193125-24-151944,8-K,2024-05-31,PRE_BACKFILL
FUN,0001193125-24-163040,8-K,2024-06-18,PRE_BACKFILL
FUN,0001193125-24-168482,8-K,2024-06-26,PRE_BACKFILL
BLK,0001193125-24-172680,8-K,2024-07-01,PRE_BACKFILL
FUN,0001193125-24-173432,8-K,2024-07-01,PRE_BACKFILL
BLK,0000950170-24-083381,8-K,2024-07-15,PRE_BACKFILL
BLK,0001193125-24-180020,8-K,2024-07-17,PRE_BACKFILL
BLK,0001193125-24-181046,8-K,2024-07-18,PRE_BACKFILL
BLK,0001193125-24-186274,8-K,2024-07-26,PRE_BACKFILL
MCHP,0000827054-24-000138,8-K,2024-08-01,PRE_BACKFILL
MTZ,0001193125-24-191835,8-K,2024-08-01,PRE_BACKFILL
ACM,0001104659-24-085822,8-K,2024-08-05,PRE_BACKFILL
AEE,0001002910-24-000101,10-Q,2024-08-05,PRE_BACKFILL
AGNC,0001423689-24-000058,10-Q,2024-08-05,PRE_BACKFILL
AMRC,0001488139-24-000136,8-K,2024-08-05,PRE_BACKFILL
AWK,0001410636-24-000148,8-K,2024-08-05,PRE_BACKFILL
AXSM,0000950170-24-090311,8-K,2024-08-05,PRE_BACKFILL
AXSM,0000950170-24-090828,10-Q,2024-08-05,PRE_BACKFILL
BCRX,0001171843-24-004422,8-K,2024-08-05,PRE_BACKFILL
BRBR,0001772016-24-000078,8-K,2024-08-05,PRE_BACKFILL
BXP,0001656423-24-000046,10-Q,2024-08-05,PRE_BACKFILL
CAKE,0001410578-24-001151,10-Q,2024-08-05,PRE_BACKFILL
CG,0001527166-24-000060,8-K,2024-08-05,PRE_BACKFILL
CHGG,0001364954-24-000071,8-K,2024-08-05,PRE_BACKFILL
CHGG,0001364954-24-000072,10-Q,2024-08-05,PRE_BACKFILL
CLSK,0000950170-24-090899,8-K,2024-08-05,PRE_BACKFILL
CRSP,0000950170-24-090727,8-K,2024-08-05,PRE_BACKFILL
CRSP,0000950170-24-090746,10-Q,2024-08-05,PRE_BACKFILL
CSTL,0001447362-24-000121,8-K,2024-08-05,PRE_BACKFILL
CSTL,0001447362-24-000122,10-Q,2024-08-05,PRE_BACKFILL
DH,0000950170-24-090774,8-K,2024-08-05,PRE_BACKFILL
DH,0000950170-24-090808,10-Q,2024-08-05,PRE_BACKFILL
DUK,0001326160-24-000164,8-K,2024-08-05,PRE_BACKFILL
ENTA,0000950170-24-090722,8-K,2024-08-05,PRE_BACKFILL
EPD,0001193125-24-193887,8-K,2024-08-05,PRE_BACKFILL
ESS,0001140361-24-035769,8-K,2024-08-05,PRE_BACKFILL
EVER,0000950170-24-090730,8-K,2024-08-05,PRE_BACKFILL
FANG,0001539838-24-000147,8-K,2024-08-05,PRE_BACKFILL
FLR,0001628280-24-034528,8-K,2024-08-05,PRE_BACKFILL
FRPT,0001611647-24-000008,8-K,2024-08-05,PRE_BACKFILL
FRPT,0001611647-24-000011,10-Q,2024-08-05,PRE_BACKFILL
FRSH,0001544522-24-000050,8-K,2024-08-05,PRE_BACKFILL
GTLB,0001628280-24-034540,8-K,2024-08-05,PRE_BACKFILL
HP,0000046765-24-000049,8-K,2024-08-05,PRE_BACKFILL
HUN,0001104659-24-085890,8-K,2024-08-05,PRE_BACKFILL
IBKR,0001381197-24-000124,10-Q,2024-08-05,PRE_BACKFILL
JELD,0001674335-24-000151,8-K,2024-08-05,PRE_BACKFILL
KHC,0001637459-24-000131,8-K,2024-08-05,PRE_BACKFILL
KLAC,0000319201-24-000021,10-K,2024-08-05,PRE_BACKFILL
KMT,0000055242-24-000047,8-K,2024-08-05,PRE_BACKFILL
KRYS,0001711279-24-000038,8-K,2024-08-05,PRE_BACKFILL
KRYS,0001711279-24-000040,10-Q,2024-08-05,PRE_BACKFILL
MAA,0000950170-24-090768,8-K,2024-08-05,PRE_BACKFILL
O,0000726728-24-000114,8-K,2024-08-05,PRE_BACKFILL
ODFL,0000950170-24-090872,10-Q,2024-08-05,PRE_BACKFILL
OGS,0001587732-24-000049,8-K,2024-08-05,PRE_BACKFILL
OKE,0001039684-24-000135,8-K,2024-08-05,PRE_BACKFILL
PFE,0000078003-24-000166,10-Q,2024-08-05,PRE_BACKFILL
PG,0000080424-24-000083,10-K,2024-08-05,PRE_BACKFILL
PGR,0000080661-24-000031,10-Q,2024-08-05,PRE_BACKFILL
PLTR,0001321655-24-000133,8-K,2024-08-05,PRE_BACKFILL
PLTR,0001321655-24-000135,10-Q,2024-08-05,PRE_BACKFILL
PODD,0001193125-24-193356,8-K,2024-08-05,PRE_BACKFILL
PRU,0001193125-24-193419,8-K,2024-08-05,PRE_BACKFILL
PVH,0000078239-24-000056,8-K,2024-08-05,PRE_BACKFILL
PZZA,0001628280-24-034527,8-K,2024-08-05,PRE_BACKFILL
RGA,0001193125-24-193427,8-K,2024-08-05,PRE_BACKFILL
RGNX,0001193125-24-194111,8-K,2024-08-05,PRE_BACKFILL
SIBN,0001459839-24-000061,8-K,2024-08-05,PRE_BACKFILL
SPG,0001104659-24-085817,8-K,2024-08-05,PRE_BACKFILL
SPR,0001628280-24-034749,8-K,2024-08-05,PRE_BACKFILL
SPR,0001628280-24-034768,10-Q,2024-08-05,PRE_BACKFILL
SYY,0000096021-24-000077,8-K,2024-08-05,PRE_BACKFILL
TDC,0000816761-24-000143,8-K,2024-08-05,PRE_BACKFILL
TFX,0000096943-24-000134,8-K,2024-08-05,PRE_BACKFILL
TSN,0000100493-24-000101,8-K,2024-08-05,PRE_BACKFILL
TSN,0000100493-24-000103,10-Q,2024-08-05,PRE_BACKFILL
VNO,0000899689-24-000035,8-K,2024-08-05,PRE_BACKFILL
VNO,0000899689-24-000033,10-Q,2024-08-05,PRE_BACKFILL
VNOM,0001602065-24-000061,8-K,2024-08-05,PRE_BACKFILL
VNOM,0001602065-24-000063,10-Q,2024-08-05,PRE_BACKFILL
WMB,0000107263-24-000075,8-K,2024-08-05,PRE_BACKFILL
WMB,0000107263-24-000077,10-Q,2024-08-05,PRE_BACKFILL
ABNB,0001193125-24-194849,8-K,2024-08-06,PRE_BACKFILL
ABNB,0001559720-24-000024,10-Q,2024-08-06,PRE_BACKFILL
ACAD,0000950170-24-091826,8-K,2024-08-06,PRE_BACKFILL
ACAD,0000950170-24-092163,10-Q,2024-08-06,PRE_BACKFILL
ACM,0001410578-24-001162,10-Q,2024-08-06,PRE_BACKFILL
ADNT,0001670541-24-000095,8-K,2024-08-06,PRE_BACKFILL
ADNT,0001670541-24-000098,10-Q,2024-08-06,PRE_BACKFILL
AHCO,0001628280-24-034954,8-K,2024-08-06,PRE_BACKFILL
AHCO,0001628280-24-035235,10-Q,2024-08-06,PRE_BACKFILL
AI,0001193125-24-194989,8-K,2024-08-06,PRE_BACKFILL
ALGT,0001362468-24-000043,10-Q,2024-08-06,PRE_BACKFILL
AMGN,0000318154-24-000033,8-K,2024-08-06,PRE_BACKFILL
AMGN,0000318154-24-000035,10-Q,2024-08-06,PRE_BACKFILL
AMP,0000820027-24-000079,10-Q,2024-08-06,PRE_BACKFILL
AMRC,0001488139-24-000139,10-Q,2024-08-06,PRE_BACKFILL
ARES,0001628280-24-035320,10-Q,2024-08-06,PRE_BACKFILL
ARMK,0001584509-24-000149,8-K,2024-08-06,PRE_BACKFILL
