scope	name	sha256
kf-a4-final-36-20260822T162832Z	receipt	ea74a48ed202f8ce8d3fbab2d761436520c6046072b32763656d3ee5a4af72f8
kf-a4-final-36-20260822T162832Z	finalization	e985bd45cdabd43e3a1be5dc5c306d434a44b0240c73797ef10ba3f6dbfcf7d6
kf-a4-final-36-20260822T162832Z	raw tree	6c6a028a59f6465a500204deb43718ad1ff6420971cb5b92a39ebcb27b7967c3
kf-a4-corr-32-20260823T030745Z	receipt	89027802ad9f614a8a50749e72006b86019430e4dc494f65d7376ff49ba43c1a
kf-a4-corr-32-20260823T030745Z	finalization	c6b4388bbd867c8813637f0653f8298e55494dcdcc64dfcd113ac117865b53bf
kf-a4-corr-32-20260823T030745Z	raw tree	9df377b663736dc2422badb613398f6fb385af3e161d9be62118e3b5a32be92f
kf-a4-corr-32-20260823T030745Z	retry receipt	f5839a5f95cf35db7d51282eb08c50145cdd2c55575e297f7b47088bb4a8f550
kf-a4-corr-32-20260823T030745Z	retry finalization	379592d7368a561d657f159db9754da047c3f49573c32f809af240ab3331234a
kf-a4-corr-32-20260823T030745Z	retry raw tree	2111ff7e7b3f0c7bc9508f9e4d50786a1da103209ab7d4765b4170aafca2cc96
kf-a4-decision-36-20260823T075249Z	receipt	1181055f5660c9582bf2dbd1957a477a35d7eb43ac18a49c5d13435c99bd6f60
kf-a4-decision-36-20260823T075249Z	finalization	7fd61a370c87dd1e5407662f5ce42dc026c6ebab5b2241636ce8bd799efa9b68
kf-a4-decision-36-20260823T075249Z	raw tree	9e90265db883d47e317f44fae2dd4142b685c52059153b50c7fd2f225f2532f5
kf-a4-v4corr-21-20260823T122628Z	receipt	27aa8eb0af403f1c58cb6d887c59d9864de6aeb71829fa3b1636510a4848b3c4
kf-a4-v4corr-21-20260823T122628Z	finalization	4a3098178ad70baa7bb3e35c2331984a5c6a797417cfa0231357546ae738ffdc
kf-a4-v4corr-21-20260823T122628Z	raw tree	dbb8f4635c262880fcee19fa308b8d9c18c87477af65d9dd5d79e77a21ff8af2
kf-a4-v4corr-21-20260823T122628Z	retry receipt	8a3a73e55ba2a617ce233379354acc22208c8f96254b0aea2425f9af5b7d959a
kf-a4-v4corr-21-20260823T122628Z	retry finalization	52952c25a040813ddebffc1e24d5cd8fb8f262ab620778becfdbf7a7c9d5d385
kf-a4-v4corr-21-20260823T122628Z	retry raw tree	e8119ece1f5a956b597170959133cb61c6b914c974ae3d8f6ce91dbe7b4a910f
kf-a4-v5corr-4-20260823T164833Z	receipt	824099afb34bc42d0d338a0b14d2651c533f59897b32a482e72f6c0a12746d4a
kf-a4-v5corr-4-20260823T164833Z	finalization	b4b0506186ffd4708e6a3d6784a92c053a3d518ee33e5248aeb83304ba5b98d9
kf-a4-v5corr-4-20260823T164833Z	raw tree	ab853c7861f4d558d9d8e0a5164b4ae1ee1748f332e5c72ec7dee8804bbe00d1
kf-a4-v6corr-3-20260823T171830Z	receipt	79e02d7548a9821cf0c429353f784653ba4b6d5f13c28e3ffba9cbd95ab53ab1
kf-a4-v6corr-3-20260823T171830Z	finalization	3d7b16ad5cd881d82b74b5479ca91e0448114e4d4b67f510eb0e3b5a4af8229c
kf-a4-v6corr-3-20260823T171830Z	raw tree	fb8ef00f5ad8d8de5b179dafd07c8a170319884f5abfb7cf69aea39e30e9ad15
kf-a4-signer-20260823T180519Z	receipt	dfab7c269e09bd98e051d1a4567d4e454b217a26154b0931f7a8a0f35c36543d
kf-a4-signer-20260823T180519Z	finalization	1a625209d36ddbe1edf7fa066b5c3e636e25470f975ce3abb0bee623d6559ee0
kf-a4-signer-20260823T180519Z	raw tree	0128da9b5b997aa4885c0c972cf13ec3d9d929e248df964863fb2fd70192d4b6
lock	a4_detailed_key_lock_v6.json	c1d4deb2c12a257326ffb03434a28ecad2ec51282864e7b26f2ccdd0f7dd80c9
owner	v6_lock_1398.py	51ba27ac3c04fdce92bcbd4bce7c8b3654191c970b1d19759b3f7270cd939ea0
v6	shards	36
v6	rows	196
v6	a4_final_v3_decision	15
v6	a4_final_v4_correction	17
v6	a4_final_v5_correction	1
v6	a4_final_v6_correction	3
v6	open_issues	0
v6	states	135
v6	signer_wf	wf_12cf30ed-860
kf-a4-corr-32-20260823T030745Z	era manifest	c0b76f92390bd05bb992e4409dc555a7f2be5b41ced4e6fe2f41478ef5e2e013
kf-a4-corr-32-20260823T030745Z	prepared receipt	0e866daba22f57d36e698ca6d0a47e4d8a05882b7232a2317c73a3c823a4594f
kf-a4-v6corr-3-20260823T171830Z	prepared receipt	71b7c0054434a2e4cc480db57dd8ac2afdd4df8605b16aac5088ef94e47b22fb
receipt_epoch	final.json	3753a989b8b1f0ff8d96b70962e4df99cc59049c119dc62044f0ebf1fbb50bb0
receipt_epoch	corr.json	15c806a54cf23837187cd055722fc8433f748b31db877c848d5ec049dbab0a83
receipt_epoch	decision.json	e6fa5ec79e6fa7ce05367ab3b2942fdfd1a37b4cad427af7cd0756d445d644b1
receipt_epoch	v4corr.json	0ef3f2caa9a133b19f705c69a729fcc183a60591c3cd1dd3dcbf18abeb18637c
receipt_epoch	v5corr.json	87e858600e16cd8682b8260d845eeac2a5fa4fc522a5f84c74f811f247e465b1
