accession_8k,ticker,fy,q,oracle_source
0000320193-25-000077,AAPL,2025,Q4,GT
0000320193-26-000005,AAPL,2026,Q1,GT
0001551152-23-000015,ABBV,2023,Q1,GT
0001551152-23-000019,ABBV,2023,Q1,GT
0001551152-23-000026,ABBV,2023,Q2,GT
0001551152-23-000028,ABBV,2023,Q2,GT
0001551152-23-000036,ABBV,2023,Q3,GT
0001551152-23-000040,ABBV,2023,Q3,GT
0001551152-24-000002,ABBV,2023,Q4,GT
0001551152-24-000007,ABBV,2023,Q4,GT
0001551152-24-000013,ABBV,2024,Q1,GT
0001551152-24-000016,ABBV,2024,Q1,GT
0001551152-24-000024,ABBV,2024,Q2,GT
0001551152-24-000026,ABBV,2024,Q2,GT
0001551152-24-000033,ABBV,2024,Q3,GT
0001551152-24-000036,ABBV,2024,Q3,GT
0001551152-25-000002,ABBV,2024,Q4,GT
0001551152-25-000011,ABBV,2024,Q4,GT
0001551152-25-000023,ABBV,2025,Q1,GT
0001551152-25-000026,ABBV,2025,Q1,GT
0001551152-25-000034,ABBV,2025,Q2,GT
0001551152-25-000036,ABBV,2025,Q2,GT
0001551152-25-000043,ABBV,2025,Q3,GT
0001551152-25-000047,ABBV,2025,Q3,GT
0001551152-26-000002,ABBV,2025,Q4,GT
0001551152-26-000004,ABBV,2025,Q4,GT
0000950170-23-026534,ABM,2023,Q2,GT
0000950170-23-046875,ABM,2023,Q3,GT
0000950170-23-069873,ABM,2023,Q4,GT
0000950170-24-027580,ABM,2024,Q1,GT
0000950170-24-069662,ABM,2024,Q2,GT
0000950170-24-104226,ABM,2024,Q3,GT
0000950170-24-137611,ABM,2024,Q4,GT
0000950170-25-037617,ABM,2025,Q1,GT
0000950170-25-082687,ABM,2025,Q2,GT
0000771497-25-000020,ABM,2025,Q3,GT
0001193125-25-321680,ABM,2025,Q4,GT
0001193125-26-099334,ABM,2026,Q1,GT
0001193125-23-139392,ABNB,2023,Q1,GT
0001193125-23-202832,ABNB,2023,Q2,GT
0001193125-23-268164,ABNB,2023,Q3,GT
0001193125-24-033706,ABNB,2023,Q4,GT
0001193125-24-134183,ABNB,2024,Q1,GT
0001193125-24-194849,ABNB,2024,Q2,GT
0001193125-24-253103,ABNB,2024,Q3,GT
0001193125-25-026054,ABNB,2024,Q4,GT
0001193125-25-109934,ABNB,2025,Q1,GT
0001193125-25-174438,ABNB,2025,Q2,GT
0001193125-25-269432,ABNB,2025,Q3,GT
0001193125-26-048670,ABNB,2025,Q4,GT
0001628280-23-012020,ABT,2023,Q1,GT
0001628280-23-025156,ABT,2023,Q2,GT
0001628280-23-034544,ABT,2023,Q3,GT
0001628280-24-002009,ABT,2023,Q4,GT
0001628280-24-016497,ABT,2024,Q1,GT
0001628280-24-032182,ABT,2024,Q2,GT
0001628280-24-042893,ABT,2024,Q3,GT
0001628280-25-002092,ABT,2024,Q4,GT
0001628280-25-017924,ABT,2025,Q1,GT
0001628280-25-035135,ABT,2025,Q2,GT
0001628280-25-045049,ABT,2025,Q3,GT
0001628280-26-002982,ABT,2025,Q4,GT
0000950170-23-018800,ACAD,2023,Q1,GT
0001193125-23-188839,ACAD,2023,Q2,GT
0000950170-23-037216,ACAD,2023,Q2,GT
0000950170-23-058254,ACAD,2023,Q3,GT
0000950170-24-021169,ACAD,2023,Q4,GT
0000950170-24-055647,ACAD,2024,Q1,GT
0000950170-24-091826,ACAD,2024,Q2,GT
0000950170-24-122322,ACAD,2024,Q3,GT
0000950170-25-027759,ACAD,2024,Q4,GT
0000950170-25-065672,ACAD,2025,Q1,GT
0000950170-25-104092,ACAD,2025,Q2,GT
0001193125-25-266959,ACAD,2025,Q3,GT
0001193125-26-011706,ACAD,2025,Q4,GT
0001193125-26-071674,ACAD,2025,Q4,GT
0001157523-23-000620,ACHC,2023,Q1,GT
0001157523-23-001176,ACHC,2023,Q2,GT
0001157523-23-001637,ACHC,2023,Q3,GT
0001437749-24-005735,ACHC,2023,Q4,GT
0001437749-24-014205,ACHC,2024,Q1,GT
0001437749-24-024148,ACHC,2024,Q2,GT
0001193125-25-005003,ACHC,2024,Q4,GT
0001437749-25-005467,ACHC,2024,Q4,GT
0001437749-25-024875,ACHC,2025,Q2,GT
0001437749-25-033347,ACHC,2025,Q3,GT
0001437749-26-001137,ACHC,2025,Q4,GT
0001437749-26-005431,ACHC,2025,Q4,GT
0001104659-23-057157,ACM,2023,Q2,GT
0001104659-23-088349,ACM,2023,Q3,GT
0001104659-23-117223,ACM,2023,Q4,GT
0001104659-24-010610,ACM,2024,Q1,GT
0001104659-24-057441,ACM,2024,Q2,GT
0001104659-24-085822,ACM,2024,Q3,GT
0001104659-24-120136,ACM,2024,Q4,GT
0001104659-25-008636,ACM,2025,Q1,GT
0001104659-25-044515,ACM,2025,Q2,GT
0001104659-25-073644,ACM,2025,Q3,GT
0001104659-25-113439,ACM,2025,Q4,GT
0001104659-26-012069,ACM,2026,Q1,GT
0001140361-23-020417,ACMR,2023,Q1,GT
0001140361-23-023074,ACMR,2023,Q1,GT
0001140361-23-038152,ACMR,2023,Q2,GT
0001140361-23-049841,ACMR,2023,Q3,GT
0001140361-23-051730,ACMR,2023,Q3,GT
0001140361-24-001418,ACMR,2023,Q4,GT
0001140361-24-009927,ACMR,2023,Q4,GT
0001140361-24-022270,ACMR,2024,Q1,GT
0001140361-24-024791,ACMR,2024,Q1,GT
0001140361-24-036019,ACMR,2024,Q2,GT
0001140361-24-044585,ACMR,2024,Q3,GT
0001140361-24-045488,ACMR,2024,Q3,GT
0001140361-25-001011,ACMR,2024,Q4,GT
0001140361-25-005981,ACMR,2024,Q4,GT
0001140361-25-016210,ACMR,2025,Q1,GT
0001140361-25-017795,ACMR,2025,Q1,GT
0001140361-25-028994,ACMR,2025,Q2,GT
0001680062-25-000031,ACMR,2025,Q3,GT
0001628280-25-049264,ACMR,2025,Q3,GT
0001680062-26-000003,ACMR,2025,Q4,GT
0001628280-26-011998,ACMR,2025,Q4,GT
0001467373-23-000220,ACN,2023,Q3,GT
0001467373-23-000303,ACN,2023,Q4,GT
0001467373-23-000401,ACN,2024,Q1,GT
0001467373-24-000106,ACN,2024,Q2,GT
0001467373-24-000195,ACN,2024,Q3,GT
0001467373-24-000266,ACN,2024,Q4,GT
0001467373-24-000351,ACN,2025,Q1,GT
0001467373-25-000099,ACN,2025,Q2,GT
0001467373-25-000168,ACN,2025,Q3,GT
0001467373-25-000213,ACN,2025,Q4,GT
0001467373-25-000221,ACN,2026,Q1,GT
0001467373-26-000013,ACN,2026,Q2,GT
0000796343-23-000044,ADBE,2023,Q1,GT
0000796343-23-000133,ADBE,2023,Q2,GT
0000796343-23-000198,ADBE,2023,Q3,GT
0000796343-23-000252,ADBE,2023,Q4,GT
0000796343-24-000057,ADBE,2024,Q1,GT
0000796343-24-000140,ADBE,2024,Q2,GT
0000796343-24-000200,ADBE,2024,Q3,GT
0000796343-24-000250,ADBE,2024,Q4,GT
0000796343-25-000052,ADBE,2025,Q1,GT
0000796343-25-000064,ADBE,2025,Q2,GT
0000796343-25-000102,ADBE,2025,Q3,GT
0000796343-25-000135,ADBE,2025,Q4,GT
0000796343-26-000048,ADBE,2026,Q1,GT
0001104659-23-055998,ADC,2023,Q1,GT
0001104659-23-111089,ADC,2023,Q3,GT
0001104659-24-019867,ADC,2023,Q4,GT
0001104659-25-011470,ADC,2024,Q4,GT
0001104659-25-101229,ADC,2025,Q3,GT
0000917251-26-000012,ADC,2025,Q4,GT
0000917251-26-000046,ADC,2026,Q1,GT
0000006281-23-000151,ADI,2023,Q2,GT
0000006281-23-000177,ADI,2023,Q3,GT
0000006281-23-000200,ADI,2023,Q4,GT
0000006281-24-000032,ADI,2024,Q1,GT
0000006281-24-000130,ADI,2024,Q2,GT
0000006281-24-000158,ADI,2024,Q3,GT
0000006281-24-000202,ADI,2024,Q4,GT
0000006281-25-000022,ADI,2025,Q1,GT
0000006281-25-000124,ADI,2025,Q2,GT
0000006281-25-000142,ADI,2025,Q3,GT
0000006281-25-000151,ADI,2025,Q4,GT
0000006281-26-000015,ADI,2026,Q1,GT
0000007084-23-000014,ADM,2023,Q1,GT
0000007084-23-000024,ADM,2023,Q2,GT
0000007084-23-000037,ADM,2023,Q3,GT
0001193125-24-011608,ADM,2023,Q4,GT
0000007084-24-000015,ADM,2024,Q1,GT
0000007084-24-000024,ADM,2024,Q2,GT
0000007084-24-000031,ADM,2024,Q3,GT
0000007084-25-000005,ADM,2024,Q4,GT
0000007084-25-000020,ADM,2025,Q1,GT
0000007084-25-000040,ADM,2025,Q2,GT
0000007084-25-000049,ADM,2025,Q3,GT
0000007084-26-000005,ADM,2025,Q4,GT
0001670541-23-000101,ADNT,2023,Q2,GT
0001670541-23-000128,ADNT,2023,Q3,GT
0001670541-23-000150,ADNT,2023,Q4,GT
0001670541-24-000015,ADNT,2024,Q1,GT
0001670541-24-000028,ADNT,2024,Q1,GT
0001670541-24-000070,ADNT,2024,Q2,GT
0001670541-24-000095,ADNT,2024,Q3,GT
0001670541-24-000104,ADNT,2024,Q4,GT
0001670541-25-000015,ADNT,2025,Q1,GT
0001670541-25-000054,ADNT,2025,Q2,GT
0001670541-25-000104,ADNT,2025,Q3,GT
0001670541-25-000123,ADNT,2025,Q4,GT
0001670541-26-000022,ADNT,2026,Q1,GT
0000769397-23-000106,ADSK,2024,Q1,GT
0000769397-23-000157,ADSK,2024,Q2,GT
0000769397-23-000187,ADSK,2024,Q3,GT
0000769397-24-000019,ADSK,2024,Q4,GT
0000769397-24-000147,ADSK,2025,Q2,GT
0000769397-24-000175,ADSK,2025,Q3,GT
0000769397-25-000013,ADSK,2025,Q4,GT
0000769397-25-000067,ADSK,2026,Q1,GT
0000769397-25-000114,ADSK,2026,Q2,GT
0000769397-25-000126,ADSK,2026,Q3,GT
0000769397-26-000010,ADSK,2026,Q4,GT
0001002910-23-000089,AEE,2023,Q1,GT
0001002910-23-000101,AEE,2023,Q2,GT
0001002910-23-000111,AEE,2023,Q3,GT
0001002910-24-000053,AEE,2023,Q4,GT
0001002910-24-000087,AEE,2024,Q1,GT
0001002910-24-000098,AEE,2024,Q2,GT
0001002910-24-000109,AEE,2024,Q3,GT
0001002910-25-000052,AEE,2024,Q4,GT
0001002910-25-000095,AEE,2025,Q1,GT
0001002910-25-000109,AEE,2025,Q2,GT
0001002910-25-000127,AEE,2025,Q3,GT
0001002910-26-000005,AEE,2025,Q4,GT
0001558370-24-000810,AEIS,2023,Q4,GT
0000927003-24-000006,AEIS,2024,Q1,GT
0001558370-24-010373,AEIS,2024,Q2,GT
0001558370-24-013945,AEIS,2024,Q3,GT
0001558370-25-000860,AEIS,2024,Q4,GT
0001558370-25-005989,AEIS,2025,Q1,GT
0001558370-25-010280,AEIS,2025,Q2,GT
0000927003-25-000021,AEIS,2025,Q3,GT
0000927003-26-000005,AEIS,2025,Q4,GT
0000004904-23-000071,AEP,2023,Q1,GT
0000004904-23-000103,AEP,2023,Q2,GT
0000004904-23-000119,AEP,2023,Q3,GT
0000004904-24-000019,AEP,2023,Q4,GT
0000004904-24-000045,AEP,2024,Q1,GT
0000004904-24-000080,AEP,2024,Q2,GT
0000004904-24-000099,AEP,2024,Q3,GT
0000004904-25-000025,AEP,2024,Q4,GT
0000004904-25-000059,AEP,2025,Q1,GT
0000004904-25-000139,AEP,2025,Q2,GT
0000004904-25-000169,AEP,2025,Q3,GT
0000004904-26-000011,AEP,2025,Q4,GT
0000874761-25-000006,AES,2024,Q4,GT
0000874761-25-000071,AES,2025,Q2,GT
0000004977-23-000087,AFL,2023,Q1,GT
0000004977-23-000146,AFL,2023,Q2,GT
0000004977-23-000172,AFL,2023,Q3,GT
0000004977-24-000006,AFL,2023,Q4,GT
0000004977-24-000082,AFL,2024,Q1,GT
0000004977-24-000138,AFL,2024,Q2,GT
0000004977-24-000164,AFL,2024,Q3,GT
0000004977-25-000006,AFL,2024,Q4,GT
0000004977-25-000067,AFL,2025,Q1,GT
0001628280-25-048906,AFL,2025,Q3,GT
0001628280-26-005458,AFL,2025,Q4,GT
0001820953-23-000011,AFRM,2023,Q3,GT
0001820953-23-000015,AFRM,2023,Q4,GT
0001820953-23-000023,AFRM,2024,Q1,GT
0001820953-24-000005,AFRM,2024,Q2,GT
0001820953-24-000012,AFRM,2024,Q3,GT
0001820953-24-000033,AFRM,2024,Q4,GT
0001820953-24-000058,AFRM,2025,Q1,GT
0001820953-25-000010,AFRM,2025,Q2,GT
0001820953-25-000050,AFRM,2025,Q3,GT
0001820953-25-000078,AFRM,2025,Q4,GT
0001628280-25-050159,AFRM,2026,Q1,GT
0001628280-26-005772,AFRM,2026,Q2,GT
0001439222-23-000063,AGIO,2023,Q1,GT
0001439222-23-000117,AGIO,2023,Q2,GT
0001439222-23-000138,AGIO,2023,Q3,GT
0001439222-24-000032,AGIO,2023,Q4,GT
0001439222-24-000067,AGIO,2024,Q1,GT
0001439222-24-000117,AGIO,2024,Q2,GT
0001439222-24-000136,AGIO,2024,Q3,GT
0001439222-25-000007,AGIO,2024,Q4,GT
0001439222-25-000034,AGIO,2025,Q1,GT
0001439222-25-000087,AGIO,2025,Q2,GT
0001439222-25-000114,AGIO,2025,Q3,GT
0001439222-26-000023,AGIO,2025,Q4,GT
0001423689-23-000037,AGNC,2023,Q1,GT
0001423689-23-000048,AGNC,2023,Q2,GT
0001423689-23-000064,AGNC,2023,Q3,GT
0001423689-23-000067,AGNC,2023,Q3,GT
0001423689-24-000003,AGNC,2023,Q4,GT
0001423689-24-000037,AGNC,2024,Q1,GT
0001423689-24-000056,AGNC,2024,Q2,GT
0001423689-24-000060,AGNC,2024,Q3,GT
0001423689-25-000002,AGNC,2024,Q4,GT
0001423689-25-000037,AGNC,2025,Q1,GT
0001423689-25-000043,AGNC,2025,Q1,GT
0001423689-25-000061,AGNC,2025,Q2,GT
0001423689-25-000101,AGNC,2025,Q3,GT
0001423689-26-000024,AGNC,2025,Q4,GT
0001628280-23-016626,AHCO,2023,Q1,GT
0001628280-23-027927,AHCO,2023,Q2,GT
0001628280-23-037167,AHCO,2023,Q3,GT
0001628280-24-007032,AHCO,2023,Q4,GT
0001628280-24-020835,AHCO,2024,Q1,GT
0001628280-24-034954,AHCO,2024,Q2,GT
0001628280-24-045113,AHCO,2024,Q3,GT
0001628280-25-007553,AHCO,2024,Q4,GT
0001628280-25-022394,AHCO,2025,Q1,GT
0001628280-25-037598,AHCO,2025,Q2,GT
0001628280-25-048527,AHCO,2025,Q3,GT
0001628280-26-010872,AHCO,2025,Q4,GT
0001628280-23-017993,AI,2023,Q4,GT
0001628280-23-020351,AI,2023,Q4,GT
0001628280-23-031546,AI,2024,Q1,GT
0001628280-23-040913,AI,2024,Q2,GT
0001628280-24-007584,AI,2024,Q3,GT
0001628280-24-025609,AI,2024,Q4,GT
0001628280-24-039310,AI,2025,Q1,GT
0001628280-24-050446,AI,2025,Q2,GT
0001628280-25-008139,AI,2025,Q3,GT
0001628280-25-028158,AI,2025,Q4,GT
0001628280-25-039359,AI,2026,Q1,GT
0001577526-25-000021,AI,2026,Q1,GT
0001577526-25-000052,AI,2026,Q2,GT
0001577526-26-000013,AI,2026,Q3,GT
0001104659-23-056045,AIG,2023,Q1,GT
0000005272-23-000029,AIG,2023,Q2,GT
0000005272-23-000041,AIG,2023,Q3,GT
0000005272-24-000017,AIG,2023,Q4,GT
0000005272-24-000047,AIG,2024,Q1,GT
0000005272-24-000075,AIG,2024,Q2,GT
0000005272-24-000121,AIG,2024,Q3,GT
0000005272-25-000004,AIG,2024,Q4,GT
0000005272-25-000036,AIG,2025,Q1,GT
0000005272-25-000077,AIG,2025,Q2,GT
0000005272-25-000156,AIG,2025,Q3,GT
0000005272-26-000014,AIG,2025,Q4,GT
0001104659-23-082021,AIR,2023,Q4,GT
0001104659-23-128211,AIR,2024,Q2,GT
0001104659-24-037286,AIR,2024,Q3,GT
0001104659-24-080853,AIR,2024,Q4,GT
0001104659-24-102051,AIR,2025,Q1,GT
0001104659-25-001680,AIR,2025,Q2,GT
0001104659-25-028807,AIR,2025,Q3,GT
0001104659-25-068351,AIR,2025,Q4,GT
0001104659-25-092548,AIR,2026,Q1,GT
0001104659-26-001328,AIR,2026,Q2,GT
0001104659-26-033901,AIR,2026,Q3,GT
0001193125-23-122244,AJG,2023,Q1,GT
0001193125-23-196121,AJG,2023,Q2,GT
0001193125-23-264115,AJG,2023,Q3,GT
0001193125-24-015499,AJG,2023,Q4,GT
0001193125-24-113968,AJG,2024,Q1,GT
0001193125-24-184856,AJG,2024,Q2,GT
0001193125-24-242871,AJG,2024,Q3,GT
0001193125-25-017328,AJG,2024,Q4,GT
0001193125-25-110014,AJG,2025,Q1,GT
0001193125-25-170602,AJG,2025,Q2,GT
0001193125-25-258781,AJG,2025,Q3,GT
0001193125-26-029407,AJG,2025,Q4,GT
0001086222-23-000185,AKAM,2023,Q1,GT
0001086222-23-000246,AKAM,2023,Q2,GT
0001086222-23-000282,AKAM,2023,Q3,GT
0001086222-24-000013,AKAM,2023,Q4,GT
0001086222-24-000146,AKAM,2024,Q1,GT
0001086222-24-000197,AKAM,2024,Q2,GT
0001086222-24-000214,AKAM,2024,Q3,GT
0001086222-25-000007,AKAM,2024,Q4,GT
0001086222-25-000146,AKAM,2025,Q1,GT
0001086222-25-000214,AKAM,2025,Q2,GT
0001086222-25-000252,AKAM,2025,Q3,GT
0001086222-26-000017,AKAM,2025,Q4,GT
0000915913-23-000113,ALB,2023,Q1,GT
0000915913-23-000164,ALB,2023,Q2,GT
0000915913-23-000178,ALB,2023,Q3,GT
0000915913-24-000014,ALB,2023,Q4,GT
0000915913-24-000098,ALB,2024,Q1,GT
0000915913-24-000137,ALB,2024,Q2,GT
0000915913-24-000156,ALB,2024,Q3,GT
0000915913-25-000023,ALB,2024,Q4,GT
0000915913-25-000081,ALB,2025,Q1,GT
0000915913-25-000128,ALB,2025,Q2,GT
0000915913-25-000160,ALB,2025,Q3,GT
0000915913-26-000016,ALB,2025,Q4,GT
0001545654-23-000020,ALEX,2023,Q1,GT
0001545654-23-000028,ALEX,2023,Q2,GT
0001545654-23-000036,ALEX,2023,Q3,GT
0001545654-24-000006,ALEX,2023,Q4,GT
0001545654-24-000018,ALEX,2024,Q1,GT
0001545654-24-000022,ALEX,2024,Q2,GT
0001545654-24-000033,ALEX,2024,Q3,GT
0001545654-25-000002,ALEX,2024,Q4,GT
0001545654-25-000015,ALEX,2025,Q1,GT
0001545654-25-000022,ALEX,2025,Q2,GT
0001097149-23-000039,ALGN,2023,Q1,GT
0001097149-23-000054,ALGN,2023,Q2,GT
0001097149-23-000075,ALGN,2023,Q3,GT
0001097149-24-000007,ALGN,2023,Q4,GT
0001097149-24-000026,ALGN,2024,Q1,GT
0001097149-24-000045,ALGN,2024,Q2,GT
0001097149-24-000053,ALGN,2024,Q3,GT
0001097149-25-000005,ALGN,2024,Q4,GT
0001097149-25-000028,ALGN,2025,Q1,GT
0001097149-25-000055,ALGN,2025,Q2,GT
0001097149-25-000075,ALGN,2025,Q3,GT
0001097149-26-000006,ALGN,2025,Q4,GT
0001362468-23-000021,ALGT,2023,Q1,GT
0001362468-23-000037,ALGT,2023,Q2,GT
0001362468-23-000054,ALGT,2023,Q3,GT
0001362468-24-000004,ALGT,2023,Q4,GT
0001362468-24-000017,ALGT,2024,Q1,GT
0001362468-24-000040,ALGT,2024,Q2,GT
0001362468-24-000058,ALGT,2024,Q3,GT
0001362468-25-000004,ALGT,2024,Q4,GT
0001362468-25-000019,ALGT,2025,Q1,GT
0001362468-25-000040,ALGT,2025,Q2,GT
0001362468-25-000051,ALGT,2025,Q3,GT
0001362468-26-000004,ALGT,2025,Q4,GT
0000766421-23-000018,ALK,2023,Q1,GT
0000766421-23-000031,ALK,2023,Q2,GT
0000766421-23-000042,ALK,2023,Q3,GT
0000766421-24-000007,ALK,2023,Q4,GT
0000766421-24-000023,ALK,2024,Q1,GT
0000766421-24-000038,ALK,2024,Q2,GT
0000766421-24-000080,ALK,2024,Q3,GT
0000766421-25-000005,ALK,2024,Q4,GT
0000766421-25-000012,ALK,2025,Q1,GT
0000766421-25-000026,ALK,2025,Q2,GT
0000766421-25-000049,ALK,2025,Q3,GT
0000766421-26-000007,ALK,2025,Q4,GT
0001564590-23-006238,ALKS,2023,Q1,GT
0000950170-23-034556,ALKS,2023,Q2,GT
0000950170-23-054999,ALKS,2023,Q3,GT
0000950170-24-015597,ALKS,2023,Q4,GT
0000950170-24-050887,ALKS,2024,Q1,GT
0000950170-24-085860,ALKS,2024,Q2,GT
0000950170-24-116848,ALKS,2024,Q3,GT
0000950170-25-004600,ALKS,2024,Q4,GT
0000950170-25-018402,ALKS,2024,Q4,GT
0000950170-25-061441,ALKS,2025,Q1,GT
0000950170-25-099382,ALKS,2025,Q2,GT
0001193125-25-245852,ALKS,2025,Q3,GT
0001193125-25-252207,ALKS,2025,Q3,GT
0001193125-26-009813,ALKS,2025,Q4,GT
0001193125-26-068512,ALKS,2025,Q4,GT
0000899051-23-000031,ALL,2023,Q1,GT
0000899051-23-000036,ALL,2023,Q1,GT
0000899051-23-000055,ALL,2023,Q2,GT
0000899051-23-000062,ALL,2023,Q2,GT
0000899051-23-000069,ALL,2023,Q3,GT
0000899051-23-000075,ALL,2023,Q3,GT
0000899051-24-000002,ALL,2023,Q4,GT
0000899051-24-000005,ALL,2023,Q4,GT
0000899051-24-000018,ALL,2024,Q1,GT
0000899051-24-000023,ALL,2024,Q1,GT
0000899051-24-000053,ALL,2024,Q2,GT
0000899051-24-000082,ALL,2024,Q3,GT
0000899051-25-000009,ALL,2024,Q4,GT
0000899051-25-000040,ALL,2025,Q1,GT
0000899051-25-000068,ALL,2025,Q2,GT
0000899051-25-000100,ALL,2025,Q3,GT
0000899051-26-000013,ALL,2025,Q4,GT
0001579241-23-000021,ALLE,2023,Q1,GT
0001579241-23-000037,ALLE,2023,Q2,GT
0001579241-23-000048,ALLE,2023,Q3,GT
0001579241-24-000004,ALLE,2023,Q4,GT
0001579241-24-000044,ALLE,2024,Q2,GT
0001579241-25-000006,ALLE,2024,Q4,GT
0001579241-25-000019,ALLE,2025,Q1,GT
0001579241-25-000028,ALLE,2025,Q2,GT
0001579241-25-000041,ALLE,2025,Q3,GT
0001579241-26-000006,ALLE,2025,Q4,GT
0001157523-23-000728,ALNY,2023,Q1,GT
0001193125-23-202313,ALNY,2023,Q2,GT
0001157523-23-001622,ALNY,2023,Q3,GT
0001193125-24-003854,ALNY,2023,Q4,GT
0001157523-24-000253,ALNY,2023,Q4,GT
0001178670-25-000008,ALNY,2024,Q4,GT
0001178670-25-000089,ALNY,2025,Q2,GT
0001628280-25-047342,ALNY,2025,Q3,GT
0001628280-26-001755,ALNY,2025,Q4,GT
0001628280-26-007491,ALNY,2025,Q4,GT
0001193125-23-122177,ALSN,2023,Q1,GT
0001193125-23-196106,ALSN,2023,Q2,GT
0001193125-23-263026,ALSN,2023,Q3,GT
0001193125-24-033768,ALSN,2023,Q4,GT
0001193125-24-113874,ALSN,2024,Q1,GT
0001193125-24-184838,ALSN,2024,Q2,GT
0001193125-24-246521,ALSN,2024,Q3,GT
0001193125-25-024308,ALSN,2024,Q4,GT
0001193125-25-109981,ALSN,2025,Q1,GT
0001193125-25-172619,ALSN,2025,Q2,GT
0001193125-25-256299,ALSN,2025,Q3,GT
0001193125-26-063975,ALSN,2025,Q4,GT
0001326190-23-000025,ALT,2023,Q1,GT
0001326190-23-000033,ALT,2023,Q2,GT
0001326190-23-000044,ALT,2023,Q3,GT
0001326190-24-000006,ALT,2023,Q4,GT
0001326190-24-000016,ALT,2024,Q1,GT
0001326190-24-000027,ALT,2024,Q2,GT
0001326190-24-000047,ALT,2024,Q3,GT
0001326190-25-000011,ALT,2024,Q4,GT
0001326190-25-000031,ALT,2025,Q1,GT
0001558370-25-011145,ALT,2025,Q2,GT
0001326190-25-000055,ALT,2025,Q3,GT
0001326190-26-000013,ALT,2025,Q4,GT
0000950170-23-013741,ALV,2023,Q1,GT
0000950170-23-033744,ALV,2023,Q2,GT
0000950170-23-054245,ALV,2023,Q3,GT
0000950170-24-007685,ALV,2023,Q4,GT
0000950170-24-048645,ALV,2024,Q1,GT
0000950170-24-084747,ALV,2024,Q2,GT
0000950170-24-115443,ALV,2024,Q3,GT
0000950170-25-011409,ALV,2024,Q4,GT
0000950170-25-054479,ALV,2025,Q1,GT
0000950170-25-096754,ALV,2025,Q2,GT
0001193125-25-241914,ALV,2025,Q3,GT
0001193125-26-030248,ALV,2025,Q4,GT
0001193125-26-160203,ALV,2026,Q1,GT
0000006951-23-000017,AMAT,2023,Q2,GT
0000006951-23-000026,AMAT,2023,Q3,GT
0000006951-23-000035,AMAT,2023,Q4,GT
0000006951-24-000006,AMAT,2024,Q1,GT
0000006951-24-000026,AMAT,2024,Q3,GT
0000006951-24-000037,AMAT,2024,Q4,GT
0000006951-25-000005,AMAT,2025,Q1,GT
0000006951-25-000017,AMAT,2025,Q2,GT
0000006951-25-000032,AMAT,2025,Q3,GT
0001628280-25-051998,AMAT,2025,Q4,GT
0001628280-26-007661,AMAT,2026,Q1,GT
0001193125-23-156616,AMBA,2024,Q1,GT
0001193125-23-223867,AMBA,2024,Q2,GT
0001193125-23-286312,AMBA,2024,Q3,GT
