exchange,symbol,name,sector,industry
NYSE,NRG,"NRG Energy, Inc. Common Stock",Utilities,Utilities - Independent Power Producers
OTC,ELTP,Elite Pharms Inc,Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,MCS,Marcus Corporation (The) Common Stock,Communication Services,Entertainment
NASDAQ,QIWI,QIWI plc,,
NASDAQ,PZZA,"Papa John's International, Inc. - Common Stock",Consumer Cyclical,Restaurants
NASDAQ,RDI,Reading International Inc - Class A Non-voting Common Stock,Communication Services,Entertainment
NASDAQ,BLIN,"Bridgeline Digital, Inc. - Common Stock",Technology,Software - Infrastructure
NYSE,SAH,"Sonic Automotive, Inc. Common Stock",Consumer Cyclical,Auto & Truck Dealerships
NYSE,UP,Wheels Up Experience Inc. Class A Common Stock,Industrials,Airports & Air Services
OTC,JUSHF,Jushi Hldgs Inc Cl B,Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,ARGO,"Argo Group International Holdings, Ltd.",,
NASDAQ,AMSC,American Superconductor Corporation - Common Stock,Industrials,Specialty Industrial Machinery
NYSE,SIG,Signet Jewelers Limited Common Shares,Consumer Cyclical,Luxury Goods
NASDAQ,LMNR,Limoneira Co - Common Stock,Consumer Defensive,Farm Products
NASDAQ,OCUL,"Ocular Therapeutix, Inc. - Common Stock",Healthcare,Biotechnology
NASDAQ,NOVT,Novanta Inc. - Common Shares,Technology,Scientific & Technical Instruments
NASDAQ,COUP,Coupa Software Incorporated - Common Stock,,
NASDAQ,WHF,"WhiteHorse Finance, Inc. - Closed End Fund",Financial Services,Asset Management
NASDAQ,NMRK,"Newmark Group, Inc. - Class A Common Stock",Real Estate,Real Estate Services
NASDAQ,IMPL,Impel Pharmaceuticals Inc. - Common Stock,,
NYSE,LXP,LXP Industrial Trust Common Stock (Maryland REIT),Real Estate,REIT - Industrial
NASDAQ,HMPT,Home Point Capital Inc. - Common Stock,,
NASDAQ,BYRN,"Byrna Technologies, Inc. - Common Stock",Industrials,Aerospace & Defense
NYSE,HIG,"Hartford Financial Services Group, Inc. (The) Common Stock",Financial Services,Insurance - Property & Casualty
OTC,CURLF,Curaleaf Hldgs Inc,Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,IRMD,iRadimed Corporation - Common Stock,Healthcare,Medical Devices
NYSE,CUBE,CubeSmart Common Shares,Real Estate,REIT - Industrial
NASDAQ,INGN,"Inogen, Inc - Common Stock",Healthcare,Medical Devices
TSX,NIF.UN,Noranda Income Fund,,
NYSE,CWK,Cushman & Wakefield plc Ordinary Shares,Real Estate,Real Estate Services
NASDAQ,VIAV,Viavi Solutions Inc. - Common Stock,Technology,Communication Equipment
NYSE,EPC,Edgewell Personal Care Company Common Stock,Consumer Defensive,Household & Personal Products
NASDAQ,PCTY,Paylocity Holding Corporation - Common Stock,Technology,Software - Application
AMEX,ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Basic Materials,Other Precious Metals & Mining
NASDAQ,SONM,"Sonim Technologies, Inc.",,
NASDAQ,FMTX,"Forma Therapeutics Holdings, Inc. - Common Stock",,
NASDAQ,BNGO,"Bionano Genomics, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,KRG,Kite Realty Group Trust Common Stock,Real Estate,REIT - Retail
NYSE,FET,"Forum Energy Technologies, Inc. Common Stock",Energy,Oil & Gas Equipment & Services
NYSE,KFY,Korn Ferry Common Stock,Industrials,Staffing & Employment Services
NYSE,UHT,Universal Health Realty Income Trust,,
NYSE,ADM,Archer-Daniels-Midland Company Common Stock,Consumer Defensive,Farm Products
NASDAQ,ORGN,"Origin Materials, Inc. - Class A Common Stock",Basic Materials,Chemicals
OTC,SHWZ,Medicine Man Tech Inc,Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,USAK,"USA Truck, Inc. - Common Stock",,
TSX,DOL,Dollarama Inc.,Consumer Defensive,Discount Stores
NYSE,TU,Telus Corporation Ordinary Shares,,
NASDAQ,SECO,Secoo Holding Limited,,
NASDAQ,MOGO,Mogo Inc. - Common Shares,Technology,Software - Infrastructure
NYSE,OLN,Olin Corporation Common Stock,Basic Materials,Chemicals
OTC,AYRWF,Ayr Wellness Inc,Healthcare,Drug Manufacturers - Specialty & Generic
NASDAQ,ISSC,"Innovative Solutions and Support, Inc. - Common Stock",Industrials,Aerospace & Defense
NASDAQ,CAR,"Avis Budget Group, Inc. - Common Stock",Industrials,Rental & Leasing Services
NYSE,DFS,Discover Financial Services Common Stock,Financial Services,Credit Services
NASDAQ,EKSO,"Ekso Bionics Holdings, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,WHG,Westwood Holdings Group Inc Common Stock,Financial Services,Asset Management
NASDAQ,CRSR,"Corsair Gaming, Inc. - Common Stock",Technology,Computer Hardware
TSX,TA,TransAlta Corporation,,
NYSE,EPR,EPR Properties Common Stock,Real Estate,REIT - Specialty
NASDAQ,VIRI,"Virios Therapeutics, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,LOW,"Lowe's Companies, Inc. Common Stock",Consumer Cyclical,Home Improvement Retail
NYSE,WMT,Walmart Inc. Common Stock,Consumer Defensive,Discount Stores
NASDAQ,JFIN,Jiayin Group Inc. - American Depositary Shares,Communication Services,Internet Content & Information
NYSE,HCC,"Warrior Met Coal, Inc. Common Stock",Basic Materials,Coking Coal
NYSE,ITGR,Integer Holdings Corporation Common Stock,Healthcare,Medical Devices
NYSE,ARIS,"Aris Water Solutions, Inc. Class A Common Stock",Utilities,Utilities - Regulated Water
NYSE,OMF,"OneMain Holdings, Inc. Common Stock",Financial Services,Credit Services
NASDAQ,OLB,"The OLB Group, Inc. - Common Stock",Technology,Software - Infrastructure
NASDAQ,VRAR,"The Glimpse Group, Inc. - Common Stock",Technology,Software - Infrastructure
NASDAQ,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,,
NASDAQ,GIII,"G-III Apparel Group, LTD. - Common Stock",Consumer Cyclical,Apparel Manufacturing
NASDAQ,MCHX,"Marchex, Inc. - Class B Common Stock",Communication Services,Advertising Agencies
NYSE,BA,Boeing Company (The) Common Stock,Industrials,Aerospace & Defense
NYSE,CEQP,Crestwood Equity Partners LP,Energy,Oil & Gas Midstream
NASDAQ,SMSI,"Smith Micro Software, Inc. - Common Stock",Technology,Software - Application
NYSE,FMC,FMC Corporation Common Stock,Basic Materials,Agricultural Inputs
NYSE,BV,"BrightView Holdings, Inc. Common Stock",Industrials,Specialty Business Services
NYSE,MTN,"Vail Resorts, Inc. Common Stock",Consumer Cyclical,Resorts & Casinos
NYSE,AFG,"American Financial Group, Inc. Common Stock",Financial Services,Insurance - Property & Casualty
NASDAQ,FRPT,"Freshpet, Inc. - Common Stock",Consumer Defensive,Packaged Foods
NYSE,NOMD,Nomad Foods Limited Ordinary Shares,Consumer Defensive,Packaged Foods
NASDAQ,XGN,Exagen Inc. - Common Stock,Healthcare,Diagnostics & Research
NASDAQ,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Technology,Semiconductors
NASDAQ,TBBK,"The Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,PTMN,Portman Ridge Finance Corporation - Closed End Fund,Financial Services,Asset Management
NASDAQ,LFUS,"Littelfuse, Inc. - Common Stock",Technology,Electronic Components
NASDAQ,KPLT,"Katapult Holdings, Inc. - Common Stock",Technology,Software - Infrastructure
NYSE,PLAN,"Anaplan, Inc. Common Stock",,
NYSE,USFD,US Foods Holding Corp. Common Stock,Consumer Defensive,Food Distribution
NYSE,ALX,"Alexander's, Inc. Common Stock",Real Estate,REIT - Retail
NASDAQ,STBA,"S&T Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,FCRD,"First Eagle Alternative Capital BDC, Inc. - Common Stock",,
NASDAQ,ICAD,icad inc. - Common Stock,Healthcare,Medical Devices
NASDAQ,LVLU,"Lulu's Fashion Lounge Holdings, Inc. - Common Stock",Consumer Cyclical,Apparel Retail
NASDAQ,GWGH,"GWG Holdings, Inc",,
NYSE,SKX,"Skechers U.S.A., Inc. Common Stock",Consumer Cyclical,Footwear & Accessories
NYSE,STAG,"Stag Industrial, Inc. Common Stock",Real Estate,REIT - Industrial
NASDAQ,ARCC,Ares Capital Corporation - Closed End Fund,Financial Services,Asset Management
NYSE,BG,Bunge Limited Common Shares,Consumer Defensive,Farm Products
OTC,GTBIF,Green Thumb Indus Sub Vtg,Healthcare,Drug Manufacturers - Specialty & Generic
NYSE,HAYW,"Hayward Holdings, Inc. Common Stock",Industrials,Electrical Equipment & Parts
NYSE,ANTM,"Anthem, Inc. Common Stock",,
NYSE,KN,Knowles Corporation Common Stock,Technology,Electronic Components
NYSE,IONQ,"IonQ, Inc. Common Stock",Technology,Computer Hardware
NYSE,IR,Ingersoll Rand Inc. Common Stock,Industrials,Specialty Industrial Machinery
NASDAQ,EVLO,"Evelo Biosciences, Inc. - Common Stock",,
NASDAQ,NEWT,"NewtekOne, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,TWIN,"Twin Disc, Incorporated - Common Stock",Industrials,Specialty Industrial Machinery
NYSE,HIW,"Highwoods Properties, Inc. Common Stock",Real Estate,REIT - Office
NASDAQ,EXLS,"ExlService Holdings, Inc. - Common Stock",Technology,Information Technology Services
NYSE,RM,Regional Management Corp. Common Stock,Financial Services,Credit Services
NASDAQ,FISI,"Financial Institutions, Inc. - Common Stock",Financial Services,Banks - Regional
NASDAQ,SONO,"Sonos, Inc. - Common Stock",Technology,Consumer Electronics
NASDAQ,TW,Tradeweb Markets Inc. - Class A Common Stock,Financial Services,Capital Markets
TSX,CVE,Cenovus Energy Inc.,,
NYSE,FBK,FB Financial Corporation Common Stock,Financial Services,Banks - Regional
NASDAQ,KARO,Karooooo Ltd. - Ordinary shares,Technology,Software - Application
NYSE,ZIM,ZIM Integrated Shipping Services Ltd. Ordinary Shares,Industrials,Marine Shipping
TSX,GRN,Greenlane Renewables Inc.,,
NASDAQ,SLNG,"Stabilis Solutions, Inc. - Common Stock",Energy,Oil & Gas Integrated
NYSE,STNG,Scorpio Tankers Inc. Common Shares,Energy,Oil & Gas Midstream
NYSE,ZTO,"ZTO Express (Cayman) Inc. American Depositary Shares, each representing one Class A ordinary share.",Industrials,Integrated Freight & Logistics
TSX,AGF.B,AGF Management Limited,Financial Services,Asset Management
NASDAQ,NXGN,"NextGen Healthcare, Inc. - Common Stock",Healthcare,Health Information Services
NASDAQ,III,"Information Services Group, Inc. - Common Stock",Technology,Information Technology Services
NYSE,FSR,Fisker Inc. Class A Common Stock,Consumer Cyclical,Auto Manufacturers
NYSE,RFP,Resolute Forest Products Inc. Common Stock,,
NYSE,PRM,"Perimeter Solutions, SA Ordinary Shares",,
NYSE,ORCL,Oracle Corporation Common Stock,Technology,Software - Infrastructure
NYSE,CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",Communication Services,Entertainment
NASDAQ,DSEY,"Diversey Holdings, Ltd. - Ordinary Shares",,
NASDAQ,SCVL,"Shoe Carnival, Inc. - Common Stock",Consumer Cyclical,Apparel Retail
NYSE,APRN,"Blue Apron Holdings, Inc. Class A Common Stock",,
AMEX,KULR,"KULR Technology Group, Inc. Common Stock",Technology,Electronic Components
TSX,GATO,"Gatos Silver, Inc.",Basic Materials,Other Precious Metals & Mining
NASDAQ,CPRX,"Catalyst Pharmaceuticals, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,NRP,Natural Resource Partners LP Limited Partnership,Energy,Thermal Coal
NASDAQ,ORLY,"O'Reilly Automotive, Inc. - Common Stock",Consumer Cyclical,Specialty Retail
NASDAQ,GOVX,"GeoVax Labs, Inc. - Common Stock",Healthcare,Biotechnology
NYSE,UNVR,Univar Solutions Inc. Common Stock,,
NASDAQ,SYNH,"Syneos Health, Inc. - Class A Common Stock",,
NASDAQ,CSX,CSX Corporation - Common Stock,Industrials,Railroads
NASDAQ,INSE,"Inspired Entertainment, Inc. - Common Stock",Consumer Cyclical,Gambling
NYSE,RNR,RenaissanceRe Holdings Ltd. Common Stock,Financial Services,Insurance - Reinsurance
TSX,ATH,Athabasca Oil Corporation,,
NYSE,DRQ,"Dril-Quip, Inc. Common Stock",Energy,Oil & Gas Equipment & Services
OTC,TKOI,Telkonet Inc,,
NASDAQ,LMAT,"LeMaitre Vascular, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,DCO,Ducommun Incorporated Common Stock,Industrials,Aerospace & Defense
NASDAQ,BLBD,Blue Bird Corporation - Common Stock,Industrials,Farm & Heavy Construction Machinery
NASDAQ,POWL,"Powell Industries, Inc. - Common Stock",Industrials,Electrical Equipment & Parts
NYSE,GPC,Genuine Parts Company Common Stock,Consumer Cyclical,Auto Parts
TSX,DBM,Doman Building Materials Group Ltd.,Industrials,Industrial Distribution
NYSE,CRL,"Charles River Laboratories International, Inc. Common Stock",Healthcare,Diagnostics & Research
NYSE,LYV,"Live Nation Entertainment, Inc. Common Stock",Communication Services,Entertainment
NYSE,INVH,Invitation Homes Inc. Common Stock,Real Estate,REIT - Residential
NYSE,RS,"Reliance, Inc. Common Stock",Basic Materials,Steel
NASDAQ,CODX,"Co-Diagnostics, Inc. - Common Stock",Healthcare,Medical Devices
NASDAQ,FORTY,Formula Systems (1985) Ltd.,,
NYSE,CYH,"Community Health Systems, Inc. Common Stock",Healthcare,Medical Care Facilities
NASDAQ,AVT,"Avnet, Inc. - Common Stock",Technology,Electronics & Computer Distribution
NYSE,CDE,"Coeur Mining, Inc. Common Stock",Basic Materials,Gold
NASDAQ,KLIC,"Kulicke and Soffa Industries, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials
NYSE,AGS,"PlayAGS, Inc. Common Stock",Consumer Cyclical,Gambling
NASDAQ,DUOL,"Duolingo, Inc. - Class A Common Stock",Technology,Software - Application
NASDAQ,BRAG,Bragg Gaming Group Inc. - Common Shares,Consumer Cyclical,Gambling
NASDAQ,ATRC,"AtriCure, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NYSE,ELF,"e.l.f. Beauty, Inc. Common Stock",Consumer Defensive,Household & Personal Products
NASDAQ,RGF,"The Real Good Food Company, Inc. - Class A Common Stock",Consumer Defensive,Packaged Foods
NASDAQ,XNET,Xunlei Limited - American Depositary Shares,Technology,Software - Infrastructure
NASDAQ,SDIG,"Stronghold Digital Mining, Inc. - Class A Common Stock",Financial Services,Capital Markets
NYSE,CLR,"Continental Resources, Inc. Common Stock",,
NASDAQ,YQ,17 Education & Technology Group Inc. - American Depositary Shares,Consumer Defensive,Education & Training Services
NYSE,CAAP,Corporacion America Airports SA Common Shares,Industrials,Airports & Air Services
NYSE,ACEL,"Accel Entertainment, Inc. ",Consumer Cyclical,Gambling
NASDAQ,MQ,"Marqeta, Inc. - Class A Common Stock",Technology,Software - Infrastructure
NASDAQ,BBBY,Bed Bath & Beyond Inc. - Common Stock,,
NYSE,BEST,"BEST Inc. American Depositary Shares, each representing twenty (20) Class A Ordinary Shares",Industrials,Trucking
NYSE,LEV,The Lion Electric Company Common Shares,Industrials,Farm & Heavy Construction Machinery
NYSE,HP,"Helmerich & Payne, Inc. Common Stock",Energy,Oil & Gas Drilling
NYSE,TNET,"TriNet Group, Inc. Common Stock",Industrials,Staffing & Employment Services
NYSE,BRC,Brady Corporation Common Stock,Industrials,Security & Protection Services
NASDAQ,ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology,Semiconductor Equipment & Materials
NYSE,SYK,Stryker Corporation Common Stock,Healthcare,Medical Devices
NASDAQ,SNBR,Sleep Number Corporation - Common Stock,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
NYSE,CLF,Cleveland-Cliffs Inc. Common Stock,Basic Materials,Steel
NYSE,CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,Energy,Oil & Gas Refining & Marketing
NYSE,TRTN,Triton International Limited Common Shares,,
NASDAQ,LTRN,Lantern Pharma Inc. - Common Stock,Healthcare,Biotechnology
NYSE,FAF,First American Corporation (New) Common Stock,Financial Services,Insurance - Specialty
NYSE,BKD,Brookdale Senior Living Inc. Common Stock,Healthcare,Medical Care Facilities
NASDAQ,OSUR,"OraSure Technologies, Inc. - Common Stock",Healthcare,Medical Instruments & Supplies
NASDAQ,ALKT,"Alkami Technology, Inc. - Common Stock",Technology,Software - Application
NASDAQ,BRKL,"Brookline Bancorp, Inc. - Common Stock",Financial Services,Banks - Regional
AMEX,TGB,"Taseko Mines, Ltd. Common Stock",Basic Materials,Copper
NYSE,TX,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)",Basic Materials,Steel
NYSE,GD,General Dynamics Corporation Common Stock,Industrials,Aerospace & Defense
NASDAQ,ECOL,"US Ecology, Inc.",,
NASDAQ,WRLD,World Acceptance Corporation - Common Stock,Financial Services,Credit Services
NYSE,MCB,Metropolitan Bank Holding Corp. Common Stock,Financial Services,Banks - Regional
NASDAQ,OCSL,Oaktree Specialty Lending Corporation - Closed End Fund,Financial Services,Asset Management
NASDAQ,ASTR,"Astra Space, Inc. - Class A Common Stock",Industrials,Aerospace & Defense
NASDAQ,KC,Kingsoft Cloud Holdings Limited - American Depositary Shares,Technology,Software - Application
NYSE,BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",Healthcare,Medical Devices
NASDAQ,ADSK,"Autodesk, Inc. - Common Stock",Technology,Software - Application
NASDAQ,MOFG,"MidWestOne Financial Group, Inc. - Common Stock",Financial Services,Banks - Regional
NYSE,FSM,Fortuna Mining Corp. Common Shares,Basic Materials,Gold
NYSE,CTT,"CatchMark Timber Trust, Inc. Class A Common Stock",,
NASDAQ,IOSP,Innospec Inc. - Common Stock,Basic Materials,Specialty Chemicals
NYSE,SRE,DBA Sempra Common Stock,Utilities,Utilities - Diversified
NASDAQ,GNLN,"Greenlane Holdings, Inc. - Class A Common Stock",Consumer Defensive,Tobacco
NASDAQ,AFMD,Affimed N.V. - Common Stock,Healthcare,Biotechnology
NYSE,JBT,John Bean Technologies Corporation Common Stock,Industrials,Specialty Industrial Machinery
NASDAQ,FRBK,"Republic First Bancorp, Inc.",,
NASDAQ,CHK,Chesapeake Energy Corporation - Common Stock,Energy,Oil & Gas E&P
TSX,FRII,Freshii Inc.,,
NYSE,CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),Utilities,Utilities - Regulated Electric
NASDAQ,QLGN,"Qualigen Therapeutics, Inc.",,
NYSE,NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,Real Estate,REIT - Industrial
NYSE,L,Loews Corporation Common Stock,,
NASDAQ,TSLA,"Tesla, Inc.  - Common Stock",Consumer Cyclical,Auto Manufacturers
NASDAQ,CDNS,"Cadence Design Systems, Inc. - Common Stock",Technology,Software - Application
NYSE,VSTO,Vista Outdoor Inc. Common Stock,Consumer Cyclical,Leisure
TSXV,ROOF,Northstar Clean Technologies Inc.,Industrials,Waste Management
NASDAQ,SSSS,SuRo Capital Corp. - Closed End Fund,Financial Services,Asset Management
NASDAQ,VG,Vonage Holdings Corp. - Common Stock,,
NYSE,MMM,3M Company Common Stock,Industrials,Conglomerates
NYSE,MBAC,M3-Brigade Acquisition II Corp. Class A,,
NYSE,ACC,American Campus Communities Inc Common Stock,,
NASDAQ,NLOK,NortonLifeLock Inc. - Common Stock,,
NYSE,BDN,Brandywine Realty Trust Common Stock,Real Estate,REIT - Office
NASDAQ,ENJY,"Enjoy Technology, Inc. - Common Stock",,
NYSE,CW,Curtiss-Wright Corporation Common Stock,Industrials,Aerospace & Defense
NASDAQ,HBAN,Huntington Bancshares Incorporated - Common Stock,Financial Services,Banks - Regional
NYSE,FIX,"Comfort Systems USA, Inc. Common Stock",Industrials,Engineering & Construction
NASDAQ,UK,Ucommune International Ltd ,,
NASDAQ,CHX,ChampionX Corporation - Common Stock,Energy,Oil & Gas Equipment & Services
NASDAQ,SEVN,Seven Hills Realty Trust  - Common Stock,Real Estate,REIT - Mortgage
NASDAQ,AXDX,"Accelerate Diagnostics, Inc. - Common Stock",Healthcare,Medical Devices
NYSE,DKL,"Delek Logistics Partners, L.P. Common Units representing Limited Partner Interests",Energy,Oil & Gas Refining & Marketing
NYSE,MEI,"Methode Electronics, Inc. Common Stock",Technology,Electronic Components
NYSE,TRTX,"TPG RE Finance Trust, Inc. Common Stock",Real Estate,REIT - Mortgage
NYSE,ATO,Atmos Energy Corporation Common Stock,Utilities,Utilities - Regulated Gas
NASDAQ,SYBX,"Synlogic, Inc. - Common Stock",,
NYSE,NAPA,"The Duckhorn Portfolio, Inc. Common Stock",Consumer Defensive,Beverages - Wineries & Distilleries
NASDAQ,OFIX,Orthofix Medical Inc.  - Common Stock,Healthcare,Medical Devices
NYSE,FNA,"Paragon 28, Inc. Common Stock",Healthcare,Medical Devices
NYSE,DSX,Diana Shipping inc. common stock,Industrials,Marine Shipping
OTC,BMNM,Bimini Capital Mgmt Inc A,Financial Services,Asset Management
NYSE,CSTM,Constellium SE Ordinary Shares (France),Basic Materials,Aluminum
TSX,MG,Magna International Inc.,,
