rank,driver,group,news_mentions,pct_of_company_mentions,compound_id
44,Product pricing — cut,products-services,42,0.5,"business,products-services,product-pricing,cut,"
45,Product discontinued,products-services,38,0.5,"business,products-services,product-discontinued,,"
46,Regulatory product approval — granted,products-services,36,0.4,"business,products-services,regulatory-product-approval,granted,"
47,Ownership — decrease,equity-actions,33,0.4,"business,equity-actions,ownership,decrease,"
48,Analyst ratings change — negative,analyst-ratings,33,0.4,"business,analyst-ratings,analyst-ratings-change,negative,"
49,Ownership — increase,equity-actions,33,0.4,"business,equity-actions,ownership,increase,"
50,Capex,equity-actions,33,0.4,"business,equity-actions,capex,,"
51,Expenses — charge,equity-actions,31,0.4,"business,equity-actions,expenses,charge,"
52,Revenue — below expectations,revenues,31,0.4,"business,revenues,revenue,below-expectations,"
53,Earnings guidance,earnings,30,0.4,"business,earnings,earnings-guidance,,"
54,Price target — upgrade,price-targets,28,0.3,"business,price-targets,price-target,upgrade,"
55,Earnings expectations — below expectations,earnings,28,0.3,"business,earnings,earnings-expectations,below-expectations,"
56,Company for sale,acquisitions-mergers,27,0.3,"business,acquisitions-mergers,company-for-sale,,"
57,Commodity assets — buy,assets,27,0.3,"business,assets,commodity-assets,buy,"
58,Index listing,indexes,27,0.3,"business,indexes,index-listing,,"
59,Dividend,dividends,27,0.3,"business,dividends,dividend,,"
60,Product shortage,products-services,27,0.3,"business,products-services,product-shortage,,"
61,Revenue guidance — down,revenues,26,0.3,"business,revenues,revenue-guidance,down,"
62,Stock price,stock-prices,26,0.3,"business,stock-prices,stock-price,,"
63,Stake — interest,acquisitions-mergers,25,0.3,"business,acquisitions-mergers,stake,interest,"
64,Supply guidance — decrease,products-services,24,0.3,"business,products-services,supply-guidance,decrease,"
65,Product enhancement,products-services,24,0.3,"business,products-services,product-enhancement,,"
66,Revenue guidance,revenues,23,0.3,"business,revenues,revenue-guidance,,"
67,Demand,products-services,23,0.3,"business,products-services,demand,,"
68,Product release — delayed,products-services,23,0.3,"business,products-services,product-release,delayed,"
69,Fundraising,equity-actions,22,0.3,"business,equity-actions,fundraising,,"
70,Regulatory product approval — denied,products-services,20,0.2,"business,products-services,regulatory-product-approval,denied,"
71,Demand guidance — increase,products-services,20,0.2,"business,products-services,demand-guidance,increase,"
72,Expenses — up,equity-actions,20,0.2,"business,equity-actions,expenses,up,"
73,Demand — decrease,products-services,19,0.2,"business,products-services,demand,decrease,"
74,Product outage,products-services,18,0.2,"business,products-services,product-outage,,"
75,Conference call,investor-relations,18,0.2,"business,investor-relations,conference-call,,"
76,Acquisition — completed,acquisitions-mergers,18,0.2,"business,acquisitions-mergers,acquisition,completed,"
77,Revenue volume — up,revenues,18,0.2,"business,revenues,revenue-volume,up,"
78,Product pricing,products-services,17,0.2,"business,products-services,product-pricing,,"
79,Revenue — above expectations,revenues,17,0.2,"business,revenues,revenue,above-expectations,"
80,Supply guidance,products-services,16,0.2,"business,products-services,supply-guidance,,"
81,Merger — interest,acquisitions-mergers,15,0.2,"business,acquisitions-mergers,merger,interest,"
82,Factory accident,industrial-accidents,15,0.2,"business,industrial-accidents,factory-accident,,"
83,Market share,products-services,15,0.2,"business,products-services,market-share,,"
84,Hirings,labor-issues,14,0.2,"business,labor-issues,hirings,,"
85,Asset — sale,assets,14,0.2,"business,assets,asset,sale,"
86,Earnings — negative,earnings,14,0.2,"business,earnings,earnings,negative,"
87,Revenue guidance — below expectations,revenues,14,0.2,"business,revenues,revenue-guidance,below-expectations,"
88,Facility — relocation,assets,13,0.2,"business,assets,facility,relocation,"
89,Analyst ratings change — positive,analyst-ratings,13,0.2,"business,analyst-ratings,analyst-ratings-change,positive,"
90,Public offering,equity-actions,12,0.1,"business,equity-actions,public-offering,,"
91,Expenses guidance,equity-actions,12,0.1,"business,equity-actions,expenses-guidance,,"
92,Competition,products-services,12,0.1,"business,products-services,competition,,"
93,Earnings per share — positive,earnings,11,0.1,"business,earnings,earnings-per-share,positive,"
94,Analyst ratings change — neutral,analyst-ratings,11,0.1,"business,analyst-ratings,analyst-ratings-change,neutral,"
95,Acquisition — failed,acquisitions-mergers,11,0.1,"business,acquisitions-mergers,acquisition,failed,"
96,Index value,indexes,11,0.1,"business,indexes,index-value,,"
97,Facility — sale,assets,11,0.1,"business,assets,facility,sale,"
98,Facility — upgrade,assets,11,0.1,"business,assets,facility,upgrade,"
99,Debt acquisition,credit,11,0.1,"business,credit,debt-acquisition,,"
100,Demand — unchanged,products-services,11,0.1,"business,products-services,demand,unchanged,"
101,Product recall,products-services,10,0.1,"business,products-services,product-recall,,"
102,Joint venture,partnerships,10,0.1,"business,partnerships,joint-venture,,"
103,Supply chain upgrade,products-services,10,0.1,"business,products-services,supply-chain-upgrade,,"
104,Capex — up,equity-actions,10,0.1,"business,equity-actions,capex,up,"
105,Business contract — terminated,products-services,9,0.1,"business,products-services,business-contract,terminated,"
106,Product resumed,products-services,9,0.1,"business,products-services,product-resumed,,"
107,Executive firing,labor-issues,9,0.1,"business,labor-issues,executive-firing,,"
108,Going private,equity-actions,9,0.1,"business,equity-actions,going-private,,"
109,Expenses guidance — down,equity-actions,9,0.1,"business,equity-actions,expenses-guidance,down,"
110,Trading — listing,equity-actions,9,0.1,"business,equity-actions,trading,listing,"
111,Market share — loss,products-services,9,0.1,"business,products-services,market-share,loss,"
112,Acquisition bid — increase,acquisitions-mergers,9,0.1,"business,acquisitions-mergers,acquisition-bid,increase,"
113,Initial public offering,equity-actions,9,0.1,"business,equity-actions,initial-public-offering,,"
114,Acquisition regulation — approval,acquisitions-mergers,9,0.1,"business,acquisitions-mergers,acquisition-regulation,approval,"
115,Revenue volume,revenues,8,0.1,"business,revenues,revenue-volume,,"
116,Project abandoned,products-services,8,0.1,"business,products-services,project-abandoned,,"
117,Expenses — down,equity-actions,8,0.1,"business,equity-actions,expenses,down,"
118,Spin off,equity-actions,8,0.1,"business,equity-actions,spin-off,,"
119,Earnings guidance — suspended,earnings,8,0.1,"business,earnings,earnings-guidance,suspended,"
120,Buybacks,equity-actions,8,0.1,"business,equity-actions,buybacks,,"
121,Revenue volume — down,revenues,7,0.1,"business,revenues,revenue-volume,down,"
122,Acquisition bid — rejected,acquisitions-mergers,7,0.1,"business,acquisitions-mergers,acquisition-bid,rejected,"
123,Grant,products-services,7,0.1,"business,products-services,grant,,"
124,Acquisition — opposition,acquisitions-mergers,7,0.1,"business,acquisitions-mergers,acquisition,opposition,"
125,Business operations disrupted,business-operations,6,0.1,"business,business-operations,business-operations-disrupted,,"
126,Insider buy,insider-trading,6,0.1,"business,insider-trading,insider-buy,,"
127,Facility accident,industrial-accidents,6,0.1,"business,industrial-accidents,facility-accident,,"
128,Resource discovery,exploration,6,0.1,"business,exploration,resource-discovery,,"
129,Government contract — terminated,products-services,6,0.1,"business,products-services,government-contract,terminated,"
130,Merger regulation — approval,acquisitions-mergers,6,0.1,"business,acquisitions-mergers,merger-regulation,approval,"
131,Business operations resumed,business-operations,6,0.1,"business,business-operations,business-operations-resumed,,"
132,Board member appointment,labor-issues,6,0.1,"business,labor-issues,board-member-appointment,,"
133,Market entry,products-services,6,0.1,"business,products-services,market-entry,,"
134,Earnings per share guidance,earnings,6,0.1,"business,earnings,earnings-per-share-guidance,,"
135,Earnings per share guidance — down,earnings,6,0.1,"business,earnings,earnings-per-share-guidance,down,"
136,Analyst ratings set — positive,analyst-ratings,6,0.1,"business,analyst-ratings,analyst-ratings-set,positive,"
137,Earnings per share expectations — above expectations,earnings,6,0.1,"business,earnings,earnings-per-share-expectations,above-expectations,"
138,Supply — delayed,products-services,6,0.1,"business,products-services,supply,delayed,"
139,Initial public offering — considered,equity-actions,6,0.1,"business,equity-actions,initial-public-offering,considered,"
140,Expenses guidance — up,equity-actions,5,0.1,"business,equity-actions,expenses-guidance,up,"
141,Commodity futures — gain,commodity-prices,5,0.1,"business,commodity-prices,commodity-futures,gain,"
142,Order backlog,products-services,5,0.1,"business,products-services,order-backlog,,"
143,Stock pick — buy,stock-picks,5,0.1,"business,stock-picks,stock-pick,buy,"
144,Bankruptcy,bankruptcy,5,0.1,"business,bankruptcy,bankruptcy,,"
145,Dividend — up,dividends,5,0.1,"business,dividends,dividend,up,"
146,Reorganization,equity-actions,5,0.1,"business,equity-actions,reorganization,,"
147,Expenses,equity-actions,5,0.1,"business,equity-actions,expenses,,"
148,Debt sale,credit,5,0.1,"business,credit,debt-sale,,"
149,Pretax earnings — down,earnings,5,0.1,"business,earnings,pretax-earnings,down,"
150,Price target — downgrade,price-targets,5,0.1,"business,price-targets,price-target,downgrade,"
151,Market guidance — up,products-services,5,0.1,"business,products-services,market-guidance,up,"
152,Market capitalization,stock-prices,4,0.0,"business,stock-prices,market-capitalization,,"
153,Analyst ratings coverage — initiated,analyst-ratings,4,0.0,"business,analyst-ratings,analyst-ratings-coverage,initiated,"
154,Acquisition — rumor,acquisitions-mergers,4,0.0,"business,acquisitions-mergers,acquisition,rumor,"
155,Asset — up,assets,4,0.0,"business,assets,asset,up,"
156,Acquisition regulation — scrutiny,acquisitions-mergers,4,0.0,"business,acquisitions-mergers,acquisition-regulation,scrutiny,"
157,Earnings per share guidance — up,earnings,4,0.0,"business,earnings,earnings-per-share-guidance,up,"
158,Ownership,equity-actions,4,0.0,"business,equity-actions,ownership,,"
159,Patent — revoked,assets,4,0.0,"business,assets,patent,revoked,"
160,Merger regulation — approval denied,acquisitions-mergers,4,0.0,"business,acquisitions-mergers,merger-regulation,approval-denied,"
161,Insider sell,insider-trading,4,0.0,"business,insider-trading,insider-sell,,"
162,Buybacks — approved,equity-actions,4,0.0,"business,equity-actions,buybacks,approved,"
163,Going private — considered,equity-actions,4,0.0,"business,equity-actions,going-private,considered,"
164,Going private — approved,equity-actions,4,0.0,"business,equity-actions,going-private,approved,"
165,Earnings per share — up,earnings,4,0.0,"business,earnings,earnings-per-share,up,"
166,Acquisition regulation — approval denied,acquisitions-mergers,3,0.0,"business,acquisitions-mergers,acquisition-regulation,approval-denied,"
167,Earnings per share — negative,earnings,3,0.0,"business,earnings,earnings-per-share,negative,"
168,Merger — approved,acquisitions-mergers,3,0.0,"business,acquisitions-mergers,merger,approved,"
169,Earnings guidance expectations — above expectations,earnings,3,0.0,"business,earnings,earnings-guidance-expectations,above-expectations,"
170,Press conference,marketing,3,0.0,"business,marketing,press-conference,,"
171,Demand — above expectations,products-services,3,0.0,"business,products-services,demand,above-expectations,"
172,Earnings guidance — unchanged,earnings,3,0.0,"business,earnings,earnings-guidance,unchanged,"
173,Demand guidance — decrease,products-services,3,0.0,"business,products-services,demand-guidance,decrease,"
174,Revenue guidance — above expectations,revenues,3,0.0,"business,revenues,revenue-guidance,above-expectations,"
175,Savings guidance,equity-actions,3,0.0,"business,equity-actions,savings-guidance,,"
176,Clinical trials — positive,products-services,3,0.0,"business,products-services,clinical-trials,positive,"
177,Product support — discontinued,products-services,3,0.0,"business,products-services,product-support,discontinued,"
178,Project resumed,products-services,3,0.0,"business,products-services,project-resumed,,"
179,Project regulation — halt,products-services,3,0.0,"business,products-services,project-regulation,halt,"
180,Market capitalization — up,stock-prices,3,0.0,"business,stock-prices,market-capitalization,up,"
181,Earnings per share,earnings,3,0.0,"business,earnings,earnings-per-share,,"
182,Buybacks — extended,equity-actions,3,0.0,"business,equity-actions,buybacks,extended,"
183,Dividend — down,dividends,3,0.0,"business,dividends,dividend,down,"
184,Partnership — terminated,partnerships,3,0.0,"business,partnerships,partnership,terminated,"
185,Business contract — extended,products-services,3,0.0,"business,products-services,business-contract,extended,"
186,Mine accident,industrial-accidents,2,0.0,"business,industrial-accidents,mine-accident,,"
187,Acquisition — rumor denied,acquisitions-mergers,2,0.0,"business,acquisitions-mergers,acquisition,rumor-denied,"
188,Drilling,exploration,2,0.0,"business,exploration,drilling,,"
189,Conference,marketing,2,0.0,"business,marketing,conference,,"
190,Workers strike,labor-issues,2,0.0,"business,labor-issues,workers-strike,,"
191,Board member resignation,labor-issues,2,0.0,"business,labor-issues,board-member-resignation,,"
192,Commodity price — unchanged,commodity-prices,2,0.0,"business,commodity-prices,commodity-price,unchanged,"
193,Regulatory investigation — completed,regulatory,2,0.0,"business,regulatory,regulatory-investigation,completed,"
194,Regulatory product application,products-services,2,0.0,"business,products-services,regulatory-product-application,,"
195,Earnings per share — down,earnings,2,0.0,"business,earnings,earnings-per-share,down,"
196,New drug regulation — approval granted,products-services,2,0.0,"business,products-services,new-drug-regulation,approval-granted,"
197,Operating earnings — negative,earnings,2,0.0,"business,earnings,operating-earnings,negative,"
198,Business contract — terminated interest,products-services,2,0.0,"business,products-services,business-contract,terminated-interest,"
199,Resource processing,exploration,2,0.0,"business,exploration,resource-processing,,"
200,Product promotion,marketing,2,0.0,"business,marketing,product-promotion,,"
201,Operating earnings — positive,earnings,2,0.0,"business,earnings,operating-earnings,positive,"
202,Merger — rumor,acquisitions-mergers,2,0.0,"business,acquisitions-mergers,merger,rumor,"
203,Earnings — unchanged,earnings,2,0.0,"business,earnings,earnings,unchanged,"
204,Capital increase,equity-actions,2,0.0,"business,equity-actions,capital-increase,,"
205,Initial public offering price,equity-actions,2,0.0,"business,equity-actions,initial-public-offering-price,,"
206,Joint venture — terminated,partnerships,2,0.0,"business,partnerships,joint-venture,terminated,"
207,Shareholders meeting,investor-relations,2,0.0,"business,investor-relations,shareholders-meeting,,"
208,Spin off — rumor,equity-actions,2,0.0,"business,equity-actions,spin-off,rumor,"
209,Operating margin,revenues,2,0.0,"business,revenues,operating-margin,,"
210,Headquarters change,assets,2,0.0,"business,assets,headquarters-change,,"
211,Commodity assets — sell,assets,2,0.0,"business,assets,commodity-assets,sell,"
212,Revenue guidance — unchanged,revenues,2,0.0,"business,revenues,revenue-guidance,unchanged,"
213,Operating earnings,earnings,2,0.0,"business,earnings,operating-earnings,,"
214,Furlough,labor-issues,2,0.0,"business,labor-issues,furlough,,"
215,Market share guidance — gain,products-services,2,0.0,"business,products-services,market-share-guidance,gain,"
216,Board meeting,investor-relations,2,0.0,"business,investor-relations,board-meeting,,"
217,Index delisting,indexes,2,0.0,"business,indexes,index-delisting,,"
218,Same store sales — up,revenues,2,0.0,"business,revenues,same-store-sales,up,"
219,Aircraft accident,industrial-accidents,2,0.0,"business,industrial-accidents,aircraft-accident,,"
220,Earnings revision,earnings,2,0.0,"business,earnings,earnings-revision,,"
221,Supply chain disruption — warning,products-services,2,0.0,"business,products-services,supply-chain-disruption,warning,"
222,Product review — comparison,products-services,2,0.0,"business,products-services,product-review,comparison,"
223,Revenue estimate,revenues,2,0.0,"business,revenues,revenue-estimate,,"
224,Workforce salary — increase,labor-issues,2,0.0,"business,labor-issues,workforce-salary,increase,"
225,Analyst ratings set — neutral,analyst-ratings,1,0.0,"business,analyst-ratings,analyst-ratings-set,neutral,"
226,Operating earnings expectations — below expectations,earnings,1,0.0,"business,earnings,operating-earnings-expectations,below-expectations,"
227,Price target — unchanged,price-targets,1,0.0,"business,price-targets,price-target,unchanged,"
228,Earnings estimate,earnings,1,0.0,"business,earnings,earnings-estimate,,"
229,Buybacks — suspended,equity-actions,1,0.0,"business,equity-actions,buybacks,suspended,"
230,Business contract — terms change,products-services,1,0.0,"business,products-services,business-contract,terms-change,"
231,Index value — unchanged,indexes,1,0.0,"business,indexes,index-value,unchanged,"
232,Spin off regulation — approval,equity-actions,1,0.0,"business,equity-actions,spin-off-regulation,approval,"
233,Campaign ad — retired,marketing,1,0.0,"business,marketing,campaign-ad,retired,"
234,Asset — down,assets,1,0.0,"business,assets,asset,down,"
235,Investor day,investor-relations,1,0.0,"business,investor-relations,investor-day,,"
236,Board member retirement,labor-issues,1,0.0,"business,labor-issues,board-member-retirement,,"
237,Bankruptcy — exit,bankruptcy,1,0.0,"business,bankruptcy,bankruptcy,exit,"
238,Supply — unchanged,products-services,1,0.0,"business,products-services,supply,unchanged,"
239,Business contract — interest,products-services,1,0.0,"business,products-services,business-contract,interest,"
240,Earnings expectations — meet expectations,earnings,1,0.0,"business,earnings,earnings-expectations,meet-expectations,"
241,Capex — down,equity-actions,1,0.0,"business,equity-actions,capex,down,"
242,Commodity price volatility,commodity-prices,1,0.0,"business,commodity-prices,commodity-price-volatility,,"
243,Same store sales,revenues,1,0.0,"business,revenues,same-store-sales,,"
244,Market exit,products-services,1,0.0,"business,products-services,market-exit,,"
245,Debt sale — considered,credit,1,0.0,"business,credit,debt-sale,considered,"
246,Credit rating watch — negative,credit-ratings,1,0.0,"business,credit-ratings,credit-rating-watch,negative,"
247,Credit rating change — set,credit-ratings,1,0.0,"business,credit-ratings,credit-rating-change,set,"
248,Automobile accident,industrial-accidents,1,0.0,"business,industrial-accidents,automobile-accident,,"
249,Commodity futures — loss,commodity-prices,1,0.0,"business,commodity-prices,commodity-futures,loss,"
250,Demand guidance,products-services,1,0.0,"business,products-services,demand-guidance,,"
251,Debt restructuring,credit,1,0.0,"business,credit,debt-restructuring,,"
252,Accelerated approval designation,products-services,1,0.0,"business,products-services,accelerated-approval-designation,,"
253,Savings,equity-actions,1,0.0,"business,equity-actions,savings,,"
254,Merger regulation — scrutiny,acquisitions-mergers,1,0.0,"business,acquisitions-mergers,merger-regulation,scrutiny,"
255,Trading — delisting,equity-actions,1,0.0,"business,equity-actions,trading,delisting,"
256,Debt,credit,1,0.0,"business,credit,debt,,"
257,Corporate lobbying,lobbying,1,0.0,"business,lobbying,corporate-lobbying,,"
258,Operating earnings expectations — meet expectations,earnings,1,0.0,"business,earnings,operating-earnings-expectations,meet-expectations,"
259,Debt — reduction,credit,1,0.0,"business,credit,debt,reduction,"
260,Debt — increase,credit,1,0.0,"business,credit,debt,increase,"
261,Executive health,labor-issues,1,0.0,"business,labor-issues,executive-health,,"
262,Operating earnings — down,earnings,1,0.0,"business,earnings,operating-earnings,down,"
263,Credit extension,credit,1,0.0,"business,credit,credit-extension,,"
264,Loan loss provision,provisions,1,0.0,"business,provisions,loan-loss-provision,,"
265,Bankruptcy — fears,bankruptcy,1,0.0,"business,bankruptcy,bankruptcy,fears,"
266,Loan,credit,1,0.0,"business,credit,loan,,"
267,Campaign ad — release,marketing,1,0.0,"business,marketing,campaign-ad,release,"
268,Executive retirement,labor-issues,1,0.0,"business,labor-issues,executive-retirement,,"
269,Dividend guidance — down,dividends,1,0.0,"business,dividends,dividend-guidance,down,"
270,Trading — halt,equity-actions,1,0.0,"business,equity-actions,trading,halt,"
271,Breakthrough therapy designation,products-services,1,0.0,"business,products-services,breakthrough-therapy-designation,,"
272,Rights issue,equity-actions,1,0.0,"business,equity-actions,rights-issue,,"
273,Power outage,industrial-accidents,1,0.0,"business,industrial-accidents,power-outage,,"
274,Earnings per share expectations — below expectations,earnings,1,0.0,"business,earnings,earnings-per-share-expectations,below-expectations,"
275,Emergency use authorization application,products-services,1,0.0,"business,products-services,emergency-use-authorization-application,,"
276,Operating earnings — up,earnings,1,0.0,"business,earnings,operating-earnings,up,"
277,Demand guidance — unchanged,products-services,1,0.0,"business,products-services,demand-guidance,unchanged,"
