vintage,topic,group,type,sub_type,compound_id
CURRENT-bigdata,business,earnings,earnings,,"business,earnings,earnings,,"
CURRENT-bigdata,business,earnings,earnings,down,"business,earnings,earnings,down,"
CURRENT-bigdata,business,earnings,earnings,negative,"business,earnings,earnings,negative,"
CURRENT-bigdata,business,earnings,earnings,positive,"business,earnings,earnings,positive,"
CURRENT-bigdata,business,earnings,earnings,unchanged,"business,earnings,earnings,unchanged,"
CURRENT-bigdata,business,earnings,earnings,up,"business,earnings,earnings,up,"
CURRENT-bigdata,business,earnings,earnings-estimate,,"business,earnings,earnings-estimate,,"
CURRENT-bigdata,business,earnings,earnings-expectations,above-expectations,"business,earnings,earnings-expectations,above-expectations,"
CURRENT-bigdata,business,earnings,earnings-expectations,below-expectations,"business,earnings,earnings-expectations,below-expectations,"
CURRENT-bigdata,business,earnings,earnings-expectations,meet-expectations,"business,earnings,earnings-expectations,meet-expectations,"
CURRENT-bigdata,business,earnings,earnings-guidance,,"business,earnings,earnings-guidance,,"
CURRENT-bigdata,business,earnings,earnings-guidance,down,"business,earnings,earnings-guidance,down,"
CURRENT-bigdata,business,earnings,earnings-guidance,suspended,"business,earnings,earnings-guidance,suspended,"
CURRENT-bigdata,business,earnings,earnings-guidance,unchanged,"business,earnings,earnings-guidance,unchanged,"
CURRENT-bigdata,business,earnings,earnings-guidance,up,"business,earnings,earnings-guidance,up,"
CURRENT-bigdata,business,earnings,earnings-guidance-expectations,above-expectations,"business,earnings,earnings-guidance-expectations,above-expectations,"
CURRENT-bigdata,business,earnings,earnings-guidance-expectations,below-expectations,"business,earnings,earnings-guidance-expectations,below-expectations,"
CURRENT-bigdata,business,earnings,earnings-per-share,,"business,earnings,earnings-per-share,,"
CURRENT-bigdata,business,earnings,earnings-per-share,down,"business,earnings,earnings-per-share,down,"
CURRENT-bigdata,business,earnings,earnings-per-share,negative,"business,earnings,earnings-per-share,negative,"
CURRENT-bigdata,business,earnings,earnings-per-share,positive,"business,earnings,earnings-per-share,positive,"
CURRENT-bigdata,business,earnings,earnings-per-share,up,"business,earnings,earnings-per-share,up,"
CURRENT-bigdata,business,earnings,earnings-per-share-estimate,,"business,earnings,earnings-per-share-estimate,,"
CURRENT-bigdata,business,earnings,earnings-per-share-expectations,above-expectations,"business,earnings,earnings-per-share-expectations,above-expectations,"
CURRENT-bigdata,business,earnings,earnings-per-share-expectations,below-expectations,"business,earnings,earnings-per-share-expectations,below-expectations,"
CURRENT-bigdata,business,earnings,earnings-per-share-guidance,,"business,earnings,earnings-per-share-guidance,,"
CURRENT-bigdata,business,earnings,earnings-per-share-guidance,down,"business,earnings,earnings-per-share-guidance,down,"
CURRENT-bigdata,business,earnings,earnings-per-share-guidance,up,"business,earnings,earnings-per-share-guidance,up,"
CURRENT-bigdata,business,earnings,earnings-revision,,"business,earnings,earnings-revision,,"
CURRENT-bigdata,business,earnings,ebitda,,"business,earnings,ebitda,,"
CURRENT-bigdata,business,earnings,ebitda,down,"business,earnings,ebitda,down,"
CURRENT-bigdata,business,earnings,ebitda,up,"business,earnings,ebitda,up,"
CURRENT-bigdata,business,earnings,ebitda-guidance,down,"business,earnings,ebitda-guidance,down,"
CURRENT-bigdata,business,earnings,interest-income,down,"business,earnings,interest-income,down,"
CURRENT-bigdata,business,earnings,operating-earnings,,"business,earnings,operating-earnings,,"
CURRENT-bigdata,business,earnings,operating-earnings,down,"business,earnings,operating-earnings,down,"
CURRENT-bigdata,business,earnings,operating-earnings,negative,"business,earnings,operating-earnings,negative,"
CURRENT-bigdata,business,earnings,operating-earnings,positive,"business,earnings,operating-earnings,positive,"
CURRENT-bigdata,business,earnings,operating-earnings,up,"business,earnings,operating-earnings,up,"
CURRENT-bigdata,business,earnings,operating-earnings-expectations,below-expectations,"business,earnings,operating-earnings-expectations,below-expectations,"
CURRENT-bigdata,business,earnings,operating-earnings-expectations,meet-expectations,"business,earnings,operating-earnings-expectations,meet-expectations,"
CURRENT-bigdata,business,earnings,pretax-earnings,down,"business,earnings,pretax-earnings,down,"
CURRENT-bigdata,business,earnings,pretax-earnings,up,"business,earnings,pretax-earnings,up,"
CURRENT-bigdata,business,equity-actions,buybacks,,"business,equity-actions,buybacks,,"
CURRENT-bigdata,business,equity-actions,buybacks,approved,"business,equity-actions,buybacks,approved,"
CURRENT-bigdata,business,equity-actions,buybacks,extended,"business,equity-actions,buybacks,extended,"
CURRENT-bigdata,business,equity-actions,buybacks,suspended,"business,equity-actions,buybacks,suspended,"
CURRENT-bigdata,business,equity-actions,capex,,"business,equity-actions,capex,,"
CURRENT-bigdata,business,equity-actions,capex,down,"business,equity-actions,capex,down,"
CURRENT-bigdata,business,equity-actions,capex,up,"business,equity-actions,capex,up,"
CURRENT-bigdata,business,equity-actions,capital-increase,,"business,equity-actions,capital-increase,,"
CURRENT-bigdata,business,equity-actions,expenses,,"business,equity-actions,expenses,,"
CURRENT-bigdata,business,equity-actions,expenses,charge,"business,equity-actions,expenses,charge,"
CURRENT-bigdata,business,equity-actions,expenses,down,"business,equity-actions,expenses,down,"
CURRENT-bigdata,business,equity-actions,expenses,up,"business,equity-actions,expenses,up,"
CURRENT-bigdata,business,equity-actions,expenses-guidance,,"business,equity-actions,expenses-guidance,,"
CURRENT-bigdata,business,equity-actions,expenses-guidance,down,"business,equity-actions,expenses-guidance,down,"
CURRENT-bigdata,business,equity-actions,expenses-guidance,up,"business,equity-actions,expenses-guidance,up,"
CURRENT-bigdata,business,equity-actions,fundraising,,"business,equity-actions,fundraising,,"
CURRENT-bigdata,business,equity-actions,going-private,,"business,equity-actions,going-private,,"
CURRENT-bigdata,business,equity-actions,going-private,approved,"business,equity-actions,going-private,approved,"
CURRENT-bigdata,business,equity-actions,going-private,considered,"business,equity-actions,going-private,considered,"
CURRENT-bigdata,business,equity-actions,initial-public-offering,,"business,equity-actions,initial-public-offering,,"
CURRENT-bigdata,business,equity-actions,initial-public-offering,considered,"business,equity-actions,initial-public-offering,considered,"
CURRENT-bigdata,business,equity-actions,initial-public-offering-price,,"business,equity-actions,initial-public-offering-price,,"
CURRENT-bigdata,business,equity-actions,investment,,"business,equity-actions,investment,,"
CURRENT-bigdata,business,equity-actions,ownership,,"business,equity-actions,ownership,,"
CURRENT-bigdata,business,equity-actions,ownership,decrease,"business,equity-actions,ownership,decrease,"
CURRENT-bigdata,business,equity-actions,ownership,increase,"business,equity-actions,ownership,increase,"
CURRENT-bigdata,business,equity-actions,public-offering,,"business,equity-actions,public-offering,,"
CURRENT-bigdata,business,equity-actions,public-offering,pricing,"business,equity-actions,public-offering,pricing,"
CURRENT-bigdata,business,equity-actions,reorganization,,"business,equity-actions,reorganization,,"
CURRENT-bigdata,business,equity-actions,reorganization,complete,"business,equity-actions,reorganization,complete,"
CURRENT-bigdata,business,equity-actions,rights-issue,,"business,equity-actions,rights-issue,,"
CURRENT-bigdata,business,equity-actions,savings,,"business,equity-actions,savings,,"
CURRENT-bigdata,business,equity-actions,savings-guidance,,"business,equity-actions,savings-guidance,,"
CURRENT-bigdata,business,equity-actions,secondary-offering,,"business,equity-actions,secondary-offering,,"
CURRENT-bigdata,business,equity-actions,secondary-offering,pricing,"business,equity-actions,secondary-offering,pricing,"
CURRENT-bigdata,business,equity-actions,spin-off,,"business,equity-actions,spin-off,,"
CURRENT-bigdata,business,equity-actions,spin-off,rumor,"business,equity-actions,spin-off,rumor,"
CURRENT-bigdata,business,equity-actions,spin-off-regulation,approval,"business,equity-actions,spin-off-regulation,approval,"
CURRENT-bigdata,business,equity-actions,trading,delisting,"business,equity-actions,trading,delisting,"
CURRENT-bigdata,business,equity-actions,trading,halt,"business,equity-actions,trading,halt,"
CURRENT-bigdata,business,equity-actions,trading,listing,"business,equity-actions,trading,listing,"
CURRENT-bigdata,business,exploration,drilling,,"business,exploration,drilling,,"
CURRENT-bigdata,business,exploration,resource-discovery,,"business,exploration,resource-discovery,,"
CURRENT-bigdata,business,exploration,resource-processing,,"business,exploration,resource-processing,,"
CURRENT-bigdata,business,indexes,index-delisting,,"business,indexes,index-delisting,,"
CURRENT-bigdata,business,indexes,index-listing,,"business,indexes,index-listing,,"
CURRENT-bigdata,business,indexes,index-value,,"business,indexes,index-value,,"
CURRENT-bigdata,business,indexes,index-value,gain,"business,indexes,index-value,gain,"
CURRENT-bigdata,business,indexes,index-value,loss,"business,indexes,index-value,loss,"
CURRENT-bigdata,business,indexes,index-value,unchanged,"business,indexes,index-value,unchanged,"
CURRENT-bigdata,business,industrial-accidents,aircraft-accident,,"business,industrial-accidents,aircraft-accident,,"
CURRENT-bigdata,business,industrial-accidents,automobile-accident,,"business,industrial-accidents,automobile-accident,,"
CURRENT-bigdata,business,industrial-accidents,facility-accident,,"business,industrial-accidents,facility-accident,,"
CURRENT-bigdata,business,industrial-accidents,factory-accident,,"business,industrial-accidents,factory-accident,,"
CURRENT-bigdata,business,industrial-accidents,mine-accident,,"business,industrial-accidents,mine-accident,,"
CURRENT-bigdata,business,industrial-accidents,power-outage,,"business,industrial-accidents,power-outage,,"
CURRENT-bigdata,business,insider-trading,insider-buy,,"business,insider-trading,insider-buy,,"
CURRENT-bigdata,business,insider-trading,insider-sell,,"business,insider-trading,insider-sell,,"
CURRENT-bigdata,business,investor-relations,board-meeting,,"business,investor-relations,board-meeting,,"
CURRENT-bigdata,business,investor-relations,conference-call,,"business,investor-relations,conference-call,,"
CURRENT-bigdata,business,investor-relations,earnings-call,,"business,investor-relations,earnings-call,,"
CURRENT-bigdata,business,investor-relations,investor-day,,"business,investor-relations,investor-day,,"
CURRENT-bigdata,business,investor-relations,shareholders-meeting,,"business,investor-relations,shareholders-meeting,,"
CURRENT-bigdata,business,labor-issues,board-member-appointment,,"business,labor-issues,board-member-appointment,,"
CURRENT-bigdata,business,labor-issues,board-member-health,,"business,labor-issues,board-member-health,,"
CURRENT-bigdata,business,labor-issues,board-member-resignation,,"business,labor-issues,board-member-resignation,,"
CURRENT-bigdata,business,labor-issues,board-member-retirement,,"business,labor-issues,board-member-retirement,,"
CURRENT-bigdata,business,labor-issues,executive-appointment,,"business,labor-issues,executive-appointment,,"
CURRENT-bigdata,business,labor-issues,executive-firing,,"business,labor-issues,executive-firing,,"
CURRENT-bigdata,business,labor-issues,executive-health,,"business,labor-issues,executive-health,,"
CURRENT-bigdata,business,labor-issues,executive-resignation,,"business,labor-issues,executive-resignation,,"
CURRENT-bigdata,business,labor-issues,executive-retirement,,"business,labor-issues,executive-retirement,,"
CURRENT-bigdata,business,labor-issues,executive-salary,,"business,labor-issues,executive-salary,,"
CURRENT-bigdata,business,labor-issues,executive-search,,"business,labor-issues,executive-search,,"
CURRENT-bigdata,business,labor-issues,furlough,,"business,labor-issues,furlough,,"
CURRENT-bigdata,business,labor-issues,gender-pay-gap,,"business,labor-issues,gender-pay-gap,,"
CURRENT-bigdata,business,labor-issues,hirings,,"business,labor-issues,hirings,,"
CURRENT-bigdata,business,labor-issues,layoffs,,"business,labor-issues,layoffs,,"
CURRENT-bigdata,business,labor-issues,workers-strike,,"business,labor-issues,workers-strike,,"
CURRENT-bigdata,business,labor-issues,workforce-salary,increase,"business,labor-issues,workforce-salary,increase,"
CURRENT-bigdata,business,lobbying,corporate-lobbying,,"business,lobbying,corporate-lobbying,,"
CURRENT-bigdata,business,marketing,campaign-ad,release,"business,marketing,campaign-ad,release,"
CURRENT-bigdata,business,marketing,campaign-ad,retired,"business,marketing,campaign-ad,retired,"
CURRENT-bigdata,business,marketing,conference,,"business,marketing,conference,,"
CURRENT-bigdata,business,marketing,press-conference,,"business,marketing,press-conference,,"
CURRENT-bigdata,business,marketing,product-promotion,,"business,marketing,product-promotion,,"
CURRENT-bigdata,business,partnerships,joint-venture,,"business,partnerships,joint-venture,,"
CURRENT-bigdata,business,partnerships,joint-venture,terminated,"business,partnerships,joint-venture,terminated,"
CURRENT-bigdata,business,partnerships,partnership,,"business,partnerships,partnership,,"
CURRENT-bigdata,business,partnerships,partnership,terminated,"business,partnerships,partnership,terminated,"
CURRENT-bigdata,business,price-targets,price-target,downgrade,"business,price-targets,price-target,downgrade,"
CURRENT-bigdata,business,price-targets,price-target,set,"business,price-targets,price-target,set,"
CURRENT-bigdata,business,price-targets,price-target,unchanged,"business,price-targets,price-target,unchanged,"
CURRENT-bigdata,business,price-targets,price-target,upgrade,"business,price-targets,price-target,upgrade,"
CURRENT-bigdata,business,products-services,accelerated-approval-designation,,"business,products-services,accelerated-approval-designation,,"
CURRENT-bigdata,business,products-services,award,,"business,products-services,award,,"
CURRENT-bigdata,business,products-services,breakthrough-therapy-designation,,"business,products-services,breakthrough-therapy-designation,,"
CURRENT-bigdata,business,products-services,business-contract,,"business,products-services,business-contract,,"
CURRENT-bigdata,business,products-services,business-contract,extended,"business,products-services,business-contract,extended,"
CURRENT-bigdata,business,products-services,business-contract,interest,"business,products-services,business-contract,interest,"
CURRENT-bigdata,business,products-services,business-contract,terminated,"business,products-services,business-contract,terminated,"
CURRENT-bigdata,business,products-services,business-contract,terminated-interest,"business,products-services,business-contract,terminated-interest,"
CURRENT-bigdata,business,products-services,business-contract,terms-change,"business,products-services,business-contract,terms-change,"
CURRENT-bigdata,business,products-services,clinical-trials,,"business,products-services,clinical-trials,,"
CURRENT-bigdata,business,products-services,clinical-trials,positive,"business,products-services,clinical-trials,positive,"
CURRENT-bigdata,business,products-services,clinical-trials,suspended,"business,products-services,clinical-trials,suspended,"
CURRENT-bigdata,business,products-services,clinical-trials-patient-enrollment,start,"business,products-services,clinical-trials-patient-enrollment,start,"
CURRENT-bigdata,business,products-services,competition,,"business,products-services,competition,,"
CURRENT-bigdata,business,products-services,demand,,"business,products-services,demand,,"
CURRENT-bigdata,business,products-services,demand,above-expectations,"business,products-services,demand,above-expectations,"
CURRENT-bigdata,business,products-services,demand,decrease,"business,products-services,demand,decrease,"
CURRENT-bigdata,business,products-services,demand,increase,"business,products-services,demand,increase,"
CURRENT-bigdata,business,products-services,demand,unchanged,"business,products-services,demand,unchanged,"
CURRENT-bigdata,business,products-services,demand-guidance,,"business,products-services,demand-guidance,,"
CURRENT-bigdata,business,products-services,demand-guidance,decrease,"business,products-services,demand-guidance,decrease,"
CURRENT-bigdata,business,products-services,demand-guidance,increase,"business,products-services,demand-guidance,increase,"
CURRENT-bigdata,business,products-services,demand-guidance,unchanged,"business,products-services,demand-guidance,unchanged,"
CURRENT-bigdata,business,products-services,emergency-use-authorization-application,,"business,products-services,emergency-use-authorization-application,,"
CURRENT-bigdata,business,products-services,government-contract,,"business,products-services,government-contract,,"
CURRENT-bigdata,business,products-services,government-contract,terminated,"business,products-services,government-contract,terminated,"
CURRENT-bigdata,business,products-services,grant,,"business,products-services,grant,,"
CURRENT-bigdata,business,products-services,market-entry,,"business,products-services,market-entry,,"
CURRENT-bigdata,business,products-services,market-exit,,"business,products-services,market-exit,,"
CURRENT-bigdata,business,products-services,market-guidance,down,"business,products-services,market-guidance,down,"
CURRENT-bigdata,business,products-services,market-guidance,up,"business,products-services,market-guidance,up,"
CURRENT-bigdata,business,products-services,market-share,,"business,products-services,market-share,,"
CURRENT-bigdata,business,products-services,market-share,gain,"business,products-services,market-share,gain,"
CURRENT-bigdata,business,products-services,market-share,loss,"business,products-services,market-share,loss,"
CURRENT-bigdata,business,products-services,market-share-guidance,gain,"business,products-services,market-share-guidance,gain,"
CURRENT-bigdata,business,products-services,new-drug-application,,"business,products-services,new-drug-application,,"
CURRENT-bigdata,business,products-services,new-drug-regulation,approval-denied,"business,products-services,new-drug-regulation,approval-denied,"
CURRENT-bigdata,business,products-services,new-drug-regulation,approval-granted,"business,products-services,new-drug-regulation,approval-granted,"
CURRENT-bigdata,business,products-services,order-backlog,,"business,products-services,order-backlog,,"
CURRENT-bigdata,business,products-services,product-development,,"business,products-services,product-development,,"
CURRENT-bigdata,business,products-services,product-discontinued,,"business,products-services,product-discontinued,,"
CURRENT-bigdata,business,products-services,product-enhancement,,"business,products-services,product-enhancement,,"
CURRENT-bigdata,business,products-services,product-fault,,"business,products-services,product-fault,,"
CURRENT-bigdata,business,products-services,product-outage,,"business,products-services,product-outage,,"
CURRENT-bigdata,business,products-services,product-pricing,,"business,products-services,product-pricing,,"
CURRENT-bigdata,business,products-services,product-pricing,cut,"business,products-services,product-pricing,cut,"
CURRENT-bigdata,business,products-services,product-pricing,raise,"business,products-services,product-pricing,raise,"
CURRENT-bigdata,business,products-services,product-recall,,"business,products-services,product-recall,,"
CURRENT-bigdata,business,products-services,product-release,,"business,products-services,product-release,,"
CURRENT-bigdata,business,products-services,product-release,delayed,"business,products-services,product-release,delayed,"
CURRENT-bigdata,business,products-services,product-resumed,,"business,products-services,product-resumed,,"
CURRENT-bigdata,business,products-services,product-review,comparison,"business,products-services,product-review,comparison,"
CURRENT-bigdata,business,products-services,product-review,positive,"business,products-services,product-review,positive,"
CURRENT-bigdata,business,products-services,product-shortage,,"business,products-services,product-shortage,,"
CURRENT-bigdata,business,products-services,product-support,discontinued,"business,products-services,product-support,discontinued,"
CURRENT-bigdata,business,products-services,project-abandoned,,"business,products-services,project-abandoned,,"
CURRENT-bigdata,business,products-services,project-regulation,halt,"business,products-services,project-regulation,halt,"
CURRENT-bigdata,business,products-services,project-resumed,,"business,products-services,project-resumed,,"
CURRENT-bigdata,business,products-services,regulatory-product-application,,"business,products-services,regulatory-product-application,,"
CURRENT-bigdata,business,products-services,regulatory-product-approval,denied,"business,products-services,regulatory-product-approval,denied,"
CURRENT-bigdata,business,products-services,regulatory-product-approval,granted,"business,products-services,regulatory-product-approval,granted,"
CURRENT-bigdata,business,products-services,supply,,"business,products-services,supply,,"
CURRENT-bigdata,business,products-services,supply,decrease,"business,products-services,supply,decrease,"
CURRENT-bigdata,business,products-services,supply,delayed,"business,products-services,supply,delayed,"
CURRENT-bigdata,business,products-services,supply,increase,"business,products-services,supply,increase,"
CURRENT-bigdata,business,products-services,supply,unchanged,"business,products-services,supply,unchanged,"
CURRENT-bigdata,business,products-services,supply-chain-disruption,,"business,products-services,supply-chain-disruption,,"
CURRENT-bigdata,business,products-services,supply-chain-disruption,warning,"business,products-services,supply-chain-disruption,warning,"
CURRENT-bigdata,business,products-services,supply-chain-undisrupted,,"business,products-services,supply-chain-undisrupted,,"
CURRENT-bigdata,business,products-services,supply-chain-upgrade,,"business,products-services,supply-chain-upgrade,,"
CURRENT-bigdata,business,products-services,supply-guidance,,"business,products-services,supply-guidance,,"
CURRENT-bigdata,business,products-services,supply-guidance,decrease,"business,products-services,supply-guidance,decrease,"
CURRENT-bigdata,business,products-services,supply-guidance,increase,"business,products-services,supply-guidance,increase,"
CURRENT-bigdata,business,provisions,loan-loss-provision,,"business,provisions,loan-loss-provision,,"
CURRENT-bigdata,business,regulatory,regulatory-filing,,"business,regulatory,regulatory-filing,,"
CURRENT-bigdata,business,regulatory,regulatory-investigation,,"business,regulatory,regulatory-investigation,,"
CURRENT-bigdata,business,regulatory,regulatory-investigation,completed,"business,regulatory,regulatory-investigation,completed,"
CURRENT-bigdata,business,revenues,operating-margin,,"business,revenues,operating-margin,,"
CURRENT-bigdata,business,revenues,revenue,,"business,revenues,revenue,,"
CURRENT-bigdata,business,revenues,revenue,above-expectations,"business,revenues,revenue,above-expectations,"
CURRENT-bigdata,business,revenues,revenue,below-expectations,"business,revenues,revenue,below-expectations,"
CURRENT-bigdata,business,revenues,revenue,down,"business,revenues,revenue,down,"
CURRENT-bigdata,business,revenues,revenue,unchanged,"business,revenues,revenue,unchanged,"
CURRENT-bigdata,business,revenues,revenue,up,"business,revenues,revenue,up,"
CURRENT-bigdata,business,revenues,revenue-estimate,,"business,revenues,revenue-estimate,,"
CURRENT-bigdata,business,revenues,revenue-guidance,,"business,revenues,revenue-guidance,,"
CURRENT-bigdata,business,revenues,revenue-guidance,above-expectations,"business,revenues,revenue-guidance,above-expectations,"
CURRENT-bigdata,business,revenues,revenue-guidance,below-expectations,"business,revenues,revenue-guidance,below-expectations,"
CURRENT-bigdata,business,revenues,revenue-guidance,down,"business,revenues,revenue-guidance,down,"
CURRENT-bigdata,business,revenues,revenue-guidance,meet-expectations,"business,revenues,revenue-guidance,meet-expectations,"
