kind,topic,group,type,sub_type,id_or_slug
modern,business,credit-ratings,credit-rating-change,set,"business,credit-ratings,credit-rating-change,set,"
modern,business,credit-ratings,credit-rating-watch,negative,"business,credit-ratings,credit-rating-watch,negative,"
modern,business,customer-engagement,net-promoter-score,,"business,customer-engagement,net-promoter-score,,"
modern,business,customer-engagement,net-promoter-score,down,"business,customer-engagement,net-promoter-score,down,"
modern,business,customer-engagement,net-promoter-score,up,"business,customer-engagement,net-promoter-score,up,"
modern,business,customer-engagement,net-promoter-score-guidance,,"business,customer-engagement,net-promoter-score-guidance,,"
modern,business,dividends,dividend,,"business,dividends,dividend,,"
modern,business,dividends,dividend,down,"business,dividends,dividend,down,"
modern,business,dividends,dividend,up,"business,dividends,dividend,up,"
modern,business,dividends,dividend-guidance,,"business,dividends,dividend-guidance,,"
modern,business,dividends,dividend-guidance,down,"business,dividends,dividend-guidance,down,"
modern,business,dividends,dividend-guidance,up,"business,dividends,dividend-guidance,up,"
modern,business,earnings,earnings,,"business,earnings,earnings,,"
modern,business,earnings,earnings,down,"business,earnings,earnings,down,"
modern,business,earnings,earnings,negative,"business,earnings,earnings,negative,"
modern,business,earnings,earnings,positive,"business,earnings,earnings,positive,"
modern,business,earnings,earnings,unchanged,"business,earnings,earnings,unchanged,"
modern,business,earnings,earnings,up,"business,earnings,earnings,up,"
modern,business,earnings,earnings-estimate,,"business,earnings,earnings-estimate,,"
modern,business,earnings,earnings-expectations,above-expectations,"business,earnings,earnings-expectations,above-expectations,"
modern,business,earnings,earnings-expectations,below-expectations,"business,earnings,earnings-expectations,below-expectations,"
modern,business,earnings,earnings-expectations,meet-expectations,"business,earnings,earnings-expectations,meet-expectations,"
modern,business,earnings,earnings-guidance,,"business,earnings,earnings-guidance,,"
modern,business,earnings,earnings-guidance,down,"business,earnings,earnings-guidance,down,"
modern,business,earnings,earnings-guidance,suspended,"business,earnings,earnings-guidance,suspended,"
modern,business,earnings,earnings-guidance,unchanged,"business,earnings,earnings-guidance,unchanged,"
modern,business,earnings,earnings-guidance,up,"business,earnings,earnings-guidance,up,"
modern,business,earnings,earnings-guidance-expectations,above-expectations,"business,earnings,earnings-guidance-expectations,above-expectations,"
modern,business,earnings,earnings-guidance-expectations,below-expectations,"business,earnings,earnings-guidance-expectations,below-expectations,"
modern,business,earnings,earnings-per-share,,"business,earnings,earnings-per-share,,"
modern,business,earnings,earnings-per-share,down,"business,earnings,earnings-per-share,down,"
modern,business,earnings,earnings-per-share,negative,"business,earnings,earnings-per-share,negative,"
modern,business,earnings,earnings-per-share,positive,"business,earnings,earnings-per-share,positive,"
modern,business,earnings,earnings-per-share,up,"business,earnings,earnings-per-share,up,"
modern,business,earnings,earnings-per-share-estimate,,"business,earnings,earnings-per-share-estimate,,"
modern,business,earnings,earnings-per-share-expectations,above-expectations,"business,earnings,earnings-per-share-expectations,above-expectations,"
modern,business,earnings,earnings-per-share-expectations,below-expectations,"business,earnings,earnings-per-share-expectations,below-expectations,"
modern,business,earnings,earnings-per-share-guidance,,"business,earnings,earnings-per-share-guidance,,"
modern,business,earnings,earnings-per-share-guidance,down,"business,earnings,earnings-per-share-guidance,down,"
modern,business,earnings,earnings-per-share-guidance,up,"business,earnings,earnings-per-share-guidance,up,"
modern,business,earnings,earnings-revision,,"business,earnings,earnings-revision,,"
modern,business,earnings,ebitda,,"business,earnings,ebitda,,"
modern,business,earnings,ebitda,down,"business,earnings,ebitda,down,"
modern,business,earnings,ebitda,up,"business,earnings,ebitda,up,"
modern,business,earnings,ebitda-guidance,down,"business,earnings,ebitda-guidance,down,"
modern,business,earnings,interest-income,down,"business,earnings,interest-income,down,"
modern,business,earnings,operating-earnings,,"business,earnings,operating-earnings,,"
modern,business,earnings,operating-earnings,down,"business,earnings,operating-earnings,down,"
modern,business,earnings,operating-earnings,negative,"business,earnings,operating-earnings,negative,"
modern,business,earnings,operating-earnings,positive,"business,earnings,operating-earnings,positive,"
modern,business,earnings,operating-earnings,up,"business,earnings,operating-earnings,up,"
modern,business,earnings,operating-earnings-expectations,below-expectations,"business,earnings,operating-earnings-expectations,below-expectations,"
modern,business,earnings,operating-earnings-expectations,meet-expectations,"business,earnings,operating-earnings-expectations,meet-expectations,"
modern,business,earnings,pretax-earnings,down,"business,earnings,pretax-earnings,down,"
modern,business,earnings,pretax-earnings,up,"business,earnings,pretax-earnings,up,"
modern,business,equity-actions,buybacks,,"business,equity-actions,buybacks,,"
modern,business,equity-actions,buybacks,approved,"business,equity-actions,buybacks,approved,"
modern,business,equity-actions,buybacks,extended,"business,equity-actions,buybacks,extended,"
modern,business,equity-actions,buybacks,suspended,"business,equity-actions,buybacks,suspended,"
modern,business,equity-actions,capex,,"business,equity-actions,capex,,"
modern,business,equity-actions,capex,down,"business,equity-actions,capex,down,"
modern,business,equity-actions,capex,up,"business,equity-actions,capex,up,"
modern,business,equity-actions,capital-increase,,"business,equity-actions,capital-increase,,"
modern,business,equity-actions,expenses,,"business,equity-actions,expenses,,"
modern,business,equity-actions,expenses,charge,"business,equity-actions,expenses,charge,"
modern,business,equity-actions,expenses,down,"business,equity-actions,expenses,down,"
modern,business,equity-actions,expenses,up,"business,equity-actions,expenses,up,"
modern,business,equity-actions,expenses-guidance,,"business,equity-actions,expenses-guidance,,"
modern,business,equity-actions,expenses-guidance,down,"business,equity-actions,expenses-guidance,down,"
modern,business,equity-actions,expenses-guidance,up,"business,equity-actions,expenses-guidance,up,"
modern,business,equity-actions,fundraising,,"business,equity-actions,fundraising,,"
modern,business,equity-actions,going-private,,"business,equity-actions,going-private,,"
modern,business,equity-actions,going-private,approved,"business,equity-actions,going-private,approved,"
modern,business,equity-actions,going-private,considered,"business,equity-actions,going-private,considered,"
modern,business,equity-actions,initial-public-offering,,"business,equity-actions,initial-public-offering,,"
modern,business,equity-actions,initial-public-offering,considered,"business,equity-actions,initial-public-offering,considered,"
modern,business,equity-actions,initial-public-offering-price,,"business,equity-actions,initial-public-offering-price,,"
modern,business,equity-actions,investment,,"business,equity-actions,investment,,"
modern,business,equity-actions,ownership,,"business,equity-actions,ownership,,"
modern,business,equity-actions,ownership,decrease,"business,equity-actions,ownership,decrease,"
modern,business,equity-actions,ownership,increase,"business,equity-actions,ownership,increase,"
modern,business,equity-actions,public-offering,,"business,equity-actions,public-offering,,"
modern,business,equity-actions,public-offering,pricing,"business,equity-actions,public-offering,pricing,"
modern,business,equity-actions,reorganization,,"business,equity-actions,reorganization,,"
modern,business,equity-actions,reorganization,complete,"business,equity-actions,reorganization,complete,"
modern,business,equity-actions,rights-issue,,"business,equity-actions,rights-issue,,"
modern,business,equity-actions,savings,,"business,equity-actions,savings,,"
modern,business,equity-actions,savings-guidance,,"business,equity-actions,savings-guidance,,"
modern,business,equity-actions,secondary-offering,,"business,equity-actions,secondary-offering,,"
modern,business,equity-actions,secondary-offering,pricing,"business,equity-actions,secondary-offering,pricing,"
modern,business,equity-actions,spin-off,,"business,equity-actions,spin-off,,"
modern,business,equity-actions,spin-off,rumor,"business,equity-actions,spin-off,rumor,"
modern,business,equity-actions,spin-off-regulation,approval,"business,equity-actions,spin-off-regulation,approval,"
modern,business,equity-actions,trading,delisting,"business,equity-actions,trading,delisting,"
modern,business,equity-actions,trading,halt,"business,equity-actions,trading,halt,"
modern,business,equity-actions,trading,listing,"business,equity-actions,trading,listing,"
modern,business,exploration,drilling,,"business,exploration,drilling,,"
modern,business,exploration,resource-discovery,,"business,exploration,resource-discovery,,"
modern,business,exploration,resource-processing,,"business,exploration,resource-processing,,"
modern,business,indexes,index-delisting,,"business,indexes,index-delisting,,"
modern,business,indexes,index-listing,,"business,indexes,index-listing,,"
modern,business,indexes,index-value,,"business,indexes,index-value,,"
modern,business,indexes,index-value,gain,"business,indexes,index-value,gain,"
modern,business,indexes,index-value,loss,"business,indexes,index-value,loss,"
modern,business,indexes,index-value,unchanged,"business,indexes,index-value,unchanged,"
modern,business,industrial-accidents,aircraft-accident,,"business,industrial-accidents,aircraft-accident,,"
modern,business,industrial-accidents,automobile-accident,,"business,industrial-accidents,automobile-accident,,"
modern,business,industrial-accidents,facility-accident,,"business,industrial-accidents,facility-accident,,"
modern,business,industrial-accidents,factory-accident,,"business,industrial-accidents,factory-accident,,"
modern,business,industrial-accidents,mine-accident,,"business,industrial-accidents,mine-accident,,"
modern,business,industrial-accidents,power-outage,,"business,industrial-accidents,power-outage,,"
modern,business,insider-trading,insider-buy,,"business,insider-trading,insider-buy,,"
modern,business,insider-trading,insider-sell,,"business,insider-trading,insider-sell,,"
modern,business,investor-relations,board-meeting,,"business,investor-relations,board-meeting,,"
modern,business,investor-relations,conference-call,,"business,investor-relations,conference-call,,"
modern,business,investor-relations,earnings-call,,"business,investor-relations,earnings-call,,"
modern,business,investor-relations,investor-day,,"business,investor-relations,investor-day,,"
modern,business,investor-relations,shareholders-meeting,,"business,investor-relations,shareholders-meeting,,"
modern,business,labor-issues,board-member-appointment,,"business,labor-issues,board-member-appointment,,"
modern,business,labor-issues,board-member-health,,"business,labor-issues,board-member-health,,"
modern,business,labor-issues,board-member-resignation,,"business,labor-issues,board-member-resignation,,"
modern,business,labor-issues,board-member-retirement,,"business,labor-issues,board-member-retirement,,"
modern,business,labor-issues,executive-appointment,,"business,labor-issues,executive-appointment,,"
modern,business,labor-issues,executive-firing,,"business,labor-issues,executive-firing,,"
modern,business,labor-issues,executive-health,,"business,labor-issues,executive-health,,"
modern,business,labor-issues,executive-resignation,,"business,labor-issues,executive-resignation,,"
modern,business,labor-issues,executive-retirement,,"business,labor-issues,executive-retirement,,"
modern,business,labor-issues,executive-salary,,"business,labor-issues,executive-salary,,"
modern,business,labor-issues,executive-search,,"business,labor-issues,executive-search,,"
modern,business,labor-issues,furlough,,"business,labor-issues,furlough,,"
modern,business,labor-issues,gender-pay-gap,,"business,labor-issues,gender-pay-gap,,"
modern,business,labor-issues,hirings,,"business,labor-issues,hirings,,"
modern,business,labor-issues,layoffs,,"business,labor-issues,layoffs,,"
modern,business,labor-issues,workers-strike,,"business,labor-issues,workers-strike,,"
modern,business,labor-issues,workforce-salary,increase,"business,labor-issues,workforce-salary,increase,"
modern,business,lobbying,corporate-lobbying,,"business,lobbying,corporate-lobbying,,"
modern,business,marketing,campaign-ad,release,"business,marketing,campaign-ad,release,"
modern,business,marketing,campaign-ad,retired,"business,marketing,campaign-ad,retired,"
modern,business,marketing,conference,,"business,marketing,conference,,"
modern,business,marketing,press-conference,,"business,marketing,press-conference,,"
modern,business,marketing,product-promotion,,"business,marketing,product-promotion,,"
modern,business,partnerships,joint-venture,,"business,partnerships,joint-venture,,"
modern,business,partnerships,joint-venture,terminated,"business,partnerships,joint-venture,terminated,"
modern,business,partnerships,partnership,,"business,partnerships,partnership,,"
modern,business,partnerships,partnership,terminated,"business,partnerships,partnership,terminated,"
modern,business,price-targets,price-target,downgrade,"business,price-targets,price-target,downgrade,"
modern,business,price-targets,price-target,set,"business,price-targets,price-target,set,"
modern,business,price-targets,price-target,unchanged,"business,price-targets,price-target,unchanged,"
modern,business,price-targets,price-target,upgrade,"business,price-targets,price-target,upgrade,"
modern,business,products-services,accelerated-approval-designation,,"business,products-services,accelerated-approval-designation,,"
modern,business,products-services,award,,"business,products-services,award,,"
modern,business,products-services,breakthrough-therapy-designation,,"business,products-services,breakthrough-therapy-designation,,"
modern,business,products-services,business-contract,,"business,products-services,business-contract,,"
modern,business,products-services,business-contract,extended,"business,products-services,business-contract,extended,"
modern,business,products-services,business-contract,interest,"business,products-services,business-contract,interest,"
modern,business,products-services,business-contract,terminated,"business,products-services,business-contract,terminated,"
modern,business,products-services,business-contract,terminated-interest,"business,products-services,business-contract,terminated-interest,"
modern,business,products-services,business-contract,terms-change,"business,products-services,business-contract,terms-change,"
modern,business,products-services,clinical-trials,,"business,products-services,clinical-trials,,"
modern,business,products-services,clinical-trials,positive,"business,products-services,clinical-trials,positive,"
modern,business,products-services,clinical-trials,suspended,"business,products-services,clinical-trials,suspended,"
modern,business,products-services,clinical-trials-patient-enrollment,start,"business,products-services,clinical-trials-patient-enrollment,start,"
modern,business,products-services,competition,,"business,products-services,competition,,"
modern,business,products-services,demand,,"business,products-services,demand,,"
modern,business,products-services,demand,above-expectations,"business,products-services,demand,above-expectations,"
modern,business,products-services,demand,decrease,"business,products-services,demand,decrease,"
modern,business,products-services,demand,increase,"business,products-services,demand,increase,"
modern,business,products-services,demand,unchanged,"business,products-services,demand,unchanged,"
modern,business,products-services,demand-guidance,,"business,products-services,demand-guidance,,"
modern,business,products-services,demand-guidance,decrease,"business,products-services,demand-guidance,decrease,"
modern,business,products-services,demand-guidance,increase,"business,products-services,demand-guidance,increase,"
modern,business,products-services,demand-guidance,unchanged,"business,products-services,demand-guidance,unchanged,"
modern,business,products-services,emergency-use-authorization-application,,"business,products-services,emergency-use-authorization-application,,"
modern,business,products-services,government-contract,,"business,products-services,government-contract,,"
modern,business,products-services,government-contract,terminated,"business,products-services,government-contract,terminated,"
modern,business,products-services,grant,,"business,products-services,grant,,"
modern,business,products-services,market-entry,,"business,products-services,market-entry,,"
modern,business,products-services,market-exit,,"business,products-services,market-exit,,"
modern,business,products-services,market-guidance,down,"business,products-services,market-guidance,down,"
modern,business,products-services,market-guidance,up,"business,products-services,market-guidance,up,"
modern,business,products-services,market-share,,"business,products-services,market-share,,"
modern,business,products-services,market-share,gain,"business,products-services,market-share,gain,"
modern,business,products-services,market-share,loss,"business,products-services,market-share,loss,"
modern,business,products-services,market-share-guidance,gain,"business,products-services,market-share-guidance,gain,"
modern,business,products-services,new-drug-application,,"business,products-services,new-drug-application,,"
modern,business,products-services,new-drug-regulation,approval-denied,"business,products-services,new-drug-regulation,approval-denied,"
modern,business,products-services,new-drug-regulation,approval-granted,"business,products-services,new-drug-regulation,approval-granted,"
modern,business,products-services,order-backlog,,"business,products-services,order-backlog,,"
modern,business,products-services,product-development,,"business,products-services,product-development,,"
modern,business,products-services,product-discontinued,,"business,products-services,product-discontinued,,"
modern,business,products-services,product-enhancement,,"business,products-services,product-enhancement,,"
modern,business,products-services,product-fault,,"business,products-services,product-fault,,"
modern,business,products-services,product-outage,,"business,products-services,product-outage,,"
modern,business,products-services,product-pricing,,"business,products-services,product-pricing,,"
modern,business,products-services,product-pricing,cut,"business,products-services,product-pricing,cut,"
modern,business,products-services,product-pricing,raise,"business,products-services,product-pricing,raise,"
modern,business,products-services,product-recall,,"business,products-services,product-recall,,"
modern,business,products-services,product-release,,"business,products-services,product-release,,"
modern,business,products-services,product-release,delayed,"business,products-services,product-release,delayed,"
modern,business,products-services,product-resumed,,"business,products-services,product-resumed,,"
modern,business,products-services,product-review,comparison,"business,products-services,product-review,comparison,"
modern,business,products-services,product-review,positive,"business,products-services,product-review,positive,"
modern,business,products-services,product-shortage,,"business,products-services,product-shortage,,"
modern,business,products-services,product-support,discontinued,"business,products-services,product-support,discontinued,"
modern,business,products-services,project-abandoned,,"business,products-services,project-abandoned,,"
modern,business,products-services,project-regulation,halt,"business,products-services,project-regulation,halt,"
modern,business,products-services,project-resumed,,"business,products-services,project-resumed,,"
modern,business,products-services,regulatory-product-application,,"business,products-services,regulatory-product-application,,"
modern,business,products-services,regulatory-product-approval,denied,"business,products-services,regulatory-product-approval,denied,"
modern,business,products-services,regulatory-product-approval,granted,"business,products-services,regulatory-product-approval,granted,"
modern,business,products-services,supply,,"business,products-services,supply,,"
modern,business,products-services,supply,decrease,"business,products-services,supply,decrease,"
modern,business,products-services,supply,delayed,"business,products-services,supply,delayed,"
modern,business,products-services,supply,increase,"business,products-services,supply,increase,"
modern,business,products-services,supply,unchanged,"business,products-services,supply,unchanged,"
modern,business,products-services,supply-chain-disruption,,"business,products-services,supply-chain-disruption,,"
modern,business,products-services,supply-chain-disruption,warning,"business,products-services,supply-chain-disruption,warning,"
modern,business,products-services,supply-chain-undisrupted,,"business,products-services,supply-chain-undisrupted,,"
modern,business,products-services,supply-chain-upgrade,,"business,products-services,supply-chain-upgrade,,"
modern,business,products-services,supply-guidance,,"business,products-services,supply-guidance,,"
modern,business,products-services,supply-guidance,decrease,"business,products-services,supply-guidance,decrease,"
modern,business,products-services,supply-guidance,increase,"business,products-services,supply-guidance,increase,"
modern,business,provisions,loan-loss-provision,,"business,provisions,loan-loss-provision,,"
modern,business,regulatory,regulatory-filing,,"business,regulatory,regulatory-filing,,"
modern,business,regulatory,regulatory-investigation,,"business,regulatory,regulatory-investigation,,"
modern,business,regulatory,regulatory-investigation,completed,"business,regulatory,regulatory-investigation,completed,"
modern,business,revenues,operating-margin,,"business,revenues,operating-margin,,"
modern,business,revenues,revenue,,"business,revenues,revenue,,"
modern,business,revenues,revenue,above-expectations,"business,revenues,revenue,above-expectations,"
modern,business,revenues,revenue,below-expectations,"business,revenues,revenue,below-expectations,"
modern,business,revenues,revenue,down,"business,revenues,revenue,down,"
modern,business,revenues,revenue,unchanged,"business,revenues,revenue,unchanged,"
modern,business,revenues,revenue,up,"business,revenues,revenue,up,"
modern,business,revenues,revenue-estimate,,"business,revenues,revenue-estimate,,"
modern,business,revenues,revenue-guidance,,"business,revenues,revenue-guidance,,"
modern,business,revenues,revenue-guidance,above-expectations,"business,revenues,revenue-guidance,above-expectations,"
modern,business,revenues,revenue-guidance,below-expectations,"business,revenues,revenue-guidance,below-expectations,"
modern,business,revenues,revenue-guidance,down,"business,revenues,revenue-guidance,down,"
modern,business,revenues,revenue-guidance,meet-expectations,"business,revenues,revenue-guidance,meet-expectations,"
modern,business,revenues,revenue-guidance,unchanged,"business,revenues,revenue-guidance,unchanged,"
modern,business,revenues,revenue-guidance,up,"business,revenues,revenue-guidance,up,"
modern,business,revenues,revenue-volume,,"business,revenues,revenue-volume,,"
modern,business,revenues,revenue-volume,down,"business,revenues,revenue-volume,down,"
modern,business,revenues,revenue-volume,up,"business,revenues,revenue-volume,up,"
modern,business,revenues,same-store-sales,,"business,revenues,same-store-sales,,"
modern,business,revenues,same-store-sales,down,"business,revenues,same-store-sales,down,"
modern,business,revenues,same-store-sales,up,"business,revenues,same-store-sales,up,"
modern,business,revenues,same-store-sales-guidance,,"business,revenues,same-store-sales-guidance,,"
modern,business,revenues,same-store-sales-guidance,down,"business,revenues,same-store-sales-guidance,down,"
modern,business,revenues,same-store-sales-guidance,up,"business,revenues,same-store-sales-guidance,up,"
modern,business,stock-picks,stock-pick,,"business,stock-picks,stock-pick,,"
modern,business,stock-picks,stock-pick,buy,"business,stock-picks,stock-pick,buy,"
modern,business,stock-prices,market-capitalization,,"business,stock-prices,market-capitalization,,"
modern,business,stock-prices,market-capitalization,up,"business,stock-prices,market-capitalization,up,"
modern,business,stock-prices,stock-price,,"business,stock-prices,stock-price,,"
modern,business,stock-prices,stock-price,gain,"business,stock-prices,stock-price,gain,"
modern,business,stock-prices,stock-price,loss,"business,stock-prices,stock-price,loss,"
modern,business,stock-prices,stock-price-volatility,down,"business,stock-prices,stock-price-volatility,down,"
modern,economy,balance-of-payments,exports,,"economy,balance-of-payments,exports,,"
modern,economy,balance-of-payments,exports,down,"economy,balance-of-payments,exports,down,"
modern,economy,balance-of-payments,exports,up,"economy,balance-of-payments,exports,up,"
modern,economy,balance-of-payments,exports-guidance,,"economy,balance-of-payments,exports-guidance,,"
modern,economy,balance-of-payments,exports-guidance,down,"economy,balance-of-payments,exports-guidance,down,"
modern,economy,balance-of-payments,exports-guidance,unchanged,"economy,balance-of-payments,exports-guidance,unchanged,"
modern,economy,balance-of-payments,exports-guidance,up,"economy,balance-of-payments,exports-guidance,up,"
modern,economy,balance-of-payments,imports,,"economy,balance-of-payments,imports,,"
modern,economy,balance-of-payments,imports,down,"economy,balance-of-payments,imports,down,"
modern,economy,balance-of-payments,imports,up,"economy,balance-of-payments,imports,up,"
modern,economy,balance-of-payments,imports-guidance,down,"economy,balance-of-payments,imports-guidance,down,"
modern,economy,balance-of-payments,trade-balance-deficit,down,"economy,balance-of-payments,trade-balance-deficit,down,"
modern,economy,business-activity,business-confidence,below-expectations,"economy,business-activity,business-confidence,below-expectations,"
modern,economy,business-activity,business-confidence,down,"economy,business-activity,business-confidence,down,"
modern,economy,business-activity,business-confidence,up,"economy,business-activity,business-confidence,up,"
modern,economy,consumption,consumer-confidence,,"economy,consumption,consumer-confidence,,"
modern,economy,consumption,consumer-confidence,above-expectations,"economy,consumption,consumer-confidence,above-expectations,"
modern,economy,consumption,consumer-confidence,down,"economy,consumption,consumer-confidence,down,"
modern,economy,consumption,consumer-confidence,unchanged,"economy,consumption,consumer-confidence,unchanged,"
modern,economy,consumption,consumer-confidence,up,"economy,consumption,consumer-confidence,up,"
modern,economy,consumption,consumer-confidence-guidance,up,"economy,consumption,consumer-confidence-guidance,up,"
modern,economy,consumption,consumer-price-index,above-expectations,"economy,consumption,consumer-price-index,above-expectations,"
modern,economy,consumption,consumer-price-index,below-expectations,"economy,consumption,consumer-price-index,below-expectations,"
modern,economy,consumption,consumer-price-index,down,"economy,consumption,consumer-price-index,down,"
modern,economy,consumption,consumer-price-index,up,"economy,consumption,consumer-price-index,up,"
modern,economy,consumption,consumer-spending,,"economy,consumption,consumer-spending,,"
modern,economy,consumption,consumer-spending,up,"economy,consumption,consumer-spending,up,"
modern,economy,consumption,consumer-spending-guidance,,"economy,consumption,consumer-spending-guidance,,"
modern,economy,consumption,inflation,,"economy,consumption,inflation,,"
modern,economy,consumption,inflation,up,"economy,consumption,inflation,up,"
modern,economy,consumption,inflation-guidance,,"economy,consumption,inflation-guidance,,"
modern,economy,consumption,retail-sales,,"economy,consumption,retail-sales,,"
modern,economy,consumption,retail-sales,below-expectations,"economy,consumption,retail-sales,below-expectations,"
modern,economy,consumption,retail-sales,down,"economy,consumption,retail-sales,down,"
modern,economy,consumption,retail-sales,up,"economy,consumption,retail-sales,up,"
modern,economy,consumption,retail-sales-guidance,up,"economy,consumption,retail-sales-guidance,up,"
modern,economy,consumption,vehicle-sales,down,"economy,consumption,vehicle-sales,down,"
modern,economy,consumption,vehicle-sales,up,"economy,consumption,vehicle-sales,up,"
modern,economy,credit,mortgage-approvals,,"economy,credit,mortgage-approvals,,"
modern,economy,credit,sovereign-debt-guidance,up,"economy,credit,sovereign-debt-guidance,up,"
modern,economy,credit,sovereign-debt-purchases,,"economy,credit,sovereign-debt-purchases,,"
modern,economy,credit,treasury-bill-yield,down,"economy,credit,treasury-bill-yield,down,"
