vintage,leaf_slug
LEGACY-rpa1.0,debt-restructuring-rejection
LEGACY-rpa1.0,debt-shelf-registration
LEGACY-rpa1.0,defamation-defendant
LEGACY-rpa1.0,defamation-plaintiff
LEGACY-rpa1.0,delay-imbalance
LEGACY-rpa1.0,demand
LEGACY-rpa1.0,demand-decrease
LEGACY-rpa1.0,demand-guidance-increase
LEGACY-rpa1.0,demand-increase
LEGACY-rpa1.0,discrimination-defendant
LEGACY-rpa1.0,discrimination-plaintiff
LEGACY-rpa1.0,dividend
LEGACY-rpa1.0,dividend-above-expectations
LEGACY-rpa1.0,dividend-below-expectations
LEGACY-rpa1.0,dividend-down
LEGACY-rpa1.0,dividend-guidance
LEGACY-rpa1.0,dividend-guidance-down
LEGACY-rpa1.0,dividend-guidance-up
LEGACY-rpa1.0,dividend-meet-expectations
LEGACY-rpa1.0,dividend-suspended
LEGACY-rpa1.0,dividend-up
LEGACY-rpa1.0,donation
LEGACY-rpa1.0,earnings
LEGACY-rpa1.0,earnings-above-expectations
LEGACY-rpa1.0,earnings-below-expectations
LEGACY-rpa1.0,earnings-call
LEGACY-rpa1.0,earnings-delayed
LEGACY-rpa1.0,earnings-down
LEGACY-rpa1.0,earnings-estimate
LEGACY-rpa1.0,earnings-estimate-downgrade
LEGACY-rpa1.0,earnings-estimate-upgrade
LEGACY-rpa1.0,earnings-estimate-upgrade-rater
LEGACY-rpa1.0,earnings-guidance
LEGACY-rpa1.0,earnings-guidance-above-expectations
LEGACY-rpa1.0,earnings-guidance-below-expectations
LEGACY-rpa1.0,earnings-guidance-down
LEGACY-rpa1.0,earnings-guidance-meet-expectations
LEGACY-rpa1.0,earnings-guidance-suspended
LEGACY-rpa1.0,earnings-guidance-up
LEGACY-rpa1.0,earnings-meet-expectations
LEGACY-rpa1.0,earnings-negative
LEGACY-rpa1.0,earnings-per-share
LEGACY-rpa1.0,earnings-per-share-above-expectations
LEGACY-rpa1.0,earnings-per-share-below-expectations
LEGACY-rpa1.0,earnings-per-share-down
LEGACY-rpa1.0,earnings-per-share-guidance
LEGACY-rpa1.0,earnings-per-share-meet-expectations
LEGACY-rpa1.0,earnings-per-share-negative
LEGACY-rpa1.0,earnings-per-share-positive
LEGACY-rpa1.0,earnings-per-share-up
LEGACY-rpa1.0,earnings-positive
LEGACY-rpa1.0,earnings-revision
LEGACY-rpa1.0,earnings-revision-down
LEGACY-rpa1.0,earnings-revision-up
LEGACY-rpa1.0,earnings-up
LEGACY-rpa1.0,ebit-down
LEGACY-rpa1.0,ebit-positive
LEGACY-rpa1.0,ebit-up
LEGACY-rpa1.0,ebitda-guidance
LEGACY-rpa1.0,ebitda-guidance-down
LEGACY-rpa1.0,ebitda-guidance-up
LEGACY-rpa1.0,ebitda-negative
LEGACY-rpa1.0,ebitda-positive
LEGACY-rpa1.0,ebitda-up
LEGACY-rpa1.0,equity-shelf-registration
LEGACY-rpa1.0,exchange-compliance
LEGACY-rpa1.0,exchange-noncompliance
LEGACY-rpa1.0,executive-appointment
LEGACY-rpa1.0,executive-compensation
LEGACY-rpa1.0,executive-death
LEGACY-rpa1.0,executive-firing
LEGACY-rpa1.0,executive-health
LEGACY-rpa1.0,executive-kidnap
LEGACY-rpa1.0,executive-murdered
LEGACY-rpa1.0,executive-resignation
LEGACY-rpa1.0,executive-salary
LEGACY-rpa1.0,executive-salary-cut
LEGACY-rpa1.0,executive-salary-increase
LEGACY-rpa1.0,executive-scandal
LEGACY-rpa1.0,executive-shares-options
LEGACY-rpa1.0,expenses
LEGACY-rpa1.0,expenses-charge
LEGACY-rpa1.0,expenses-down
LEGACY-rpa1.0,expenses-guidance
LEGACY-rpa1.0,expenses-guidance-down
LEGACY-rpa1.0,expenses-guidance-up
LEGACY-rpa1.0,expenses-up
LEGACY-rpa1.0,facility-close
LEGACY-rpa1.0,facility-fire-disaster
LEGACY-rpa1.0,facility-open
LEGACY-rpa1.0,facility-relocation
LEGACY-rpa1.0,facility-sale
LEGACY-rpa1.0,facility-upgrade
LEGACY-rpa1.0,fast-track-designation
LEGACY-rpa1.0,fire-sales
LEGACY-rpa1.0,fraud
LEGACY-rpa1.0,fraud-defendant
LEGACY-rpa1.0,fraud-plaintiff
LEGACY-rpa1.0,fundraising
LEGACY-rpa1.0,gdp-guidance-down
LEGACY-rpa1.0,going-private
LEGACY-rpa1.0,government-contract
LEGACY-rpa1.0,grant-recipient
LEGACY-rpa1.0,headquarters-change
LEGACY-rpa1.0,hirings
LEGACY-rpa1.0,import-tax
LEGACY-rpa1.0,index-delisting
LEGACY-rpa1.0,index-listing
LEGACY-rpa1.0,insider-buy
LEGACY-rpa1.0,insider-gift
LEGACY-rpa1.0,insider-sell
LEGACY-rpa1.0,insider-sell-registration
LEGACY-rpa1.0,insider-surrender
LEGACY-rpa1.0,insider-trading-lawsuit-defendant
LEGACY-rpa1.0,insider-trading-lawsuit-plaintiff
LEGACY-rpa1.0,investment-investor
LEGACY-rpa1.0,investment-recipient
LEGACY-rpa1.0,ipo
LEGACY-rpa1.0,ipo-approved
LEGACY-rpa1.0,ipo-completed
LEGACY-rpa1.0,ipo-considered
LEGACY-rpa1.0,ipo-delayed
LEGACY-rpa1.0,ipo-extended
LEGACY-rpa1.0,ipo-failed
LEGACY-rpa1.0,ipo-issuance-decrease
LEGACY-rpa1.0,ipo-issuance-increase
LEGACY-rpa1.0,ipo-opposed
LEGACY-rpa1.0,ipo-price-decrease
LEGACY-rpa1.0,ipo-price-increase
LEGACY-rpa1.0,ipo-pricing
LEGACY-rpa1.0,ipo-regulatory-scrutiny
LEGACY-rpa1.0,ipo-rumor
LEGACY-rpa1.0,ipo-rumor-denied
LEGACY-rpa1.0,ipo-unit
LEGACY-rpa1.0,ipo-unit-approved
LEGACY-rpa1.0,ipo-unit-completed
LEGACY-rpa1.0,ipo-unit-considered
LEGACY-rpa1.0,ipo-unit-delayed
LEGACY-rpa1.0,ipo-unit-extended
LEGACY-rpa1.0,ipo-unit-failed
LEGACY-rpa1.0,ipo-unit-rumor
LEGACY-rpa1.0,ipo-unit-rumor-denied
LEGACY-rpa1.0,joint-venture
LEGACY-rpa1.0,joint-venture-terminated
LEGACY-rpa1.0,layoffs
LEGACY-rpa1.0,legal-issues
LEGACY-rpa1.0,legal-issues-defendant
LEGACY-rpa1.0,legal-issues-dismissed-defendant
LEGACY-rpa1.0,legal-issues-dismissed-plaintiff
LEGACY-rpa1.0,legal-issues-plaintiff
LEGACY-rpa1.0,legal-verdict-disfavored
LEGACY-rpa1.0,legal-verdict-favored
LEGACY-rpa1.0,loan-provider
LEGACY-rpa1.0,loan-recipient
LEGACY-rpa1.0,major-shareholders-disclosure
LEGACY-rpa1.0,market-entry
LEGACY-rpa1.0,market-guidance
LEGACY-rpa1.0,market-guidance-up
LEGACY-rpa1.0,market-share-gain
LEGACY-rpa1.0,market-share-loss
LEGACY-rpa1.0,merger
LEGACY-rpa1.0,merger-blocked
LEGACY-rpa1.0,merger-completed
LEGACY-rpa1.0,merger-delayed
LEGACY-rpa1.0,merger-failed
LEGACY-rpa1.0,merger-opposition
LEGACY-rpa1.0,merger-regulatory-approval
LEGACY-rpa1.0,merger-regulatory-scrutiny
LEGACY-rpa1.0,merger-rumor
LEGACY-rpa1.0,merger-rumor-denied
LEGACY-rpa1.0,mixed-shelf-registration
LEGACY-rpa1.0,mkt-close-buy-imbalance
LEGACY-rpa1.0,mkt-close-sell-imbalance
LEGACY-rpa1.0,mkt-open-buy-imbalance
LEGACY-rpa1.0,mkt-open-sell-imbalance
LEGACY-rpa1.0,name-change
LEGACY-rpa1.0,no-imbalance
LEGACY-rpa1.0,no-mkt-close-imbalance
LEGACY-rpa1.0,note-acquisition
LEGACY-rpa1.0,note-sale
LEGACY-rpa1.0,operating-earnings
LEGACY-rpa1.0,operating-earnings-down
LEGACY-rpa1.0,operating-earnings-guidance
LEGACY-rpa1.0,operating-earnings-guidance-up
LEGACY-rpa1.0,operating-earnings-negative
LEGACY-rpa1.0,operating-earnings-positive
LEGACY-rpa1.0,operating-earnings-up
LEGACY-rpa1.0,orphan-drug-designation
LEGACY-rpa1.0,ownership-decrease-held
LEGACY-rpa1.0,ownership-decrease-owner
LEGACY-rpa1.0,ownership-increase-held
LEGACY-rpa1.0,ownership-increase-owner
LEGACY-rpa1.0,partnership
LEGACY-rpa1.0,partnership-terminated
LEGACY-rpa1.0,patent-awarded
LEGACY-rpa1.0,patent-filing
LEGACY-rpa1.0,patent-filing-rejected
LEGACY-rpa1.0,patent-infringement-defendant
LEGACY-rpa1.0,patent-infringement-plaintiff
LEGACY-rpa1.0,patent-revoked
LEGACY-rpa1.0,patient-enrollment-complete
LEGACY-rpa1.0,patient-enrollment-start
LEGACY-rpa1.0,patient-enrollment-suspended
LEGACY-rpa1.0,press-conference-organizer
LEGACY-rpa1.0,pretax-earnings-down
LEGACY-rpa1.0,pretax-earnings-negative
LEGACY-rpa1.0,pretax-earnings-positive
LEGACY-rpa1.0,pretax-earnings-up
LEGACY-rpa1.0,price-target-downgrade
LEGACY-rpa1.0,price-target-set
LEGACY-rpa1.0,price-target-upgrade
LEGACY-rpa1.0,private-placement
LEGACY-rpa1.0,product-application-withdrawn
LEGACY-rpa1.0,product-approval-denied
LEGACY-rpa1.0,product-catastrophe
LEGACY-rpa1.0,product-delayed
LEGACY-rpa1.0,product-discontinued
LEGACY-rpa1.0,product-enhancement
LEGACY-rpa1.0,product-outage
LEGACY-rpa1.0,product-price-cut
LEGACY-rpa1.0,product-price-raise
LEGACY-rpa1.0,product-recall
LEGACY-rpa1.0,product-release
LEGACY-rpa1.0,product-resumed
LEGACY-rpa1.0,product-side-effects
LEGACY-rpa1.0,project-abandoned
LEGACY-rpa1.0,public-offering
LEGACY-rpa1.0,public-offering-delayed
LEGACY-rpa1.0,public-offering-suspended
LEGACY-rpa1.0,regulatory-investigation
LEGACY-rpa1.0,regulatory-investigation-completed
LEGACY-rpa1.0,regulatory-investigation-completed-sanction
LEGACY-rpa1.0,regulatory-product-application
LEGACY-rpa1.0,regulatory-product-application-withdrawn
LEGACY-rpa1.0,regulatory-product-approval-conditional
LEGACY-rpa1.0,regulatory-product-approval-denied
LEGACY-rpa1.0,regulatory-product-approval-granted
LEGACY-rpa1.0,regulatory-product-review-negative
LEGACY-rpa1.0,regulatory-product-review-positive
LEGACY-rpa1.0,regulatory-product-warning
LEGACY-rpa1.0,relative-strength-index
LEGACY-rpa1.0,relative-strength-index-overbought
LEGACY-rpa1.0,relative-strength-index-oversold
LEGACY-rpa1.0,reorganization
LEGACY-rpa1.0,reorganization-approval
LEGACY-rpa1.0,reorganization-complete
LEGACY-rpa1.0,reorganization-considered
LEGACY-rpa1.0,reorganization-costs
LEGACY-rpa1.0,reorganization-delayed
LEGACY-rpa1.0,reorganization-denied
LEGACY-rpa1.0,reorganization-failed
LEGACY-rpa1.0,reorganization-rejection
LEGACY-rpa1.0,reorganization-savings
LEGACY-rpa1.0,reorganization-unit
LEGACY-rpa1.0,reorganization-unit-approval
LEGACY-rpa1.0,reorganization-unit-complete
LEGACY-rpa1.0,reorganization-unit-rejection
LEGACY-rpa1.0,revenue-above-expectations
LEGACY-rpa1.0,revenue-below-expectations
LEGACY-rpa1.0,revenue-down
LEGACY-rpa1.0,revenue-estimate
LEGACY-rpa1.0,revenue-estimate-downgrade
LEGACY-rpa1.0,revenue-estimate-upgrade
LEGACY-rpa1.0,revenue-guidance
LEGACY-rpa1.0,revenue-guidance-above-expectations
LEGACY-rpa1.0,revenue-guidance-below-expectations
LEGACY-rpa1.0,revenue-guidance-down
LEGACY-rpa1.0,revenue-guidance-meet-expectations
LEGACY-rpa1.0,revenue-guidance-up
LEGACY-rpa1.0,revenue-meet-expectations
LEGACY-rpa1.0,revenue-up
LEGACY-rpa1.0,revenue-volume
LEGACY-rpa1.0,revenue-volume-down
LEGACY-rpa1.0,revenue-volume-up
LEGACY-rpa1.0,revenues
LEGACY-rpa1.0,reverse-stock-splits
LEGACY-rpa1.0,rights-issue
LEGACY-rpa1.0,sanctions-target
LEGACY-rpa1.0,savings
LEGACY-rpa1.0,savings-guidance
LEGACY-rpa1.0,sec-investigation
LEGACY-rpa1.0,sell-imbalance
LEGACY-rpa1.0,settlement
LEGACY-rpa1.0,shareholder-rights-plan
LEGACY-rpa1.0,shareholder-rights-plan-suspended
LEGACY-rpa1.0,spin-off
LEGACY-rpa1.0,sponsorship
LEGACY-rpa1.0,stake-acquiree
LEGACY-rpa1.0,stake-acquirer
LEGACY-rpa1.0,stock-gain
LEGACY-rpa1.0,stock-loss
LEGACY-rpa1.0,stock-price
LEGACY-rpa1.0,stock-price-volatility
LEGACY-rpa1.0,stock-splits
LEGACY-rpa1.0,supply
LEGACY-rpa1.0,supply-decrease
LEGACY-rpa1.0,supply-guidance-increase
LEGACY-rpa1.0,supply-increase
LEGACY-rpa1.0,technical-price-level-resistance-bearish
LEGACY-rpa1.0,technical-view
LEGACY-rpa1.0,technical-view-bearish
LEGACY-rpa1.0,technical-view-bullish
LEGACY-rpa1.0,trading-delisting
LEGACY-rpa1.0,trading-delisting-review
LEGACY-rpa1.0,trading-halt
LEGACY-rpa1.0,trading-listing
LEGACY-rpa1.0,trading-resumed
LEGACY-rpa1.0,union-pact
LEGACY-rpa1.0,unit-acquisition-acquiree
LEGACY-rpa1.0,unit-acquisition-acquirer
LEGACY-rpa1.0,unit-acquisition-completed-acquiree
LEGACY-rpa1.0,unit-acquisition-completed-acquirer
LEGACY-rpa1.0,unit-acquisition-interest-acquiree
LEGACY-rpa1.0,unit-acquisition-interest-acquirer
LEGACY-rpa1.0,unit-acquisition-regulatory-approval-acquirer
