ticker,accession_8k,filed_8k,candidate_d_outcome,candidate_d_fy,candidate_d_q,candidate_d_source,sec_truth_tier,sec_truth_fy,sec_truth_q,evidence_quote,evidence_url,document_type,document_name,evidence_method,raw_cached_path,companion_periodic_accession,companion_periodic_form,companion_periodic_filed,companion_periodic_period_of_report,companion_xbrl_fy,companion_xbrl_q,companion_cover_quote,reasoning
ACI,0001646972-25-000080,2025-10-14,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2025,Q2,Second Quarter Fiscal 2025,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000080/aciq225earningsrelease.htm,EX-99.1,aciq225earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-25-000080/aciq225earningsrelease.htm,0001646972-25-000083,10-Q,2025-10-14,2025-09-06,2025,Q2,"For the quarterly period ended September 6, 2025",current-period quote found in EX-99.1 (aciq225earningsrelease.htm)
ACI,0001646972-26-000007,2026-01-07,FAIL_CLOSED,,,rule_f_fail_closed_fy_disagreement,A,2025,Q3,Third Quarter Fiscal 2025,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000007/aciq325earningsrelease.htm,EX-99.1,aciq325earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-26-000007/aciq325earningsrelease.htm,0001646972-26-000010,10-Q,2026-01-07,2025-11-29,2025,Q3,"For the quarterly period ended November 29, 2025",current-period quote found in EX-99.1 (aciq325earningsrelease.htm)
ACI,0001646972-26-000028,2026-04-14,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q4,fourth quarter of fiscal 2025,https://www.sec.gov/Archives/edgar/data/1646972/000164697226000028/aciq425earningsrelease.htm,EX-99.1,aciq425earningsrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001646972-26-000028/aciq425earningsrelease.htm,0001646972-26-000032,10-K,2026-04-27,2026-02-28,2025,FY,"For the fiscal year ended February 28 , 2026",current-period quote found in EX-99.1 (aciq425earningsrelease.htm)
ANF,0001018840-23-000059,2023-05-25,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q1,Fiscal 2023 is off to a strong start with first quarter,https://www.sec.gov/Archives/edgar/data/1018840/000101884023000059/q12023pressrelease.htm,EX-99.1,q12023pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-23-000059/q12023pressrelease.htm,0001018840-23-000068,10-Q,2023-06-06,2023-04-29,2023,Q1,"For the quarterly period ended April 29, 2023",current-period quote found in EX-99.1 (q12023pressrelease.htm)
ANF,0001018840-23-000074,2023-08-24,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,B,2022,Q2,second quarter of 2022,https://www.sec.gov/Archives/edgar/data/1018840/000101884023000074/q22023pressrelease.htm,EX-99.1,q22023pressrelease.htm,explicit_sentence,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-23-000074/q22023pressrelease.htm,0001018840-23-000078,10-Q,2023-09-01,2023-07-29,2023,Q2,"For the quarterly period ended July 29, 2023",current-period quote found in EX-99.1 (q22023pressrelease.htm)
ANF,0001018840-23-000086,2023-11-22,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,B,2022,Q3,third quarter 2022,https://www.sec.gov/Archives/edgar/data/1018840/000101884023000086/q32023pressrelease.htm,EX-99.1,q32023pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-23-000086/q32023pressrelease.htm,0001018840-23-000091,10-Q,2023-12-04,2023-10-28,2023,Q3,"For the quarterly period ended October 28, 2023",current-period quote found in EX-99.1 (q32023pressrelease.htm)
ANF,0001018840-24-000035,2024-05-30,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q1,FIRST QUARTER FISCAL 2024,https://www.sec.gov/Archives/edgar/data/1018840/000101884024000035/q12024pressrelease.htm,EX-99.1,q12024pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-24-000035/q12024pressrelease.htm,0001018840-24-000041,10-Q,2024-06-07,2024-05-04,2024,Q1,"For the quarterly period ended May 4, 2024",current-period quote found in EX-99.1 (q12024pressrelease.htm)
ANF,0001018840-24-000066,2024-08-29,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q2,SECOND QUARTER FISCAL 2024,https://www.sec.gov/Archives/edgar/data/1018840/000101884024000066/q22024pressrelease.htm,EX-99.1,q22024pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-24-000066/q22024pressrelease.htm,0001018840-24-000071,10-Q,2024-09-06,2024-08-03,2024,Q2,"For the quarterly period ended August 3, 2024",current-period quote found in EX-99.1 (q22024pressrelease.htm)
ANF,0001018840-24-000083,2024-11-27,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q3,THIRD QUARTER FISCAL 2024,https://www.sec.gov/Archives/edgar/data/1018840/000101884024000083/q32024pressrelease.htm,EX-99.1,q32024pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-24-000083/q32024pressrelease.htm,0001018840-24-000087,10-Q,2024-12-06,2024-11-02,2024,Q3,"For the quarterly period ended November 2, 2024",current-period quote found in EX-99.1 (q32024pressrelease.htm)
ANF,0001018840-25-000029,2025-05-29,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q1,FIRST QUARTER FISCAL 2025,https://www.sec.gov/Archives/edgar/data/1018840/000101884025000029/q12025pressrelease.htm,EX-99.1,q12025pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-25-000029/q12025pressrelease.htm,0001018840-25-000033,10-Q,2025-06-06,2025-05-03,2025,Q1,"For the quarterly period ended May 3, 2025",current-period quote found in EX-99.1 (q12025pressrelease.htm)
ANF,0001018840-25-000041,2025-08-28,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q2,SECOND QUARTER FISCAL 2025,https://www.sec.gov/Archives/edgar/data/1018840/000101884025000041/q22025pressrelease.htm,EX-99.1,q22025pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-25-000041/q22025pressrelease.htm,0001018840-25-000045,10-Q,2025-09-05,2025-08-02,2025,Q2,"For the quarterly period ended August 2, 2025",current-period quote found in EX-99.1 (q22025pressrelease.htm)
ANF,0001018840-25-000046,2025-11-26,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q3,THIRD QUARTER FISCAL 2025,https://www.sec.gov/Archives/edgar/data/1018840/000101884025000046/q32025pressrelease.htm,EX-99.1,q32025pressrelease.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001018840-25-000046/q32025pressrelease.htm,0001018840-25-000048,10-Q,2025-12-05,2025-11-01,2025,Q3,"For the quarterly period ended November 1, 2025",current-period quote found in EX-99.1 (q32025pressrelease.htm)
ASO,0001817358-23-000151,2023-06-06,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q1,First Quarter 2023,https://www.sec.gov/Archives/edgar/data/1817358/000181735823000151/exhibit991pressreleaseq120.htm,EX-99.1,exhibit991pressreleaseq120.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-23-000151/exhibit991pressreleaseq120.htm,0001817358-23-000153,10-Q,2023-06-06,2023-04-29,2023,Q1,"For the Quarterly Period Ended April 29, 2023",current-period quote found in EX-99.1 (exhibit991pressreleaseq120.htm)
ASO,0001817358-23-000184,2023-08-31,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q2,Second Quarter 2023,https://www.sec.gov/Archives/edgar/data/1817358/000181735823000184/exhibit991pressreleaseq220.htm,EX-99.1,exhibit991pressreleaseq220.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-23-000184/exhibit991pressreleaseq220.htm,0001817358-23-000186,10-Q,2023-08-31,2023-07-29,2023,Q2,"For the Quarterly Period Ended July 29, 2023",current-period quote found in EX-99.1 (exhibit991pressreleaseq220.htm)
ASO,0001817358-23-000226,2023-11-30,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q3,Third Quarter 2023,https://www.sec.gov/Archives/edgar/data/1817358/000181735823000226/exhibit991pressreleaseq320.htm,EX-99.1,exhibit991pressreleaseq320.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-23-000226/exhibit991pressreleaseq320.htm,0001817358-23-000229,10-Q,2023-11-30,2023-10-28,2023,Q3,"For the Quarterly Period Ended October 28, 2023",current-period quote found in EX-99.1 (exhibit991pressreleaseq320.htm)
ASO,0001817358-24-000035,2024-03-21,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q4,Fourth Quarter and Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1817358/000181735824000035/exhibit991pressreleaseye20.htm,EX-99.1,exhibit991pressreleaseye20.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-24-000035/exhibit991pressreleaseye20.htm,0001817358-24-000042,10-K,2024-03-21,2024-02-03,2023,FY,"For the Fiscal Year Ended February 3 , 2024",current-period quote found in EX-99.1 (exhibit991pressreleaseye20.htm)
ASO,0001817358-24-000119,2024-06-11,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q1,First Quarter 2024,https://www.sec.gov/Archives/edgar/data/1817358/000181735824000119/exhibit991pressreleaseq120.htm,EX-99.1,exhibit991pressreleaseq120.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-24-000119/exhibit991pressreleaseq120.htm,0001817358-24-000124,10-Q,2024-06-11,2024-05-04,2024,Q1,"For the Quarterly Period Ended May 4, 2024",current-period quote found in EX-99.1 (exhibit991pressreleaseq120.htm)
ASO,0001817358-24-000170,2024-09-10,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q2,Second Quarter 2024,https://www.sec.gov/Archives/edgar/data/1817358/000181735824000170/exhibit991pressreleaseq220.htm,EX-99.1,exhibit991pressreleaseq220.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-24-000170/exhibit991pressreleaseq220.htm,0001817358-24-000174,10-Q,2024-09-10,2024-08-03,2024,Q2,"For the Quarterly Period Ended August 3, 2024",current-period quote found in EX-99.1 (exhibit991pressreleaseq220.htm)
ASO,0001817358-24-000194,2024-12-10,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q3,Third Quarter 2024,https://www.sec.gov/Archives/edgar/data/1817358/000181735824000194/exhibit991pressreleaseq320.htm,EX-99.1,exhibit991pressreleaseq320.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-24-000194/exhibit991pressreleaseq320.htm,0001817358-24-000197,10-Q,2024-12-10,2024-11-02,2024,Q3,"For the Quarterly Period Ended November 2, 2024",current-period quote found in EX-99.1 (exhibit991pressreleaseq320.htm)
ASO,0001817358-25-000022,2025-03-20,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q4,Fourth Quarter and Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1817358/000181735825000022/exhibit991pressreleaseye20.htm,EX-99.1,exhibit991pressreleaseye20.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-25-000022/exhibit991pressreleaseye20.htm,0001817358-25-000027,10-K,2025-03-20,2025-02-01,2024,FY,"For the Fiscal Year Ended February 1 , 2025",current-period quote found in EX-99.1 (exhibit991pressreleaseye20.htm)
ASO,0001817358-25-000116,2025-06-10,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q1,First Quarter Fiscal 2025,https://www.sec.gov/Archives/edgar/data/1817358/000181735825000116/exhibit991pressreleaseq120.htm,EX-99.1,exhibit991pressreleaseq120.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-25-000116/exhibit991pressreleaseq120.htm,0001817358-25-000119,10-Q,2025-06-10,2025-05-03,2025,Q1,"For the Quarterly Period Ended May 3, 2025",current-period quote found in EX-99.1 (exhibit991pressreleaseq120.htm)
ASO,0001817358-25-000154,2025-09-02,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q2,Q2 2025,https://www.sec.gov/Archives/edgar/data/1817358/000181735825000154/q225earningspresentation.htm,EX-99,q225earningspresentation.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-25-000154/q225earningspresentation.htm,0001817358-25-000158,10-Q,2025-09-02,2025-08-02,2025,Q2,"For the Quarterly Period Ended August 2, 2025",current-period quote found in EX-99 (q225earningspresentation.htm)
ASO,0001817358-25-000189,2025-12-09,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q3,Third Quarter 2025,https://www.sec.gov/Archives/edgar/data/1817358/000181735825000189/q325earningspresentation.htm,EX-99,q325earningspresentation.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-25-000189/q325earningspresentation.htm,0001817358-25-000191,10-Q,2025-12-09,2025-11-01,2025,Q3,"For the Quarterly Period Ended November 1, 2025",current-period quote found in EX-99 (q325earningspresentation.htm)
ASO,0001817358-26-000026,2026-03-17,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2025,Q4,Fourth Quarter and Fiscal 2025,https://www.sec.gov/Archives/edgar/data/1817358/000181735826000026/exhibit991pressreleaseye25.htm,EX-99.1,exhibit991pressreleaseye25.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001817358-26-000026/exhibit991pressreleaseye25.htm,0001817358-26-000031,10-K,2026-03-17,2026-01-31,2025,FY,"For the Fiscal Year Ended January 31 , 2026",current-period quote found in EX-99.1 (exhibit991pressreleaseye25.htm)
BJ,0001531152-23-000053,2023-05-23,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q1,First Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1531152/000153115223000053/bj-2023042923x8kex991.htm,EX-99.1,bj-2023042923x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-23-000053/bj-2023042923x8kex991.htm,0001531152-23-000057,10-Q,2023-05-26,2023-04-29,2023,Q1,"For the quarterly period ended April 29, 2023",current-period quote found in EX-99.1 (bj-2023042923x8kex991.htm)
BJ,0001531152-23-000107,2023-08-22,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q2,Second Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1531152/000153115223000107/bj-2023072923x8kex991.htm,EX-99.1,bj-2023072923x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-23-000107/bj-2023072923x8kex991.htm,0001531152-23-000111,10-Q,2023-08-25,2023-07-29,2023,Q2,"For the quarterly period ended July 29, 2023",current-period quote found in EX-99.1 (bj-2023072923x8kex991.htm)
BJ,0001531152-23-000139,2023-11-17,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q3,Third Quarter Fiscal 2023,https://www.sec.gov/Archives/edgar/data/1531152/000153115223000139/bj-2023102823x8kex991.htm,EX-99.1,bj-2023102823x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-23-000139/bj-2023102823x8kex991.htm,0001531152-23-000143,10-Q,2023-11-22,2023-10-28,2023,Q3,"For the quarterly period ended October 28, 2023",current-period quote found in EX-99.1 (bj-2023102823x8kex991.htm)
BJ,0001531152-24-000014,2024-03-07,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2023,Q4,Fiscal 2023 Results Strong fourth quarter,https://www.sec.gov/Archives/edgar/data/1531152/000153115224000014/bj-202402032024x8kex991.htm,EX-99.1,bj-202402032024x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-24-000014/bj-202402032024x8kex991.htm,0001531152-24-000026,10-K,2024-03-18,2024-02-03,2023,FY,"For the fiscal year ended February 3 , 2024",current-period quote found in EX-99.1 (bj-202402032024x8kex991.htm)
BJ,0001531152-24-000067,2024-05-23,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q1,First Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1531152/000153115224000067/bj-2024050424x8kex991.htm,EX-99.1,bj-2024050424x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-24-000067/bj-2024050424x8kex991.htm,0001531152-24-000071,10-Q,2024-05-30,2024-05-04,2024,Q1,"For the quarterly period ended May 4, 2024",current-period quote found in EX-99.1 (bj-2024050424x8kex991.htm)
BJ,0001531152-24-000127,2024-08-22,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q2,Second Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1531152/000153115224000127/bj-2024080324x8kex991.htm,EX-99,bj-2024080324x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-24-000127/bj-2024080324x8kex991.htm,0001531152-24-000135,10-Q,2024-08-29,2024-08-03,2024,Q2,"For the quarterly period ended August 3, 2024",current-period quote found in EX-99 (bj-2024080324x8kex991.htm)
BJ,0001531152-24-000157,2024-11-21,FAIL_CLOSED,,,rule_g_fail_closed_fy_disagreement_calendar,A,2024,Q3,Third Quarter Fiscal 2024,https://www.sec.gov/Archives/edgar/data/1531152/000153115224000157/bj-2024110224x8kex991.htm,EX-99.1,bj-2024110224x8kex991.htm,explicit_header,/home/faisal/EventMarketDB/earnings-analysis/canary/quarter_resolver/audit_evidence/sec_34_edge_ticker_audit_2026-05-07/raw_sec/0001531152-24-000157/bj-2024110224x8kex991.htm,0001531152-24-000161,10-Q,2024-11-27,2024-11-02,2024,Q3,"For the quarterly period ended November 2, 2024",current-period quote found in EX-99.1 (bj-2024110224x8kex991.htm)
